nu,[0]Methylacetoacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
617.117142,0.9580656262165084
617.236745,0.9581547304630297
617.356347,0.9548672055023584
617.47595,0.9574641498865797
617.595552,0.9577408970139306
617.715154,0.9546924807915501
617.834757,0.957630763143593
617.954359,0.9542849141239282
618.073961,0.9561036034432238
618.193564,0.9525916082171715
618.313166,0.9554393422963172
618.432769,0.9530985217797949
618.552371,0.9531976491805955
618.671973,0.9494313998971939
618.791576,0.9532901138370293
618.911178,0.952364918391575
619.030781,0.9501769961543562
619.150383,0.951127648397411
619.269985,0.9500278300758035
619.389588,0.9504839528949589
619.50919,0.9482425073498513
619.628793,0.9513026719863926
619.748395,0.9495045089296476
619.867997,0.9496792338334888
619.9876,0.9463668447040968
620.107202,0.9499242826857606
620.226805,0.9478964619917882
620.346407,0.946584534111701
620.466009,0.9464558073686787
620.585612,0.9478898267397777
620.705214,0.9458095987576074
620.824816,0.9455883052038536
620.944419,0.9460744625244564
621.064021,0.9456015435327946
621.183624,0.9452403927273606
621.303226,0.9432386057387224
621.422828,0.9445071707095412
621.542431,0.9433225577104405
621.662033,0.9424551000490559
621.781636,0.9420395689812691
621.901238,0.9433348209834018
622.02084,0.9418784939872777
622.140443,0.9400859234218025
622.260045,0.9406595507736449
622.379648,0.9404291174129447
622.49925,0.9406520255273397
622.618852,0.9384168741253822
622.738455,0.9408618143196132
622.858057,0.9388148472443505
622.97766,0.9396601609409752
623.097262,0.9369475264182202
623.216864,0.9393970929271523
623.336467,0.937340189689
623.456069,0.9371236891119612
623.575672,0.9360129192334128
623.695274,0.9374864261647401
623.814876,0.9364360927029057
623.934479,0.9339839734010795
624.054081,0.9368519626443609
624.173683,0.9363677353632117
624.293286,0.9352438327516519
624.412888,0.9330187330878241
624.532491,0.9364894710814592
624.652093,0.9350661533035112
624.771695,0.9354795438958621
624.891298,0.9329842120333434
625.0109,0.9342315119514402
625.130503,0.934619298489041
625.250105,0.9318587794246306
625.369707,0.933696350633452
625.48931,0.9326810414323238
625.608912,0.9352971431694512
625.728515,0.9308324366684295
625.848117,0.9339522184858206
625.967719,0.9317814383556371
626.087322,0.9329095762818506
626.206924,0.9303048042747578
626.326527,0.9335581737988963
626.446129,0.9314190458660259
626.565731,0.9313519861089037
626.685334,0.9312830686119105
626.804936,0.9316752213261503
626.924538,0.9321309219190931
627.044141,0.9296621857052896
627.163743,0.931314732774531
627.283346,0.930430403901119
627.402948,0.930907837149478
627.52255,0.9286391909008075
627.642153,0.9313370845963383
627.761755,0.929193754018395
627.881358,0.9302192201696937
628.00096,0.9293526597363838
628.120562,0.9302573599395807
628.240165,0.9300266847192252
628.359767,0.9280580446850473
628.47937,0.9296268592134403
628.598972,0.9292104796564976
628.718574,0.9298425576648308
628.838177,0.9285203326914598
628.957779,0.9313724760779869
629.077382,0.9283049409606824
629.196984,0.9301568975697728
629.316586,0.9284720508894977
629.436189,0.9307505270180803
629.555791,0.9294381641142206
629.675394,0.9287924290091024
629.794996,0.9294706950192522
629.914598,0.9300415652652249
630.034201,0.9304899533525307
630.153803,0.9281573522086863
630.273405,0.9316286387296586
630.393008,0.929554351146273
630.51261,0.9303689975208943
630.632213,0.9287701382582962
630.751815,0.9312597868262187
630.871417,0.9307840346401864
630.99102,0.9309190081105494
631.110622,0.9306574566189759
631.230225,0.9316463398419546
631.349827,0.9307272585457619
631.469429,0.9305978964476981
631.589032,0.9324096707356183
631.708634,0.9322204107829941
631.828237,0.9333098803491585
631.947839,0.9310158287219774
632.067441,0.9338158714154999
632.187044,0.9319277395258003
632.306646,0.9330756489664592
632.426249,0.93207499574158
632.545851,0.9348109150852614
632.665453,0.9333780144572887
632.785056,0.9332081551163264
632.904658,0.9345931295150507
633.02426,0.9351306750940653
633.143863,0.9352382213054897
633.263465,0.9321644792363103
633.383068,0.9357592941000583
633.50267,0.9343940823777367
633.622272,0.9355019956743359
633.741875,0.9345034128810845
633.861477,0.9381363294235417
633.98108,0.9365456621354388
634.100682,0.9355562563636297
634.220284,0.9365138201242434
634.339887,0.937985301632568
634.459489,0.9383924756038372
634.579092,0.9372314645331771
634.698694,0.9397249997289926
634.818296,0.9387772954015026
634.937899,0.9396394886448306
635.057501,0.9379374656020139
635.177104,0.9417117962470272
635.296706,0.9395333153815161
635.416308,0.9407507991755459
635.535911,0.9409587280774611
635.655513,0.9435537000508601
635.775116,0.9422082091569621
635.894718,0.9425248443069651
636.01432,0.9436678769561297
636.133923,0.9441974231589237
636.253525,0.9452989994484993
636.373127,0.9437433734061039
636.49273,0.9461804287982597
636.612332,0.9455088791221586
636.731935,0.9462655888689973
636.851537,0.9459060762569494
636.971139,0.9487053626209386
637.090742,0.946822156650144
637.210344,0.9479590252228436
637.329947,0.9478841394178793
637.449549,0.9497381157713077
637.569151,0.9499081341102181
