nu,[0]Phenol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
608.591172,0.981900794167809
608.726175,0.9863638265463035
608.861177,0.9983327913390097
608.99618,0.9848903143504278
609.131183,0.9701379510687721
609.266185,0.9692196653060459
609.401188,0.9627687798610857
609.536191,0.9919956071334126
609.671193,0.9777033285564851
609.806196,0.9788586782872399
609.941199,0.966092204047579
610.076202,0.9690190575989415
610.211204,0.9957280508453862
610.346207,0.9689425081171356
610.48121,0.9983020431625608
610.616212,0.9765366474294267
610.751215,0.9871058511101342
610.886218,0.9934847170973776
611.02122,0.9854114591573675
611.156223,0.990674058863259
611.291226,0.9860107714970244
611.426229,0.9725381261409075
611.561231,0.983358033321318
611.696234,0.9977308783576571
611.831237,0.9976415854399617
611.966239,0.9905210115443744
612.101242,0.9789683165988389
612.236245,0.9967015518718059
612.371247,0.9800977180426901
612.50625,0.9842523121617629
612.641253,0.9750193129759576
612.776256,0.9881932531571875
612.911258,0.9981244610254816
613.046261,0.9900990404486817
613.181264,0.9787030521299996
613.316266,0.9941598205386252
613.451269,0.9773367585444493
613.586272,0.9767397881779974
613.721274,0.9993569268602205
613.856277,0.9852498649291547
613.99128,0.9813186996049631
614.126283,0.9766821622304771
614.261285,0.9953683592828093
614.396288,0.9814158549653349
614.531291,0.972978785713907
614.666293,0.9985688251089746
614.801296,0.9808438562757095
614.936299,0.9886103587131021
615.071301,0.9973641798900805
615.206304,0.9770992945651651
615.341307,0.9925761935971531
615.47631,0.9870930188174798
615.611312,0.9967325497720839
615.746315,0.9982655059764156
615.881318,0.9930129239165075
616.01632,0.9909642697944161
616.151323,0.9996646962268793
616.286326,0.9888664419573574
616.421328,0.9803153238894509
616.556331,0.984623445237637
616.691334,0.9999933917218348
616.826337,0.9984265391895091
616.961339,0.9947979776262681
617.096342,0.9872480045874987
617.231345,0.9813216435654778
617.366347,0.9876518716065504
617.50135,0.9915787589865089
617.636353,0.9946070942102112
617.771355,0.9862444837436766
617.906358,0.9892640461801185
618.041361,0.9932386614082077
618.176364,0.9915783623550847
618.311366,0.9931528492949988
618.446369,0.9836166904960091
618.581372,1.0
618.716374,0.9908257426727702
618.851377,0.9850252535666192
618.98638,0.9795372624535491
619.121382,0.9863510038999057
619.256385,0.9877605192879401
619.391388,0.9737740341966055
619.526391,0.9841037012830302
619.661393,0.9916300249335619
619.796396,0.9828438715349179
619.931399,0.9893234038036002
620.066401,0.9848912992412346
620.201404,0.9924175925939739
620.336407,0.9908401097502001
620.471409,0.994544237028165
620.606412,0.9997686367686014
620.741415,0.9868334474886568
620.876418,0.992884436357477
621.01142,0.9851464191243369
621.146423,0.992428410004688
621.281426,0.9803731641998327
621.416428,0.9872381321568151
621.551431,0.9888486425215975
621.686434,0.9818860657663597
621.821436,0.9786922864556374
621.956439,0.9835242348725848
622.091442,0.9886232107313033
622.226445,0.987922525297233
622.361447,0.9791886092520677
622.49645,0.980441792723297
622.631453,0.9811047954448497
622.766455,0.9836147232645953
622.901458,0.9912842046954207
623.036461,0.9882673704305373
623.171463,0.971856615811761
623.306466,0.9850341188337949
623.441469,0.9851050438436206
623.576472,0.9901823112794729
623.711474,0.990990530695521
623.846477,0.9783175190824581
623.98148,0.982439023264316
624.116482,0.9860699339181692
624.251485,0.9817761006851534
624.386488,0.9873566078410728
