nu,[0]Perfluorotributylamine-HITRAN(x-sec)-X=0.01-T=298.2K-P=0.0atm-L=15cm
587.041838,0.9999773332568945
587.102103,0.9999721673873343
587.162368,0.9999700784476586
587.222633,0.9999822341578144
587.282898,0.999972871367988
587.343163,0.9999706864296511
587.403428,0.999972604375267
587.463693,0.9999693504697065
587.523958,0.9999668005511139
587.584223,0.9999708564246822
587.644489,0.9999673345335279
587.704754,0.9999715114058078
587.765019,0.9999691804749313
587.825284,0.9999694234674718
587.885549,0.9999704914353863
587.945814,0.9999749123147013
588.006079,0.9999731143614252
588.066344,0.9999723613819537
588.126609,0.9999720463907095
588.186874,0.9999706134317936
588.247139,0.9999714634071764
588.307404,0.999972604375267
588.367669,0.9999702974411298
588.427934,0.9999688164862158
588.488199,0.9999727743706242
588.548464,0.999972871367988
588.608729,0.9999726773732698
588.668994,0.9999721433880027
588.729259,0.9999717303995926
588.789524,0.9999708564246822
588.849789,0.9999724593792498
588.910054,0.9999690584786988
588.97032,0.9999719243941272
589.030585,0.9999728963673101
589.09085,0.9999723613819537
589.151115,0.9999723373826173
589.21138,0.9999712204141402
589.271645,0.9999715364050958
589.33191,0.9999704184375431
589.392175,0.999970151445477
589.45244,0.9999713414106652
589.512705,0.9999721433880027
589.57297,0.9999713904092622
589.633235,0.9999729443660103
589.6935,0.9999708314254111
589.753765,0.9999729203666599
589.81403,0.9999723613819537
589.874295,0.9999719973920803
589.93456,0.9999713664099491
589.994825,0.9999688404854677
590.05509,0.9999697384578897
590.115355,0.9999681845061236
590.17562,0.9999720703900388
590.235885,0.9999697874564081
590.296151,0.9999694714660052
590.356416,0.9999698364549289
590.416681,0.9999678935154243
590.476946,0.9999682085053603
590.537211,0.9999665335600137
590.597476,0.9999638376538734
590.657741,0.9999664845616548
590.718006,0.9999635946626904
590.778271,0.9999669215471041
590.838536,0.9999669455463105
590.898801,0.9999618947260244
590.959066,0.9999677235208968
591.019331,0.9999654885955322
591.079596,0.9999666305567723
591.139861,0.9999667755519442
591.200126,0.9999647606209215
591.260391,0.9999604377826051
591.320656,0.9999658535830022
591.380921,0.9999656345905042
591.441186,0.9999692044741919
591.501451,0.9999623077103722
591.561717,0.9999677475201224
591.621982,0.9999678205177707
591.682247,0.9999656105913293
591.742512,0.9999634006697719
591.802777,0.9999653915988845
591.863042,0.9999643956338505
591.923307,0.9999589558423345
591.983572,0.9999651976056174
592.043837,0.999956793933409
592.104102,0.9999649056158223
592.164367,0.9999607777692118
592.224632,0.999962477703979
592.284897,0.9999616027371938
592.345162,0.9999653186014136
592.405427,0.9999615787381156
592.465692,0.9999633276724462
592.525957,0.9999615787381156
592.586222,0.9999626226985487
592.646487,0.9999598548058398
592.706752,0.9999533210894942
592.767017,0.9999550940083042
592.827282,0.9999606557740044
592.887548,0.9999596598136872
592.947813,0.9999628656894956
593.008078,0.9999510141998434
593.068343,0.9999560899640738
593.128608,0.9999593198274607
593.188873,0.9999576928949708
593.249138,0.9999588348473082
593.309403,0.9999571099198058
593.369668,0.9999655375938423
593.429933,0.9999574019073245
593.490198,0.999966144573108
593.550463,0.9999532970906149
593.610728,0.9999621127177412
593.670993,0.9999600487980705
593.731258,0.9999551920039083
593.791523,0.9999546330291121
593.851788,0.9999528361122512
593.912053,0.9999583728664332
593.972318,0.9999623557085641
594.032583,0.9999532970906149
594.092848,0.999954050055731
594.153113,0.9999628416903871
594.213379,0.9999609957606851
594.273644,0.9999603647854959
594.333909,0.9999534670826897
594.394174,0.9999599518019505
594.454439,0.9999634486680162
594.514704,0.9999539040624503
594.574969,0.999952933107681
594.635234,0.9999503832309526
594.695499,0.9999545840313363
594.755764,0.999950698215373
594.816029,0.9999580328806442
594.876294,0.9999515001761545
594.936559,0.9999507472129583
594.996824,0.9999515481738277
595.057089,0.9999519371550556
595.117354,0.9999589068443469
595.177619,0.9999515731726166
595.237884,0.9999549970126648
595.298149,0.999957886886782
595.358414,0.999955919971553
595.418679,0.999962574700344
595.478944,0.9999613357474815
595.53921,0.9999652706030795
595.599475,0.9999582758704757
595.65974,0.9999652216047824
595.720005,0.9999579358847197
595.78027,0.9999612387512367
595.840535,0.9999636916591638
595.9008,0.9999492662869983
595.961065,0.9999650276115483
596.02133,0.9999624047067207
596.081595,0.9999685004961197
596.14186,0.9999609227635351
596.202125,0.9999610687578405
596.26239,0.9999644446321071
596.322655,0.999963157678695
596.38292,0.9999580568796372
596.443185,0.999954317043498
596.50345,0.9999554829909114
596.563715,0.9999559689693943
596.62398,0.9999601947922483
596.684245,0.9999549240159527
596.74451,0.9999607047720777
596.804775,0.9999597088117117
596.865041,0.9999577898908717
596.925306,0.9999578628877931
596.985571,0.9999618457278927
597.045836,0.9999640316468767
597.106101,0.9999665085608508
597.166366,0.999962525702179
597.226631,0.9999642986373088
597.286896,0.999967698521704
597.347161,0.9999662655690187
597.407426,0.9999643716347053
597.467691,0.9999695934622881
597.527956,0.9999651486073239
597.588221,0.9999665085608508
597.648486,0.9999670915414952
597.708751,0.999968743488495
597.769016,0.9999643956338505
597.829281,0.9999707344282452
597.889546,0.9999714874064917
597.949811,0.9999669455463105
598.010076,0.9999674555295828
598.070341,0.9999703214404172
598.130606,0.9999688644847202
598.190872,0.9999669705454844
598.251137,0.9999677235208968
598.311402,0.9999703704389641
598.371667,0.9999677955185754
598.431932,0.9999682335045658
598.492197,0.9999709284225865
598.552462,0.9999686214923157
598.612727,0.9999674555295828
598.672992,0.9999697634571335
598.733257,0.9999685244953641
598.793522,0.9999709284225865
598.853787,0.9999674315303642
598.914052,0.999968427498422
598.974317,0.9999682575038037
599.034582,0.9999693504697065
599.094847,0.99996893748245
599.155112,0.9999708314254111
599.215377,0.9999725803759247
599.275642,0.9999706374310887
599.335907,0.9999707584275431
599.396172,0.9999712694127312
599.456437,0.9999719973920803
599.516703,0.9999715604044129
599.576968,0.9999710264197423
599.637233,0.9999725563765831
599.697498,0.9999708804239831
599.757763,0.9999725563765831
599.818028,0.9999717303995926
599.878293,0.9999730663627169
599.938558,0.9999710014204669
599.998823,0.9999729443660103
600.059088,0.9999715114058078
600.119353,0.9999696174615587
600.179618,0.9999690584786988
600.239883,0.9999695684630486
600.300148,0.9999731143614252
600.360413,0.9999693744689712
600.420678,0.9999731393607534
600.480943,0.9999715604044129
600.541208,0.9999711714155516
600.601473,0.9999700064498155
600.661738,0.9999707584275431
600.722003,0.99996893748245
600.782268,0.9999701274461936
600.842534,0.9999683065022495
600.902799,0.9999695934622881
600.963064,0.9999730413633906
601.023329,0.9999698604542052
601.083594,0.9999722403853052
601.143859,0.9999689864809291
601.204124,0.9999717793982087
601.264389,0.9999730413633906
601.324654,0.9999725073779291
601.384919,0.9999701764447311
601.445184,0.999972386381263
601.505449,0.9999695204645105
601.565714,0.9999729203666599
601.625979,0.9999721193886715
601.686244,0.9999733573549215
601.746509,0.9999725073779291
601.806774,0.9999734303529794
601.867039,0.9999721673873343
601.927304,0.9999709284225865
601.987569,0.9999721193886715
602.047834,0.9999693014712094
602.1081,0.9999698364549289
602.168365,0.999971876395476
602.22863,0.9999693014712094
602.288895,0.9999725073779291
602.34916,0.9999706374310887
602.409425,0.9999733093562015
602.46969,0.999971657401659
602.529955,0.9999700544483769
602.59022,0.9999715114058078
602.650485,0.9999689864809291
602.71075,0.9999715604044129
602.771015,0.9999699334520077
602.83128,0.99996544059719
602.891545,0.9999679415138842
602.95181,0.9999697634571335
603.012075,0.9999712934120419
603.07234,0.999971657401659
603.132605,0.9999698364549289
603.19287,0.9999714874064917
603.253135,0.9999674555295828
603.3134,0.9999717793982087
603.373665,0.9999640806451154
603.433931,0.9999703214404172
603.494196,0.9999693504697065
603.554461,0.9999718513961794
603.614726,0.9999699084527597
603.674991,0.9999704434368039
603.735256,0.9999717793982087
603.795521,0.9999689614817048
603.855786,0.9999690344794416
603.916051,0.9999715604044129
603.976316,0.9999668005511139
604.036581,0.9999708804239831
604.096846,0.9999685004961197
604.157111,0.9999631086805014
604.217376,0.9999665815584086
604.277641,0.9999717303995926
604.337906,0.9999703214404172
604.398171,0.9999709284225865
604.458436,0.999968597493069
604.518701,0.999968597493069
604.578966,0.9999671405398839
604.639231,0.9999665085608508
604.699496,0.9999673345335279
604.759762,0.9999655135946698
604.820027,0.9999667515527418
604.880292,0.9999696664600711
604.940557,0.9999671155407057
605.000822,0.9999671645390955
605.061087,0.9999707344282452
605.121352,0.9999689614817048
605.181617,0.9999707344282452
605.241882,0.9999659255805462
605.302147,0.9999692774719465
605.362412,0.9999672615359152
605.422677,0.9999700304490959
605.482942,0.9999696174615587
605.543207,0.9999678205177707
605.603472,0.9999713904092622
605.663737,0.9999707344282452
605.724002,0.9999697634571335
605.784267,0.9999700544483769
605.844532,0.9999655375938423
605.904797,0.9999708314254111
605.965062,0.9999687674877451
606.025327,0.9999649786132631
606.085593,0.9999673835319286
606.145858,0.9999691804749313
606.206123,0.999967698521704
606.266388,0.9999693264704423
606.326653,0.9999704914353863
606.386918,0.9999697634571335
606.447183,0.9999708804239831
606.507448,0.9999688884839733
606.567713,0.9999646876234967
606.627978,0.999968597493069
606.688243,0.9999680385107793
606.748508,0.9999659985780615
606.808773,0.9999668005511139
606.869038,0.9999666055576069
606.929303,0.9999682335045658
606.989568,0.9999685004961197
607.049833,0.9999686464915315
607.110098,0.9999657805854976
607.170363,0.9999692044741919
607.230628,0.9999680145115466
607.290893,0.9999668975478982
607.351158,0.9999685484946089
607.411424,0.9999727503712779
607.471689,0.9999700304490959
607.531954,0.9999712444134498
607.592219,0.9999718273968552
607.652484,0.9999717793982087
607.712749,0.9999724593792498
607.773014,0.9999692774719465
607.833279,0.9999713414106652
607.893544,0.9999680875092144
607.953809,0.9999697874564081
608.014074,0.9999681115084488
608.074339,0.9999719243941272
608.134604,0.9999696664600711
608.194869,0.9999735033510424
608.255134,0.9999728473686393
608.315399,0.9999722643846393
608.375664,0.9999696904593434
608.435929,0.9999715364050958
608.496194,0.9999681605068874
608.556459,0.9999711714155516
608.616724,0.999968597493069
608.676989,0.9999711964148312
608.737255,0.9999699334520077
608.79752,0.9999708804239831
608.857785,0.9999724103806006
608.91805,0.9999691564756713
608.978315,0.9999713664099491
609.03858,0.9999715844037307
609.098845,0.9999733093562015
609.15911,0.9999699574512864
609.219375,0.9999725313772695
609.27964,0.9999727013726143
609.339905,0.9999730173640379
609.40017,0.9999731873594653
609.460435,0.9999735763491108
609.5207,0.9999736733465524
609.580965,0.9999737703440035
609.64123,0.9999732843568692
609.701495,0.9999736243478436
609.76176,0.9999735763491108
609.822025,0.999973454352342
609.88229,0.9999732843568692
609.942555,0.9999733093562015
610.00282,0.9999730903620708
610.063086,0.9999733333555613
610.123351,0.9999729443660103
610.183616,0.9999727993699439
610.243881,0.9999706374310887
610.304146,0.999973454352342
610.364411,0.9999712204141402
610.424676,0.999972386381263
610.484941,0.999972604375267
610.545206,0.9999726533739258
610.605471,0.999972604375267
610.665736,0.9999729933646857
610.726001,0.9999727263719321
610.786266,0.9999726533739258
610.846531,0.9999736243478436
610.906796,0.9999704184375431
610.967061,0.9999730903620708
611.027326,0.9999731393607534
611.087591,0.9999712934120419
611.147856,0.9999707834268123
611.208121,0.9999702974411298
611.268386,0.9999733093562015
611.328651,0.9999719243941272
611.388917,0.9999733333555613
611.449182,0.9999716094030207
611.509447,0.9999730413633906
611.569712,0.9999722893839462
611.629977,0.9999697874564081
611.690242,0.9999681115084488
611.750507,0.9999701274461936
611.810772,0.9999689614817048
611.871037,0.9999698114556833
611.931302,0.9999717064002714
611.991567,0.9999673105343122
612.051832,0.9999698364549289
612.112097,0.9999700304490959
612.172362,0.9999669455463105
612.232627,0.9999667035543389
612.292892,0.9999665815584086
612.353157,0.999966071575582
612.413422,0.9999690834779256
612.473687,0.9999713414106652
612.533952,0.9999689614817048
612.594217,0.9999693264704423
612.654483,0.9999691074771838
612.714748,0.9999699334520077
612.775013,0.9999704914353863
612.835278,0.9999712694127312
612.895543,0.9999678935154243
612.955808,0.9999734063536173
613.016073,0.9999706134317936
613.076338,0.9999698114556833
613.136603,0.9999665575592109
613.196868,0.9999681845061236
613.257133,0.9999660475763966
613.317398,0.999967917514654
613.377663,0.9999718033975317
613.437928,0.9999717303995926
613.498193,0.9999701034469108
613.558458,0.9999691314764427
613.618723,0.9999726533739258
613.678988,0.9999680385107793
613.739253,0.999966314567367
613.799518,0.9999656585896798
613.859783,0.9999680875092144
613.920048,0.9999682335045658
613.980314,0.9999694474667381
614.040579,0.9999693014712094
614.100844,0.9999691314764427
614.161109,0.9999715604044129
614.221374,0.9999696174615587
614.281639,0.9999667755519442
614.341904,0.9999674075311461
614.402169,0.9999669705454844
614.462434,0.9999665815584086
614.522699,0.999967601524842
614.582964,0.9999688884839733
614.643229,0.9999702734418429
614.703494,0.9999719733927527
614.763759,0.9999681845061236
614.824024,0.9999700304490959
614.884289,0.9999677715193487
614.944554,0.9999673105343122
615.004819,0.9999707104289478
615.065084,0.9999675045279893
615.125349,0.9999671645390955
615.185614,0.9999692044741919
615.245879,0.9999711234169365
615.306145,0.9999734793516786
615.36641,0.9999707344282452
615.426675,0.9999762472821002
615.48694,0.9999703464396755
615.547205,0.9999782702360948
