nu,[0]Acetol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
601.529031,0.9309022517192114
601.648833,0.9281889100951425
601.768635,0.9281889100951425
601.888438,0.9255714022736243
602.00824,0.9247202681652558
602.128043,0.9239336659637554
602.247845,0.9223338755394289
602.367647,0.9248959817084652
602.48745,0.9238274197014468
602.607252,0.9210794329766196
602.727055,0.9204809258810633
602.846857,0.9187750164836931
602.966659,0.9189698174353589
603.086462,0.920327218401373
603.206264,0.9185811754061679
603.326067,0.9171823238904487
603.445869,0.9166138470956533
603.565671,0.9153836609539
603.685474,0.9158487939874522
603.805276,0.9127201156361762
603.925079,0.9118899181281039
604.044881,0.910899232322381
604.164683,0.9121845061450629
604.284486,0.9103455739183395
604.404288,0.908833836176533
604.52409,0.9073373114895577
604.643893,0.9067631487130752
604.763695,0.9075024619084809
604.883498,0.9026503588932329
605.0033,0.9040776737420858
605.123102,0.9037251521954961
605.242905,0.9037974530996694
605.362707,0.90196460523987
605.48251,0.9007657897039477
605.602312,0.9021991465262783
605.722114,0.9020367652946528
605.841917,0.8989121221102976
605.961719,0.8978071399034698
606.081522,0.8982202261903873
606.201324,0.8959237231893779
606.321126,0.8971250656981716
606.440929,0.8948940031102394
606.560731,0.8965062629143513
606.680534,0.8936062831266668
606.800336,0.895278890276387
606.920138,0.892186578101087
607.039941,0.8929631181699847
607.159743,0.8924453497288088
607.279546,0.8915890133003215
607.399348,0.8917049274063041
607.51915,0.8912324490126131
607.638953,0.8915890133003215
607.758755,0.8912146245418782
607.878558,0.8902170229235801
607.99836,0.8893717183350562
608.118162,0.8904217963868981
608.237965,0.8893895059472984
608.357767,0.8888560323018279
608.47757,0.8866278012605469
608.597372,0.8875237477166175
608.717174,0.8878788282270718
608.836977,0.8878078007619501
608.956779,0.8889004762145315
609.076582,0.8879676205494366
609.196384,0.8880386608006527
609.316186,0.8865923368577893
609.435989,0.8866366675828911
609.555791,0.8848032279456943
609.675594,0.8899855965843477
609.795396,0.8886160735689931
609.915198,0.8878521922617664
610.035001,0.8878610708280817
610.154803,0.8885538726209018
610.274605,0.887825557095528
610.394408,0.8887849266635072
610.51421,0.8909918487338789
610.634013,0.8896385698762865
610.753815,0.8892205379936323
610.873617,0.8892650001320762
610.99342,0.8889004762145315
611.113222,0.8890427116692589
611.233025,0.8915266042537325
611.352827,0.8916335938654913
611.472629,0.8916068452589064
611.592432,0.8931149348041219
611.712234,0.8939727368206226
611.832037,0.8925256734247965
611.951839,0.8936777744889333
612.071641,0.8940531979876346
612.191444,0.8954221463590122
612.311246,0.8948403110808297
612.431049,0.8942141420478033
612.550851,0.8941604908088336
612.670653,0.8951804150146953
612.790456,0.8949119011692815
612.910258,0.8952162229474497
613.030061,0.8959774802254642
613.149863,0.8980944841608681
613.269665,0.8963538698034373
613.389468,0.8961029258536849
613.50927,0.8979508005383987
613.629073,0.8975109124275235
613.748875,0.8974121916568983
613.868677,0.897789183940232
613.98848,0.8972775899235322
614.108282,0.8960491612910867
614.228085,0.8957355989612434
614.347887,0.8955385588046839
614.467689,0.895386330189486
614.587492,0.8954848281030928
614.707294,0.8948224144535749
614.827097,0.892829183747592
614.946899,0.8923114929658578
615.066701,0.8889271436288272
615.186504,0.88763025695677
615.306306,0.8845466722119695
615.426109,0.8822410155882536
615.545911,0.878886072543752
615.665713,0.8747300102090205
615.785516,0.8717348259515082
615.905318,0.8668407486362933
616.025121,0.8632680789854753
616.144923,0.8602089105418279
616.264725,0.8583614481179265
616.384528,0.8542938993156082
616.50433,0.8575978462823225
616.624132,0.8590312312289138
616.743935,0.8616035783528188
616.863737,0.8589195644273534
616.98354,0.8601745028735641
617.103342,0.8576407272466517
617.223144,0.8544562305774597
617.342947,0.8517348580987673
617.462749,0.8573320321532937
617.582552,0.863881216959779
617.702354,0.8718132856164758
617.822156,0.8726680814179105
617.941959,0.8757978320603593
618.061761,0.875044969702003
618.181564,0.8738644560189318
618.301366,0.8750187187466781
618.421168,0.8774897540557747
618.540971,0.8813415885381295
618.660773,0.8806191846615964
618.780576,0.8836537310842124
618.900378,0.8862289085075804
619.02018,0.8883584122703522
619.139983,0.8897008467558432
619.259785,0.8896652594337242
619.379588,0.8909205722370781
619.49939,0.8898432102801024
619.619192,0.8912057124401933
619.738995,0.8921776562799152
619.858797,0.8924988980562263
619.9786,0.8918119384181252
620.098402,0.8933829094787545
620.218204,0.8924007285768605
620.338007,0.8916246775741342
620.457809,0.8915622660311335
620.577612,0.8927934712944959
620.697414,0.8905731809596079
620.817216,0.8901814149548273
620.937019,0.8909740290751015
621.056821,0.8892650001320762
621.176624,0.8887849266635072
621.296426,0.8865834709787501
621.416228,0.8873196407278461
621.536031,0.8858301952159708
621.655833,0.8847059049434836
621.775636,0.8841398743134419
621.895438,0.8840161033952044
622.01524,0.8828764578512408
622.135043,0.8810507937976831
622.254845,0.8817823695184608
622.374647,0.8800645692974431
622.49445,0.8803814495774184
622.614252,0.8775073040263549
622.734055,0.8776213873911365
622.853857,0.8777881512968101
622.973659,0.8767617397276487
623.093462,0.8750974739752975
623.213264,0.8748612295517565
623.333067,0.8743627007451196
623.452869,0.8725371910227229
623.572671,0.8731132556492135
623.692474,0.8731307180889503
623.812276,0.8715692120683945
623.932079,0.8692104570603028
624.051881,0.8713513469996458
624.171683,0.8711858059706116
624.291486,0.8708548182559914
624.411288,0.8685935366684447
624.531091,0.8683069480910602
624.650893,0.8681680300931018
624.770695,0.8673436621013089
624.890498,0.8675605251235825
625.0103,0.8673610091480208
625.130103,0.8671268532880144
625.249905,0.8658271380382163
625.369707,0.8662255101402728
625.48951,0.865905065987345
625.609312,0.8667974076823944
625.729115,0.865619364458914
