nu,[0]Diacetonealcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
598.02076,0.9408928632717908
598.150363,0.9400398603401096
598.279966,0.9393820626939077
598.409568,0.9391294029033085
598.539171,0.9378933835770663
598.668773,0.9388824443468186
598.798376,0.9380809810128999
598.927979,0.9370730857990509
599.057581,0.9363021919157837
599.187184,0.9359707995997462
599.316786,0.9333640138920763
599.446389,0.9334834921322989
599.575992,0.9364754238447475
599.705594,0.9352728257598565
599.835197,0.9327062241604077
599.964799,0.9324050086989197
600.094402,0.929382399497329
600.224004,0.9277750301433298
600.353607,0.93108100211103
600.48321,0.9297495780581221
600.612812,0.9283754948172079
600.742415,0.9272352221751423
600.872017,0.9246444442120908
601.00162,0.9244715518669613
601.131223,0.9235577014756713
601.260825,0.924113850596049
601.390428,0.9242265993633567
601.52003,0.9202848843230178
601.649633,0.9193025447292772
601.779236,0.9180705862295866
601.908838,0.9159825176729659
602.038441,0.9155164012081741
602.168043,0.9162335312701007
602.297646,0.9155475292949897
602.427249,0.9121671748040944
602.556851,0.9108637079450503
602.686454,0.9096794447912359
602.816056,0.9058631798149122
602.945659,0.9066887971833351
603.075262,0.9084749177023086
603.204864,0.9046112369552637
603.334467,0.9015407814817923
603.464069,0.8999284669349606
603.593672,0.8983909042472654
603.723274,0.8954042380951682
603.852877,0.8959774802254642
603.98248,0.8960043599530648
604.112082,0.8917405963167738
604.241685,0.888225168502044
604.371287,0.8876657628771619
604.50089,0.8853696832579445
604.630493,0.8852280354407508
604.760095,0.8837862890854765
604.889698,0.8799677675190158
605.0193,0.8776213873911365
605.148903,0.8745026099696783
605.278506,0.874222813904246
605.408108,0.8729386504591846
605.537711,0.8695408197989306
605.667313,0.8709767464653227
605.796916,0.8665547383835306
605.926519,0.8625691149601432
606.056121,0.8606907624376697
606.185724,0.859890692118966
606.315326,0.8574434925622433
606.444929,0.8556789770425418
606.574531,0.8547040588176851
606.704134,0.8518796653329102
606.833737,0.846995412940001
606.963339,0.8447622940637514
607.092942,0.8441120774628398
607.222544,0.8427541504426993
607.352147,0.8407591880703533
607.48175,0.8397424846823841
607.611352,0.8354957648166925
607.740955,0.8330430145776986
607.870557,0.8315199398994041
608.00016,0.8316363608402657
608.129763,0.8296677164301733
608.259365,0.8281839395942123
608.388968,0.8261821575935513
608.51857,0.8222013192360531
608.648173,0.8199679703791104
608.777776,0.8208868489818991
608.907378,0.819607263833403
609.036981,0.8186570706259649
609.166583,0.8178551796874893
609.296186,0.814867300883413
609.425789,0.8120852147933045
609.555391,0.8112897611187704
609.684994,0.8136296434440144
609.814596,0.8124263622194624
609.944199,0.8111599651409466
610.073801,0.8102843852768273
610.203404,0.8091750557332438
610.333007,0.8064688547141058
610.462609,0.8062430750454145
610.592212,0.8087705693354035
610.721814,0.807760237712552
610.851417,0.8075502473506768
610.98102,0.8062833882069874
611.110622,0.8055741709267368
611.240225,0.8057755896457592
611.369827,0.8055902825712712
611.49943,0.80789756862576
611.629033,0.8078248611164708
611.758635,0.8058561712337361
611.888238,0.8069770901699344
612.01784,0.8059206423062433
612.147443,0.8041495657916697
612.277046,0.8067431007438917
612.406648,0.8078652533693245
612.536251,0.8072192196145861
612.665853,0.8063720842578835
612.795456,0.805179536276368
612.925059,0.8042219425094944
613.054661,0.8033699189027238
613.184264,0.8049943662783905
613.313866,0.8058964650496347
613.443469,0.801957231375141
613.573071,0.8008272684899427
613.702674,0.8001308517515641
613.832277,0.7975426229866702
613.961879,0.7974309748350051
614.091482,0.7977898995256795
614.221084,0.796825157533865
614.350687,0.7929223352798067
614.48029,0.7915359346474413
614.609892,0.7899860436049257
614.739495,0.7888177290264349
614.869097,0.7878638367954954
614.9987,0.7895990452658956
615.128303,0.7885968909810767
615.257905,0.7849227293450647
615.387508,0.7846166691662343
615.51711,0.7854566583162954
615.646713,0.785197500382462
615.776316,0.7870448843343228
615.905918,0.7884786103187009
616.035521,0.7894806142916508
616.165123,0.7883997663999307
616.294726,0.790547132859
616.424328,0.7930650741462696
616.553931,0.7935886698627861
616.683534,0.797622381236815
616.813136,0.800819260257299
616.942739,0.8006591124205651
617.072341,0.8002028667688489
617.201944,0.8029040994504598
617.331547,0.8045034694537141
617.461149,0.8057030731059843
617.590752,0.8078087047808123
617.720354,0.8082207922936343
617.849957,0.8091507808456969
617.97956,0.8085279745556392
618.109162,0.8103573141532524
618.238765,0.8115818780106588
618.368367,0.8130765633550148
618.49797,0.8159436359454362
618.627573,0.8167518201301851
618.757175,0.8159925940323208
618.886778,0.8160986799649812
619.01638,0.8174054830165818
619.145983,0.8178878945489697
619.275586,0.8182969407492724
619.405188,0.8197056226064714
619.534791,0.8188208184143231
619.664393,0.816898848689982
619.793996,0.8178715369546552
619.923598,0.8199105746300585
620.053201,0.8199105746300585
620.182804,0.8198203894271263
