nu,[0]2-Pentylfuran-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
567.145343,1.0047038284305778
567.280346,1.0060967097405853
567.415348,1.002273179764348
567.550351,1.0047373860988573
567.685354,0.9979875277432668
567.820356,1.0068954649935984
567.955359,1.0042667768822868
568.090362,1.0016328316202059
568.225365,1.0041005844835131
568.360367,0.9971035029654156
568.49537,1.003133398863491
568.630373,1.0039203646038166
568.765375,0.9990098005713233
568.900378,1.009680455397852
569.035381,1.002428744633369
569.170383,1.0033108688585082
569.305386,1.0059390667378207
569.440389,0.9991827741111187
569.575392,1.004827314119132
569.710394,1.005376200175069
569.845397,1.0003792218864462
569.9804,1.0027476679390996
570.115402,1.000507698835449
570.250405,1.005729048587344
570.385408,1.0032815726088649
570.52041,1.00111482095142
570.655413,1.0063085153897482
570.790416,0.9993287853653942
570.925419,1.0030056078089389
571.060421,1.0118850728106565
571.195424,1.0016111965847023
571.330427,1.0048117394164675
571.465429,1.0035430618572558
571.600432,1.001844098261679
571.735435,0.9992430866035767
571.870437,1.0061913878955093
572.00544,1.0015487981508864
572.140443,1.0040168459867111
572.275446,0.9989783222684506
572.410448,1.003930203071598
572.545451,0.9986743794122352
572.680454,0.9982944560958636
572.815456,0.9980008010656533
572.950459,1.0029541549410355
573.085462,1.004804806239385
573.220464,1.0055023828059855
573.355467,0.9948830364895698
573.49047,1.0036476364925453
573.625473,1.0009484895319676
573.760475,1.0019899773821281
573.895478,0.9978489169024091
574.030481,1.0018134423013108
574.165483,1.0011436534734497
574.300486,1.000436025031291
574.435489,0.9980380271897958
574.570491,1.0018187519266255
574.705494,0.9998207360696989
574.840497,1.003590229489594
574.9755,1.0030967851626367
575.110502,1.0008168334268666
575.245505,0.9986303388432048
575.380508,0.9954902993754996
575.51551,1.0062379756352666
575.650513,0.9997339154067864
575.785516,0.9952714151258722
575.920518,1.0019826628819912
576.055521,0.999422266952043
576.190524,0.9993321930823624
576.325527,0.9974036762936277
576.460529,0.996557439246999
576.595532,1.0012393673817737
576.730535,0.992974495059955
576.865537,1.002536311008501
577.00054,1.0039664456061028
577.135543,0.997057437847691
577.270545,1.0021909967331577
577.405548,0.9939076341833464
577.540551,0.9958758278529144
577.675554,0.9930324864637992
577.810556,0.9939695565578179
577.945559,1.0011650781768775
578.080562,0.9943649368666241
578.215564,0.9928832448968683
578.350567,0.99676205349221
578.48557,0.9953334224665432
578.620572,0.9931986346966967
578.755575,0.9993776037689391
578.890578,0.9941974999098432
579.025581,1.0002293262912545
579.160583,0.9933309375660138
579.295586,0.9891245697829242
579.430589,0.9958835957146662
579.565591,0.9978146912715322
579.700594,0.9963830569540265
579.835597,0.9892501965804195
579.970599,0.991047613394055
580.105602,0.9979820388269588
580.240605,0.9932739220065596
580.375608,0.992291861250241
580.51061,0.9899934025169498
580.645613,0.9858658385664458
580.780616,0.9909558466339213
580.915618,0.9914129808774426
581.050621,0.9882891125518493
581.185624,0.9928740111256279
581.320626,0.9877575560108272
581.455629,0.9891206132925581
581.590632,0.9848233440860669
581.725635,0.9826158782049708
581.860637,0.9853493801909486
581.99564,0.9857771146336117
582.130643,0.9892947138408964
582.265645,0.9870140545345878
582.400648,0.9803888502959484
582.535651,0.9884620782806056
582.670653,0.9813363635005306
582.805656,0.9822965799333337
582.940659,0.9840249761359754
583.075662,0.9845082510335365
583.210664,0.9809870699330684
583.345667,0.9766850922813589
583.48067,0.9805251338176247
583.615672,0.9768667726042695
583.750675,0.9783087142644081
583.885678,0.979545098782994
584.02068,0.9745338742423728
584.155683,0.9724447669621102
584.290686,0.9768394207175648
584.425689,0.9759645645906757
584.560691,0.9743360639443261
584.695694,0.9725361810666002
584.830697,0.9759157675823815
584.965699,0.972055866840535
585.100702,0.9712795044010266
585.235705,0.9718148268757496
585.370707,0.9708862158480519
585.50571,0.9678491893200646
585.640713,0.9671032651858033
585.775716,0.963888167421503
585.910718,0.9616680021418323
586.045721,0.9648863081234947
