nu,[0]Glycoaldehyde-HITRAN(x-sec)-X=0.01-T=298.1K-P=0.0atm-L=15cm
613.527071,0.9999953965105961
613.645673,0.9999958202087353
613.764275,0.999994945512774
613.882878,0.999996709105415
614.00148,0.999995375510693
614.120082,0.9999943486159691
614.238685,0.9999954187104941
614.357287,0.9999949033129881
614.47589,0.9999953237109339
614.594492,0.9999963679065961
614.713094,0.9999965981057864
614.831697,0.9999960784076894
614.950299,0.9999972126038847
615.068901,0.9999947339138658
615.187504,0.9999956275095594
615.306106,0.9999941935168577
615.424708,0.9999957560090058
615.543311,0.9999960952076237
615.661913,0.9999953239109329
615.780516,0.9999963504066598
615.899118,0.9999960484078075
616.01772,0.9999946640142364
616.136323,0.9999960712077177
616.254925,0.9999967968051302
616.373527,0.9999956360095222
616.49213,0.9999952524112699
616.610732,0.9999958003088187
616.729335,0.9999961226075171
616.847937,0.9999959026083943
616.966539,0.9999954758102342
617.085142,0.9999971830039678
617.203744,0.9999965115060848
617.322346,0.9999966530056011
617.440949,0.999996525806035
617.559551,0.9999968908048336
617.678154,0.9999960591077653
617.796756,0.9999965185060604
617.915358,0.9999966193057146
618.033961,0.9999985609010354
618.152563,0.9999971588040362
618.271165,0.9999971778039825
618.389768,0.9999970922042276
618.50837,0.9999967155053939
618.626973,0.9999977436025457
618.745575,0.9999974979031302
618.864177,0.9999963177067797
618.98278,0.9999970654043059
619.101382,0.9999963229067605
619.219984,0.9999972191038667
619.338587,0.9999973443035264
619.457189,0.9999979211021609
619.575792,0.9999967475052893
619.694394,0.9999971562040436
619.812996,0.9999977944024323
619.931599,0.9999969085047787
620.050201,0.9999979516020979
620.168803,0.9999968066050989
620.287406,0.9999962612069893
620.406008,0.9999974812031722
620.52461,0.9999985630010325
620.643213,0.999998366601334
620.761815,0.9999973314035607
620.880418,0.9999976877026734
620.99902,0.9999972236038542
621.117622,0.9999982966014508
621.236225,0.9999980741018546
621.354827,0.9999983789013139
621.473429,0.9999979058021928
621.592032,0.999998559201038
621.710634,0.9999974836031661
621.829237,0.9999978332023475
621.947839,0.9999970861042454
622.066441,0.999998617300956
622.185044,0.9999977185026027
