nu,[0]Ethylbenzoate-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
677.860902,0.7377723284590029
677.980504,0.737425656938816
678.100106,0.7316961110922627
678.219708,0.7276027884145955
678.33931,0.7289500994516074
678.458912,0.7215598153836009
678.578514,0.7190387704319898
678.698116,0.715717316025313
678.817718,0.7096736943578492
678.93732,0.7076256981610816
679.056922,0.7022681274116542
679.176524,0.7009070479184639
679.296126,0.6982696030551895
679.415728,0.6987655505138726
679.53533,0.6989332743720538
679.654932,0.6965470054195061
679.774534,0.6991849356471393
679.894136,0.6999474627287576
680.013738,0.6980182712405306
680.13334,0.6993667473649067
680.252942,0.7008159359246424
680.372544,0.7042020226492312
680.492146,0.7071871062057774
680.611748,0.7090494562118826
680.73135,0.7120764498139968
680.850952,0.7159535417146963
680.970554,0.7179969197391567
681.090156,0.721783533600902
681.209758,0.7263523872717708
681.32936,0.7302195767496134
681.448962,0.7347977409646017
681.568564,0.7393528517986983
681.688166,0.7421603158909129
681.807768,0.7447102964911264
681.92737,0.7484656260184733
682.046972,0.7530527503878213
682.166574,0.7568047385246482
682.286176,0.7602104318605718
682.405778,0.7641967475482889
682.52538,0.76712923321676
682.644982,0.7717767150515745
682.764584,0.775800406500897
682.884186,0.7763514203762912
683.003788,0.7802741084052782
683.12339,0.7826106193325264
683.242992,0.784381319469704
683.362594,0.7883997663999307
683.482196,0.7885416911307253
683.601798,0.7929619823877401
683.7214,0.7939458651271312
683.841002,0.7972954230915078
683.960604,0.7993311208319166
684.080206,0.8034261567653491
684.199808,0.8009233735283484
684.31941,0.8050024162623031
684.439012,0.80381993204923
684.558614,0.8045839238233109
684.678216,0.8051392783060118
684.797818,0.8056869592056618
684.91742,0.8044149789391417
685.037022,0.8050909713985351
685.156624,0.8040771955874565
685.276226,0.8027435346875812
685.395828,0.8045195596840049
685.51543,0.8032494224523481
685.635032,0.802815784856912
685.754634,0.7995229833234943
685.874236,0.7986280188558275
685.993838,0.7934061654575288
686.11344,0.7863604530557287
686.233042,0.7820395220562809
686.352644,0.7764678818237378
686.472246,0.7681809205075685
686.591848,0.7545830001491158
686.71145,0.7423384557426539
686.831052,0.7290375787121922
686.950654,0.7132594783627206
687.070256,0.7021768384889993
687.189858,0.6886583462260605
687.30946,0.6762381311196595
687.429062,0.6720113827408424
687.548664,0.6730538080550069
687.668266,0.6761975580489965
687.787868,0.6875092465531502
687.90747,0.6991499772743236
688.027072,0.7115141315635979
688.146674,0.7250678806699948
688.266276,0.7332269551392347
688.385878,0.7417967464179217
688.50548,0.7467685359733571
688.625082,0.7527741724102818
688.744684,0.7559575917082729
688.864286,0.7610090720267376
688.983888,0.7632649960002926
689.10349,0.7655735404357406
689.223092,0.7652214575924025
689.342694,0.7658262213941494
689.462296,0.7669681529918001
689.581898,0.7658874899425702
689.7015,0.7666537605039375
689.821102,0.7644719079032986
689.940704,0.7638376594692501
690.060306,0.7628148024728024
690.179908,0.7611612890623392
690.29951,0.7593518792461538
690.419112,0.7591392904837805
690.538714,0.7565247725682901
690.658316,0.7566836594530684
690.777918,0.7537458777078567
690.89752,0.7524204516801319
