nu,[0]Allyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
669.971574,1.0
670.090776,1.0
670.209978,1.0
670.32918,1.0
670.448382,1.0
670.567584,1.0
670.686786,1.0
670.805988,1.0
670.92519,1.0
671.044392,1.0
671.163594,1.0
671.282796,1.0
671.401998,1.0
671.5212,1.0
671.640402,1.0
671.759604,1.0
671.878806,1.0
671.998008,1.0
672.11721,1.0
672.236412,1.0
672.355614,1.0
672.474816,1.0
672.594018,1.0
672.71322,1.0
672.832422,1.0
672.951624,1.0
673.070826,1.0
673.190028,1.0
673.30923,1.0
673.428432,1.0
673.547634,1.0
673.666836,1.0
673.786038,1.0
673.90524,1.0
674.024442,1.0
674.143644,1.0
674.262846,1.0
674.382048,1.0
674.50125,1.0
674.620452,1.0
674.739654,1.0
674.858856,1.0
674.978058,1.0
675.09726,1.0
675.216462,1.0
675.335664,1.0
675.454866,1.0
675.574068,1.0
675.69327,1.0
675.812472,1.0
675.931674,1.0
676.050876,1.0
676.170078,1.0
676.28928,1.0
676.408482,1.0
676.527684,1.0
676.646886,1.0
676.766088,1.0
676.88529,1.0
677.004492,1.0
677.123694,1.0
677.242896,1.0
677.362098,1.0
677.4813,1.0
677.600502,1.0
677.719704,1.0
677.838906,1.0
677.958108,1.0
678.07731,1.0
678.196512,1.0
678.315714,1.0
678.434916,1.0
678.554118,1.0
678.67332,1.0
678.792522,1.0
678.911724,1.0
679.030926,1.0
679.150128,1.0
679.26933,1.0
679.388532,1.0
679.507734,1.0
679.626936,1.0
679.746138,1.0
679.86534,1.0
679.984542,1.0
680.103744,1.0
680.222946,1.0
680.342148,1.0
680.46135,1.0
680.580552,1.0
680.699754,1.0
680.818956,1.0
680.938158,1.0
681.05736,1.0
681.176562,1.0
681.295764,1.0
681.414966,1.0
681.534168,1.0
681.65337,1.0
681.772572,1.0
681.891774,1.0
682.010976,1.0
682.130178,1.0
682.24938,1.0
682.368582,1.0
682.487784,1.0
682.606986,1.0
682.726188,1.0
682.84539,1.0
682.964592,1.0
683.083794,1.0
683.202996,1.0
683.322198,1.0
683.4414,1.0
683.560602,1.0
683.679804,1.0
683.799006,1.0
683.918208,1.0
684.03741,1.0
684.156612,1.0
684.275814,1.0
684.395016,1.0
684.514218,1.0
684.63342,1.0
684.752622,1.0
684.871824,1.0
684.991026,1.0
685.110228,1.0
685.22943,1.0
685.348632,1.0
685.467834,1.0
685.587036,1.0
685.706238,1.0
685.82544,1.0
685.944642,1.0
686.063844,1.0
686.183046,1.0
686.302248,1.0
686.42145,1.0
686.540652,1.0
686.659854,1.0
686.779056,1.0
686.898258,1.0
687.01746,1.0
687.136662,1.0
687.255864,1.0
687.375066,1.0
687.494268,1.0
687.61347,1.0
687.732672,1.0
687.851874,1.0
687.971076,1.0
688.090278,1.0
688.20948,1.0
688.328682,1.0
688.447884,1.0
688.567086,1.0
688.686288,1.0
688.80549,1.0
688.924692,1.0
689.043894,1.0
689.163096,1.0
689.282298,1.0
689.4015,1.0
689.520702,1.0
689.639904,1.0
689.759106,1.0
689.878308,1.0
689.99751,1.0
690.116712,1.0
690.235914,1.0
690.355116,1.0
690.474318,1.0
690.59352,1.0
690.712722,1.0
690.831924,1.0
690.951126,1.0
691.070328,1.0
691.18953,1.0
691.308732,1.0
691.427934,1.0
691.547136,1.0
691.666338,1.0
691.78554,1.0
691.904742,1.0
692.023944,1.0
692.143146,1.0
692.262348,1.0
692.38155,1.0
692.500752,1.0
692.619954,1.0
692.739156,1.0
692.858358,1.0
692.97756,1.0
693.096762,1.0
693.215964,1.0
693.335166,1.0
