nu,[0]Methylisothiocyanate-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
676.701534,0.7911086206279007
676.819536,0.7931285218900772
676.937539,0.7879347477317513
677.055541,0.7872731604492166
677.173543,0.7858101933519549
677.291546,0.7819769613969761
677.409548,0.7814219548050394
677.527551,0.7811719397840385
677.645553,0.7771126176940245
677.763555,0.7785438212140297
677.881558,0.7778123338749997
677.99956,0.778754056426234
678.117562,0.7819065866373621
678.235565,0.7833387857534088
678.353567,0.7831038193644033
678.471569,0.7849305786116044
678.589572,0.7829080678795174
678.707574,0.7853467020812472
678.825577,0.7825636641040374
678.943579,0.7807033772029993
679.061581,0.7807267986556354
679.179584,0.7819456829440936
679.297586,0.7827828126093455
679.415588,0.7834876342628625
679.533591,0.7809141955740435
679.651593,0.782728019730236
679.769595,0.7827828126093455
679.887598,0.7857709038245336
680.0056,0.7834092894167438
680.123602,0.7830490040156074
680.241605,0.7776956707748697
680.359607,0.7802272933632393
680.47761,0.7771514742963161
680.595612,0.7800634628344406
680.713614,0.7771437028204307
680.831617,0.7812656860414756
680.949619,0.7813985124980316
681.067621,0.7799932602819477
681.185624,0.7850561775518295
681.303626,0.7874070082632348
681.421628,0.7867615991703515
681.539631,0.7864548219721171
681.657633,0.788328813613878
681.775636,0.7813594435491386
681.893638,0.7814141406245623
682.01164,0.7865885306567685
682.129643,0.7854959321310485
682.247645,0.7826732306864937
682.365647,0.7886442082140382
682.48365,0.7848599380384028
682.601652,0.7855430633008973
682.719654,0.7906420042071102
682.837657,0.7912114714337398
682.955659,0.7909820533742505
683.073661,0.788920281997007
683.191664,0.7941284936775886
683.309666,0.7939855634128363
683.427669,0.796681741913302
683.545671,0.801299895989754
683.663673,0.799994841068002
683.781676,0.7955035250308271
683.899678,0.8023743575788698
684.01768,0.8041174004523491
684.135683,0.8080672449305599
684.253685,0.8045115145286339
684.371687,0.800971430372451
684.48969,0.806315640187551
684.607692,0.8005150067502288
684.725695,0.801861002281237
684.843697,0.8000748445522163
684.961699,0.800995459875803
685.079702,0.807412975477067
685.197704,0.8084875491675546
685.315706,0.8117360932174617
685.433709,0.8144681137148234
685.551711,0.8145902930951051
685.669713,0.8181823871965034
685.787716,0.8190746922164378
685.905718,0.819181178847907
686.02372,0.821412384718745
686.141723,0.8200089698026064
686.259725,0.8256205446964135
686.377728,0.8251995855723193
686.49573,0.8229087165078238
686.613732,0.8284490008624235
686.731735,0.8298917569577197
686.849737,0.8296179378605596
686.967739,0.8337847528852587
687.085742,0.830697142510813
687.203744,0.8346022624573485
687.321746,0.838945108135765
687.439749,0.8402380789342747
687.557751,0.8362396870436654
687.675754,0.8397256900006379
687.793756,0.8412301450713253
687.911758,0.8402548838639021
688.029761,0.837612245320568
688.147763,0.8397508821492182
688.265765,0.8397256900006379
688.383768,0.8353788035970946
688.50177,0.8380395365156746
688.619772,0.8388360523604862
688.737775,0.845785075097306
688.855777,0.8473935943493842
688.973779,0.8489542339110754
689.091782,0.8517263407927729
689.209784,0.8538327051436112
689.327787,0.8537217141065162
689.445789,0.8536448826097158
689.563791,0.8597187311772095
689.681794,0.8555420793583217
689.799796,0.853192570695178
689.917798,0.8591257298616785
690.035801,0.8625346128855909
690.153803,0.8634407498677851
690.271805,0.8618707168664383
690.389808,0.8606391225411358
690.50781,0.8648320091382614
690.625813,0.8666500646476012
690.743815,0.8640108088614726
690.861817,0.868723835471111
690.97982,0.8696103858471194
691.097822,0.8692799966784152
691.215824,0.8721271948995785
691.333827,0.8717871316102194
691.451829,0.8714994893203761
691.569831,0.8724237685605097
691.687834,0.8735499214343871
691.805836,0.8733228279782428
691.923838,0.8750012185473057
692.041841,0.8718220037929227
692.159843,0.8780778691875608
692.277846,0.87814811822702
692.395848,0.8774283319227906
692.51385,0.8767880429743873
692.631853,0.8771300569995472
692.749855,0.8792025284885201
692.867857,0.8793432121474708
692.98586,0.8842106083327099
693.103862,0.8888027025397987
693.221864,0.8870800967647398
693.339867,0.8884117153741655
693.457869,0.889994496484813
693.575872,0.8901992187611638
693.693874,0.8910631309330276
693.811876,0.8921508913517028
693.929879,0.8918119384181252
694.047881,0.8910185788902913
694.165883,0.8877545338919264
694.283886,0.8919457202422739
694.401888,0.8958341352965282
694.51989,0.8973583485407086
694.637893,0.8984358249154851
694.755895,0.901504720571756
694.873897,0.901333450945977
694.9919,0.9042132955645295
695.109902,0.9008378538496514
695.227905,0.9030385820095451
695.345907,0.9018924509576605
