nu,[0]Piperidine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
522.99926,0.9071994066992408
523.123062,0.8710899808024357
523.246865,0.8903505654924609
523.370667,0.9274781896306991
523.49447,0.9160466386934125
523.618272,0.9437499796328396
523.742075,0.9266948015885221
523.865877,0.9021630592821669
523.98968,0.9561236818297184
524.113482,0.9648255222008597
524.237285,0.924510380487535
524.361087,0.8825763308800477
524.48489,0.916430542657289
524.608692,0.9188816005673625
524.732495,0.8774634297580195
524.856297,0.9314125259555245
524.9801,0.937507051092989
525.103902,0.889140511746448
525.227705,0.890101302232608
525.351507,0.923822800575896
525.47531,0.8946971480844019
525.599112,0.8749487200491637
525.722914,0.9132523866055035
525.846717,0.881949924085849
525.970519,0.8826734196162271
526.094322,0.8842371350488587
526.218124,0.9219677816652821
526.341927,0.8829647499115554
526.465729,0.8736023360020946
526.589532,0.8901725131851866
526.713334,0.8616811261644697
526.837137,0.8973852696949801
526.960939,0.8724237685605097
527.084742,0.8446440356208667
527.208544,0.8724237685605097
527.332347,0.8666933982341642
527.456149,0.8714297721499545
527.579952,0.865905065987345
527.703754,0.860389573381976
527.827557,0.8631731247193674
527.951359,0.9031017969227819
528.075162,0.8728862757114152
528.198964,0.8526978624834245
528.322766,0.8656539899259971
528.446569,0.8284241477651959
528.570371,0.8676733153230527
528.694174,0.8492344350389093
528.817976,0.846868373156282
528.941779,0.8511218297176362
529.065581,0.8982112440330362
529.189384,0.8159436359454362
529.313186,0.8836979148753521
529.436989,0.8533205591796785
529.560791,0.8575206659493242
529.684594,0.8296262340814192
529.808396,0.8136703259432406
529.932199,0.8373944944456251
530.056001,0.8250015614356289
530.179804,0.8357882395144648
530.303606,0.8151933130018432
530.427409,0.8313536525407144
530.551211,0.8356294548339794
530.675014,0.8262317300101646
530.798816,0.8200745731442892
530.922618,0.8599594861260591
531.046421,0.8281922214750176
531.170223,0.8281011253410345
531.294026,0.8329680440801095
531.417828,0.8115412999312188
531.541631,0.8217903213344729
531.665433,0.8150628925056808
531.789236,0.8245314445416537
531.913038,0.7852446136458687
532.036841,0.8349361701394158
532.160643,0.8188945156043043
532.284446,0.8235755425963023
532.408248,0.8030807577840431
532.532051,0.8117279758971161
532.655853,0.8141505330827232
532.779656,0.7933982314355444
532.903458,0.8247211085844272
533.027261,0.8059931784281273
533.151063,0.7913539023169929
533.274865,0.8043908468517567
533.398668,0.7924625736691001
533.52247,0.7999068464752759
533.646273,0.8017327147841455
533.770075,0.7829707030303203
533.893878,0.7823836951585156
534.01768,0.8374279908953274
534.141483,0.8171357837100195
534.265285,0.8065817682575294
534.389088,0.7971598943898482
534.51289,0.8131416120819975
534.636693,0.8018770396616559
534.760495,0.8290788614197734
534.884298,0.8387605605129579
535.0081,0.805179536276368
535.131903,0.8125157340346663
535.255705,0.8168743420921221
535.379508,0.8274223607497707
535.50331,0.8030727270166191
535.627113,0.8130846941613022
535.750915,0.8338848130590952
535.874717,0.8180351276205674
535.99852,0.8118659813831526
536.122322,0.8158702043226737
536.246125,0.8036270384137003
536.369927,0.8633889449769553
536.49373,0.8206077948951283
536.617532,0.8266697488918203
536.741335,0.8218642857917438
536.865137,0.8278361753751808
536.98894,0.8180433080127455
537.112742,0.8396165327563124
537.236545,0.8199105746300585
537.360347,0.8530901937294353
537.48415,0.8214452418712724
537.607952,0.8524420914922464
537.731755,0.8313037728179685
537.855557,0.8361895141676441
537.97936,0.8439854701470064
538.103162,0.8112573101773488
538.226965,0.8605788799110746
538.350767,0.8478682676583416
538.474569,0.8490221529665143
538.598372,0.8410282740619982
538.722174,0.8562011004499868
538.845977,0.8415414578143076
538.969779,0.8379724960344084
539.093582,0.8284241477651959
539.217384,0.8354957648166925
539.341187,0.8346439936137416
539.464989,0.8424339647046742
539.588792,0.843529841024062
539.712594,0.8297672825299914
539.836397,0.822711242113737
539.960199,0.8322852902512906
540.084002,0.825843492340059
540.207804,0.8179615077720245
540.331607,0.7913064225072624
540.455409,0.7562827233710052
540.579212,0.7197797619106365
540.703014,0.694807812802558
540.826817,0.6507498276212039
540.950619,0.5639047075521492
541.074421,0.43638953744555403
541.198224,0.2777594021250632
541.322026,0.2126941629063383
541.445829,0.35786480627759754
541.569631,0.5818573292778229
541.693434,0.6228621828471702
541.817236,0.6566986772664796
541.941039,0.6609745117566556
542.064841,0.6499109015672154
542.188644,0.5787932189490417
542.312446,0.5282582526426773
542.436249,0.42300554130916374
542.560051,0.32193680836835364
