nu,[0]Methanol-HITRAN(x-sec)-X=0.01-T=203.9K-P=0.0987atm-L=15cm
882.463709,1.0
882.469509,1.0
882.47531,0.997917471477823
882.48111,0.9955837803034718
882.48691,0.9984951334489373
882.49271,1.0
882.49851,1.0
882.50431,1.0
882.51011,1.0
882.51591,1.0
882.52171,1.0
882.527511,1.0
882.533311,1.0
882.539111,1.0
882.544911,1.0
882.550711,1.0
882.556511,1.0
882.562311,1.0
882.568111,1.0
882.573911,1.0
882.579712,1.0
882.585512,1.0
882.591312,1.0
882.597112,1.0
882.602912,0.9994005397481349
882.608712,1.0
882.614512,1.0
882.620312,1.0
882.626113,1.0
882.631913,1.0
882.637713,0.9988844227195053
882.643513,0.9958637778283002
882.649313,0.994758584406345
882.655113,0.9959378728496712
882.660913,1.0
882.666713,0.9995058421362352
882.672513,0.994650957350241
882.678314,0.9945181803104993
882.684114,0.9972872860761056
882.689914,0.9999136907248598
882.695714,1.0
882.701514,0.9998731380476581
882.707314,0.9979487067835102
882.713114,0.9980646751608707
882.718914,0.9987550755621724
882.724714,1.0
882.730515,1.0
882.736315,1.0
882.742115,1.0
882.747915,1.0
882.753715,0.9976359986627262
882.759515,0.9978132943319423
882.765315,1.0
882.771115,1.0
882.776916,1.0
882.782716,1.0
882.788516,1.0
882.794316,1.0
882.800116,1.0
882.805916,0.9998316141784841
882.811716,0.995007305141243
882.817516,0.9935066733522412
882.823316,0.9957638977004561
882.829117,0.9992607933479526
882.834917,1.0
882.840717,1.0
882.846517,1.0
882.852317,1.0
882.858117,1.0
882.863917,1.0
882.869717,1.0
882.875518,0.9981097887037463
882.881318,0.9955112048912936
882.887118,0.9988474646795926
882.892918,0.9982215832604595
882.898718,0.9905289357441636
882.904518,0.9907468760825854
882.910318,0.9987130288585805
882.916118,1.0
882.921918,0.9997790744076536
882.927719,0.9969057969439774
882.933519,0.9923429655970211
882.939319,0.9936467676696011
882.945119,0.9993785531781136
882.950919,1.0
882.956719,1.0
882.962519,1.0
882.968319,1.0
882.974119,1.0
882.97992,1.0
882.98572,1.0
882.99152,1.0
882.99732,1.0
883.00312,1.0
883.00892,1.0
883.01472,1.0
883.02052,1.0
883.026321,0.9954639192321046
883.032121,0.9959774123680776
883.037921,0.9999529871051408
883.043721,1.0
883.049521,0.9991494619127472
883.055321,0.9999550990080797
883.061121,1.0
883.066921,1.0
883.072721,0.9993062707414881
883.078522,0.9998801871781295
883.084322,0.998200321367176
883.090122,0.9940399320936868
883.095922,0.995295500985556
883.101722,0.9978122965191469
883.107522,0.9978977129074982
883.113322,0.9990774857781225
883.119122,0.9972841944903107
883.124922,0.9925801639098681
883.130723,0.993513826626041
883.136523,0.9952600690964123
883.142323,0.9914971554126775
883.148123,0.9903839329224361
883.153923,0.9936319624430621
883.159723,0.9952868419523643
883.165523,0.9955616785888791
883.171323,0.9933960028732899
883.177124,0.9879383321840925
883.182924,0.9860314779406428
883.188724,0.98720259222378
883.194524,0.986297742383769
883.200324,0.9890365416135252
883.206124,0.997331267415203
883.211924,1.0
883.217724,0.9995521503146221
883.223524,1.0
883.229325,1.0
883.235125,0.9983126252203031
883.240925,0.9970658131653453
883.246725,1.0
883.252525,1.0
883.258325,1.0
883.264125,1.0
883.269925,0.9987258124671647
883.275726,0.9985419639688631
883.281526,0.9998169367581204
883.287326,0.9989362661663702
883.293126,0.9964007927302883
883.298926,0.9982248773971195
883.304726,1.0
883.310526,1.0
883.316326,0.9992853354944136
883.322126,0.9971945426711357
883.327927,1.0
883.333727,1.0
883.339527,1.0
883.345327,1.0
883.351127,0.999593982447444
883.356927,0.9983112275836061
883.362727,0.99988912614696
883.368527,1.0
883.374327,1.0
883.380128,0.9997550100149487
883.385928,0.9982872684016555
883.391728,0.9946952203026864
883.397528,0.993189199354485
883.403328,0.9964572902569258
883.409128,1.0
883.414928,1.0
883.420728,1.0
883.426529,1.0
883.432329,1.0
883.438129,1.0
883.443929,0.9958136871400668
883.449729,0.9984978293894371
883.455529,1.0
883.461329,1.0
883.467129,1.0
883.472929,1.0
883.47873,1.0
883.48453,1.0
883.49033,1.0
883.49613,1.0
883.50193,1.0
883.50773,1.0
883.51353,1.0
883.51933,1.0
883.525131,1.0
883.530931,1.0
883.536731,0.9948164810407332
883.542531,0.995959883319876
883.548331,0.9997481417216225
883.554131,1.0
883.559931,1.0
883.565731,1.0
883.571531,1.0
883.577332,1.0
883.583132,1.0
883.588932,1.0
883.594732,1.0
883.600532,1.0
883.606332,0.9995485319423871
883.612132,0.9998201761702434
883.617932,1.0
883.623732,1.0
883.629533,1.0
883.635333,1.0
883.641133,1.0
883.646933,1.0
883.652733,1.0
883.658533,1.0
883.664333,1.0
883.670133,1.0
883.675934,1.0
883.681734,1.0
883.687534,1.0
883.693334,1.0
883.699134,1.0
883.704934,1.0
883.710734,1.0
883.716534,1.0
883.722334,1.0
883.728135,1.0
883.733935,1.0
883.739735,1.0
883.745535,1.0
883.751335,1.0
883.757135,1.0
883.762935,1.0
883.768735,1.0
883.774535,1.0
883.780336,0.9999540140573858
883.786136,0.9987827414609363
883.791936,0.9984484049701468
883.797736,0.9966796246788647
883.803536,0.9963856475533424
883.809336,0.999739074047099
883.815136,1.0
883.820936,1.0
883.826737,1.0
883.832537,1.0
883.838337,0.9993168734372678
883.844137,0.9934586881387705
883.849937,0.9917432755488963
883.855737,0.9936334528921236
883.861537,0.9960110769735443
883.867337,0.9996641863980141
883.873137,1.0
883.878938,1.0
883.884738,1.0
883.890538,1.0
883.896338,1.0
883.902138,1.0
883.907938,1.0
883.913738,1.0
883.919538,1.0
883.925339,1.0
883.931139,1.0
883.936939,0.999865898992344
883.942739,1.0
883.948539,0.9998069586348826
883.954339,0.998405772133472
883.960139,1.0
883.965939,1.0
883.971739,0.9997909618515191
883.97754,1.0
883.98334,1.0
883.98914,0.9979914199022147
883.99494,0.9946631916322571
884.00074,0.9942221563135791
