nu,[0]HFE-125-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
653.1067,0.9497960515633935
653.347754,0.9568668786250643
653.588808,0.9562441610036575
653.829862,0.9421356619179616
654.070916,0.9442455784554544
654.31197,0.9477201696455543
654.553024,0.9605367847553357
654.794078,0.9537649705432262
655.035132,0.9538746598218513
655.276186,0.9521611341047357
655.51724,0.9546189723006424
655.758294,0.9622317047398176
655.999348,0.9578874425816238
656.240402,0.9662632175019397
656.481456,0.9593215146141499
656.72251,0.9698925372133135
656.963564,0.9605867339668112
657.204618,0.9739249808699709
657.445672,0.9579353381511322
657.686726,0.9505609452132903
657.92778,0.9507529779188736
658.168834,0.9604128835019049
