nu,[0]o-Toluidine-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
589.960799,0.8677861201862019
590.095802,0.8657838477635803
590.230805,0.8676039042343074
590.365807,0.8675518495617092
590.50081,0.8695669064148218
590.635813,0.8736984375445427
590.770815,0.8704194996855752
590.905818,0.8726506282308146
591.040821,0.8726593547807295
591.175824,0.8717086742990064
591.310826,0.8736460172109157
591.445829,0.873375228919934
591.580832,0.8718481588453604
591.715834,0.8749137228003113
591.850837,0.8712119419368283
591.98584,0.8757102566559964
592.120842,0.8750887230443124
592.255845,0.8753863037960086
592.390848,0.8772528638038027
592.525851,0.8754475829820209
592.660853,0.874878726951321
592.795856,0.877016037503565
592.930859,0.8765162808063776
593.065861,0.8759554898589064
593.200864,0.8781656813650153
593.335867,0.8766916015940333
593.470869,0.8787718247805868
593.605872,0.8753863037960086
593.740875,0.8787894003928379
593.875878,0.8794927132007654
594.01088,0.8785258031142889
594.145883,0.8801085736260071
594.280886,0.882867629130806
594.415888,0.8806544101334876
594.550891,0.8809538835405272
594.685894,0.8797741959038201
594.820896,0.8847766842470134
594.955899,0.8774897540557747
595.090902,0.8770511188466873
595.225905,0.8811124695118737
595.360907,0.8812446462953114
595.49591,0.8810331729580161
595.630913,0.8826292870485697
595.765915,0.8814914293442887
595.900918,0.8835918774879375
596.035921,0.8799325695122799
596.170923,0.8830088992527753
596.305926,0.8827705190327548
596.440929,0.8821351530182643
596.575932,0.8848917126926525
596.710934,0.8825233778888005
596.845937,0.8834416796359438
596.98094,0.8867253356829804
597.115942,0.8841398743134419
597.250945,0.8853608296053802
597.385948,0.8850333066939013
597.52095,0.8844847561120034
597.655953,0.8855379194796984
597.790956,0.8834681832838857
597.925959,0.8841221916927824
598.060961,0.8839277062047981
598.195964,0.8835035227180009
598.330967,0.8843520933485427
598.465969,0.8857061876693714
598.600972,0.8857150447755335
598.735975,0.8883139954601682
598.870977,0.8876835163699538
599.00598,0.8872309132002236
599.140983,0.8892294302434735
599.275986,0.890858209979726
599.410988,0.8894428709185884
599.545991,0.8897186409507197
599.680994,0.8888471437859475
599.815996,0.8885983014252438
599.950999,0.8900300969766776
600.086002,0.8897898212891713
600.221004,0.8924721234909051
600.356007,0.8929452590862127
600.49101,0.8895496104673435
600.626013,0.8895851931634113
600.761015,0.8898076172635563
600.896018,0.8871067095668328
601.031021,0.8852014789980361
601.166023,0.8890071506720167
601.301026,0.8876746395791741
601.436029,0.8886693921329482
601.571031,0.8860250992975812
601.706034,0.8888915872542142
601.841037,0.888225168502044
601.97604,0.886166874655195
602.111042,0.8882429331830604
602.246045,0.8844140001617903
602.381048,0.8862200462628066
602.51605,0.8906088045993144
602.651053,0.8925345987261573
602.786056,0.8923382627121909
602.921058,0.8920884429750269
603.056061,0.8938833440166551
603.191064,0.8945629535770289
603.326067,0.8915533504530512
603.461069,0.8925613751657636
603.596072,0.8934007773156218
603.731075,0.8914463704699241
603.866077,0.8936420280928864
604.00108,0.8927220506736553
604.136083,0.8915800974547677
604.271085,0.8926238566488516
604.406088,0.8919813987846497
604.541091,0.8934186455098495
604.676094,0.8929631181699847
604.811096,0.8925256734247965
604.946099,0.8929184711302615
605.081102,0.8908760273220985
605.216104,0.8950282472787668
605.351107,0.8924096526287665
605.48611,0.891196800427629
605.621112,0.8921508913517028
605.756115,0.892507823089832
605.891118,0.8932935756545722
606.026121,0.8902971460611303
606.161123,0.890190316813486
606.296126,0.8906355232642303
606.431129,0.8920616807231734
606.566131,0.8937939601515212
606.701134,0.8924542742269286
606.836137,0.8912680990235691
606.971139,0.8890071506720167
607.106142,0.8916068452589064
607.241145,0.8910363994400741
607.376148,0.8907245912698828
607.51115,0.8893272508608355
