nu,[0]HFC-236cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
374.184256,1.0
374.304785,1.0
374.425313,1.0
374.545842,1.0
374.66637,1.0
374.786899,1.0
374.907427,1.0
375.027956,1.0
375.148485,1.0
375.269013,1.0
375.389542,1.0
375.51007,1.0
375.630599,1.0
375.751127,1.0
375.871656,1.0
375.992184,1.0
376.112713,1.0
376.233241,1.0
376.35377,1.0
376.474299,1.0
376.594827,1.0
376.715356,1.0
376.835884,1.0
376.956413,1.0
377.076941,1.0
377.19747,1.0
377.317998,1.0
377.438527,1.0
377.559055,1.0
377.679584,1.0
377.800113,1.0
377.920641,1.0
378.04117,1.0
378.161698,1.0
378.282227,1.0
378.402755,1.0
378.523284,1.0
378.643812,1.0
378.764341,1.0
378.884869,1.0
379.005398,1.0
379.125927,1.0
379.246455,1.0
379.366984,1.0
379.487512,1.0
379.608041,1.0
379.728569,1.0
379.849098,1.0
379.969626,1.0
380.090155,1.0
380.210684,1.0
380.331212,1.0
380.451741,1.0
380.572269,1.0
380.692798,1.0
380.813326,1.0
380.933855,1.0
381.054383,1.0
381.174912,1.0
381.29544,1.0
381.415969,1.0
381.536498,1.0
381.657026,1.0
381.777555,1.0
381.898083,1.0
382.018612,1.0
382.13914,1.0
382.259669,1.0
382.380197,1.0
382.500726,1.0
382.621254,1.0
382.741783,1.0
382.862312,1.0
382.98284,1.0
383.103369,1.0
383.223897,1.0
383.344426,1.0
383.464954,1.0
383.585483,1.0
383.706011,1.0
383.82654,1.0
383.947068,1.0
384.067597,1.0
384.188126,1.0
384.308654,1.0
384.429183,1.0
384.549711,1.0
384.67024,1.0
384.790768,1.0
384.911297,1.0
385.031825,1.0
385.152354,1.0
385.272882,1.0
385.393411,1.0
385.51394,1.0
385.634468,1.0
385.754997,1.0
385.875525,1.0
385.996054,1.0
386.116582,1.0
