nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
624.766903,1.0
624.827168,1.0
624.887433,1.0
624.947698,1.0
625.007963,1.0
625.068228,1.0
625.128493,1.0
625.188758,1.0
625.249023,1.0
625.309288,1.0
625.369553,1.0
625.429818,1.0
625.490083,1.0
625.550348,1.0
625.610613,1.0
625.670878,1.0
625.731143,1.0
625.791408,1.0
625.851673,1.0
625.911938,1.0
625.972203,1.0
626.032468,1.0
626.092733,1.0
626.152998,1.0
626.213263,1.0
626.273528,1.0
626.333793,1.0
626.394058,1.0
626.454323,1.0
626.514588,1.0
626.574853,1.0
626.635118,1.0
626.695383,1.0
626.755648,1.0
626.815913,1.0
626.876178,1.0
626.936442,1.0
626.996707,1.0
627.056972,1.0
627.117237,1.0
627.177502,1.0
627.237767,1.0
627.298032,1.0
627.358297,1.0
627.418562,1.0
627.478827,1.0
627.539092,1.0
627.599357,1.0
627.659622,1.0
627.719887,1.0
627.780152,1.0
627.840417,1.0
627.900682,1.0
627.960947,1.0
628.021212,1.0
628.081477,1.0
628.141742,1.0
628.202007,1.0
628.262272,1.0
628.322537,1.0
628.382802,1.0
628.443067,1.0
628.503332,1.0
628.563597,1.0
628.623862,1.0
628.684127,1.0
628.744392,1.0
628.804657,1.0
628.864922,1.0
628.925187,1.0
628.985452,1.0
629.045717,1.0
629.105981,1.0
629.166246,1.0
629.226511,1.0
629.286776,1.0
629.347041,1.0
629.407306,1.0
629.467571,1.0
629.527836,1.0
629.588101,1.0
629.648366,1.0
629.708631,1.0
629.768896,1.0
629.829161,1.0
629.889426,1.0
629.949691,1.0
630.009956,1.0
630.070221,1.0
630.130486,1.0
630.190751,1.0
630.251016,1.0
630.311281,1.0
630.371546,1.0
630.431811,1.0
630.492076,1.0
630.552341,1.0
630.612606,1.0
630.672871,1.0
630.733136,1.0
630.793401,1.0
630.853666,1.0
630.913931,1.0
630.974196,1.0
631.034461,1.0
631.094726,1.0
631.154991,1.0
631.215256,1.0
631.27552,1.0
631.335785,1.0
631.39605,1.0
631.456315,1.0
631.51658,1.0
631.576845,1.0
631.63711,1.0
631.697375,1.0
631.75764,1.0
631.817905,1.0
631.87817,1.0
631.938435,1.0
631.9987,1.0
632.058965,1.0
632.11923,1.0
632.179495,1.0
632.23976,1.0
632.300025,1.0
632.36029,1.0
632.420555,1.0
632.48082,1.0
632.541085,1.0
632.60135,1.0
632.661615,1.0
632.72188,1.0
632.782145,1.0
632.84241,1.0
632.902675,1.0
632.96294,1.0
633.023205,1.0
633.08347,1.0
633.143735,1.0
633.204,1.0
633.264265,1.0
633.32453,1.0
633.384794,1.0
633.445059,1.0
633.505324,1.0
633.565589,1.0
633.625854,1.0
633.686119,1.0
633.746384,1.0
633.806649,1.0
633.866914,1.0
633.927179,1.0
633.987444,1.0
634.047709,1.0
634.107974,1.0
634.168239,1.0
634.228504,1.0
634.288769,1.0
634.349034,1.0
634.409299,1.0
634.469564,1.0
634.529829,1.0
634.590094,1.0
634.650359,1.0
634.710624,1.0
634.770889,1.0
634.831154,1.0
634.891419,1.0
634.951684,1.0
635.011949,1.0
635.072214,1.0
635.132479,1.0
635.192744,1.0
635.253009,1.0
635.313274,1.0
635.373539,1.0
635.433804,1.0
635.494069,1.0
635.554333,1.0
635.614598,1.0
635.674863,1.0
635.735128,1.0
635.795393,1.0
635.855658,1.0
635.915923,1.0
635.976188,1.0
636.036453,1.0
636.096718,1.0
636.156983,1.0
636.217248,1.0
636.277513,1.0
636.337778,1.0
636.398043,1.0
636.458308,1.0
636.518573,1.0
636.578838,1.0
636.639103,1.0
636.699368,1.0
636.759633,1.0
636.819898,1.0
636.880163,1.0
636.940428,1.0
637.000693,1.0
637.060958,1.0
637.121223,1.0
637.181488,1.0
637.241753,1.0
637.302018,1.0
637.362283,1.0
637.422548,1.0
637.482813,1.0
637.543078,1.0
637.603343,1.0
637.663608,1.0
637.723872,1.0
637.784137,1.0
637.844402,1.0
637.904667,1.0
637.964932,1.0
638.025197,1.0
638.085462,1.0
638.145727,1.0
638.205992,1.0
638.266257,1.0
638.326522,1.0
638.386787,1.0
638.447052,1.0
638.507317,1.0
638.567582,1.0
638.627847,1.0
638.688112,1.0
638.748377,1.0
638.808642,1.0
638.868907,1.0
638.929172,1.0
638.989437,1.0
639.049702,1.0
639.109967,1.0
639.170232,1.0
639.230497,1.0
639.290762,1.0
639.351027,1.0
639.411292,1.0
639.471557,1.0
639.531822,1.0
639.592087,1.0
639.652352,1.0
639.712617,1.0
639.772882,1.0
639.833147,1.0
639.893411,1.0
639.953676,1.0
640.013941,1.0
640.074206,1.0
640.134471,1.0
640.194736,1.0
640.255001,1.0
640.315266,1.0
640.375531,1.0
640.435796,1.0
640.496061,1.0
640.556326,1.0
640.616591,1.0
640.676856,1.0
640.737121,1.0
640.797386,1.0
640.857651,1.0
640.917916,1.0
640.978181,1.0
641.038446,1.0
641.098711,1.0
641.158976,1.0
641.219241,1.0
641.279506,1.0
641.339771,1.0
641.400036,1.0
641.460301,1.0
641.520566,1.0
641.580831,1.0
641.641096,1.0
641.701361,1.0
641.761626,1.0
641.821891,1.0
641.882156,1.0
641.942421,1.0
642.002685,1.0
642.06295,1.0
642.123215,1.0
642.18348,1.0
642.243745,1.0
642.30401,1.0
642.364275,1.0
642.42454,1.0
642.484805,1.0
642.54507,1.0
642.605335,1.0
642.6656,1.0
642.725865,1.0
642.78613,1.0
642.846395,1.0
642.90666,1.0
642.966925,1.0
643.02719,1.0
643.087455,1.0
643.14772,1.0
643.207985,1.0
643.26825,1.0
643.328515,1.0
643.38878,1.0
643.449045,1.0
643.50931,1.0
643.569575,1.0
643.62984,1.0
643.690105,1.0
643.75037,1.0
643.810635,1.0
643.8709,1.0
643.931165,1.0
643.99143,1.0
644.051695,1.0
644.11196,1.0
644.172224,1.0
644.232489,1.0
644.292754,1.0
644.353019,1.0
644.413284,1.0
644.473549,1.0
644.533814,1.0
644.594079,1.0
644.654344,1.0
644.714609,1.0
644.774874,1.0
644.835139,1.0
644.895404,1.0
644.955669,1.0
645.015934,0.7106181883206041
645.076199,0.7298107682636932
645.136464,0.7523527368866921
645.196729,0.7399075744325323
645.256994,0.707293192227961
645.317259,0.7029426285227011
645.377524,0.7144730507201724
645.437789,0.7077743151619343
645.498054,0.7007808960038515
