nu,[0]Ethyl2-2-2-trifluoroacetate-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
515.840317,0.9463289907873921
515.960319,0.9312067065311723
516.080322,0.9424711219219422
516.200324,0.9497827545117512
516.320326,0.9221291401455288
516.440329,0.9339540863921254
516.560331,0.9431291964063208
516.680334,0.9329403628058427
516.800336,0.9416891954351281
516.920338,0.9330737828170274
517.040341,0.9528507483760704
517.160343,0.9319864528228399
517.280346,0.9378811910423315
517.400348,0.9507225543103606
517.52035,0.9450730999836924
517.640353,0.9277620413838294
517.760355,0.9272519125593546
517.880358,0.9559037986704302
518.00036,0.929532971642062
518.120362,0.9457320455502342
518.240365,0.9191196217243187
518.360367,0.9480424492876682
518.48037,0.9289893538773508
518.600372,0.9202029826129932
518.720374,0.9307337736593746
518.840377,0.9387904383756388
518.960379,0.9060362162067062
519.080382,0.9123268180280597
519.200384,0.9358098264663014
519.320386,0.9123724355093887
519.440389,0.9218073732272112
519.560391,0.9278947208421024
519.680394,0.9233222242864126
519.800396,0.9111661649011646
519.920398,0.9193154150549955
520.040401,0.9177988775509309
520.160403,0.9253206064079829
520.280406,0.921523500274936
520.400408,0.9070887351227269
520.52041,0.9276191770302938
520.640413,0.9151630800726739
520.760415,0.9045479163849226
520.880418,0.8976006680064703
521.00042,0.9081224978081208
521.120422,0.8980495805592594
521.240425,0.918557292606085
521.360427,0.9003965514291878
521.48043,0.9227425599632091
521.600432,0.9040324709884769
521.720434,0.9091865321235586
521.840437,0.9163407368646642
521.960439,0.8988492004640333
522.080442,0.8985436436834716
522.200444,0.8990020178172191
522.320446,0.8912057124401933
522.440449,0.9124627648517328
522.560451,0.8996855190483288
522.680454,0.8888471437859475
522.800456,0.8878965859812132
522.920458,0.9021179522568878
523.040461,0.8958789281231044
523.160463,0.9188751684186711
523.280466,0.8899855965843477
523.400468,0.8884827911543888
523.52047,0.8736634903059903
523.640473,0.8944198349542517
523.760475,0.892838112084071
523.880478,0.8719963856312839
524.00048,0.8964435096723364
524.120482,0.8903238553761499
524.240485,0.8909829388599411
524.360487,0.8843609369136939
524.48049,0.8846528241816257
524.600492,0.8820469439134913
524.720494,0.8799677675190158
524.840497,0.8653251039021274
524.960499,0.8830000692079331
525.080502,0.881923465985
525.200504,0.882020482902091
525.320506,0.8803550385300987
525.440509,0.8817647340474257
525.560511,0.8595725914151412
525.680514,0.8638121092267684
525.800516,0.8786312325363014
525.920518,0.8730346789922077
526.040521,0.8727204430736295
526.160523,0.8870357438687332
526.280526,0.8873107675758046
526.400528,0.8762884161970508
526.52053,0.8636911839964403
526.640533,0.8804518829106803
526.760535,0.8638553009120129
526.880538,0.8776389399944097
527.00054,0.8770774307749297
527.120542,0.8878344353954905
527.240545,0.8841575572877572
527.360547,0.8698887056993918
527.48055,0.8732093033898638
527.600552,0.8774020094676717
527.720554,0.8717609783885714
527.840557,0.8721882459399829
527.960559,0.8791146126315373
528.080562,0.8831325291525617
528.200564,0.880478296863375
528.320566,0.8763497585331413
528.440569,0.8886516189228382
528.560571,0.887905464991468
528.680574,0.8770949724989618
528.800576,0.8838569948167949
528.920578,0.8804078614170813
529.040581,0.8833886747253289
529.160583,0.8732966286863948
529.280586,0.8894517653917698
529.400588,0.8883939473175392
529.52059,0.8844140001617903
529.640593,0.8863175358297234
529.760595,0.88635298924022
529.880598,0.8794223565980109
530.0006,0.8833445063958101
530.120602,0.8936777744889333
530.240605,0.8851395170631994
530.360607,0.8931417286540717
530.48061,0.8915711816983721
530.600612,0.8968380316050525
530.720614,0.8917762666540285
530.840617,0.8961118869277487
530.960619,0.8873551342233403
531.080622,0.8946882011576558
531.200624,0.8926863425057965
531.320626,0.895753513852371
531.440629,0.8973314281940595
531.560631,0.8967393848472471
531.680634,0.9020187247397531
531.800636,0.8966497153923099
531.920638,0.9017030734282959
532.040641,0.9038697597881463
532.160643,0.894249911328866
532.280646,0.8964345452820618
532.400648,0.9107990389175639
532.52065,0.9008378538496514
532.640653,0.8963359429053108
532.760655,0.8998024857684772
532.880658,0.8997844898987211
533.00066,0.90176619485266
533.120662,0.8993886718095312
533.240665,0.9091674394068582
533.360667,0.8902526323166802
533.48067,0.9083132235581634
533.600672,0.9100652306566511
533.720674,0.9113402142598453
533.840677,0.903417937873144
533.960679,0.9074035495309555
534.080682,0.9212609034991757
534.200684,0.9064902540780155
534.320686,0.9152271437304809
534.440689,0.9066135451361721
534.560691,0.9140829104408239
534.680694,0.91224471230925
534.800696,0.9175648686745552
534.920698,0.9141907785883514
535.040701,0.9222084466617126
535.160703,0.9137365386593654
535.280706,0.9183791097756129
535.400708,0.9199646809019001
535.52071,0.9176850775458607
535.640713,0.9205702168614164
535.760715,0.923199430596544
535.880718,0.9227139553872235
536.00072,0.9217059799928863
536.120722,0.93346855651591
536.240725,0.9204358234207145
536.360727,0.9244798721483692
536.48073,0.9288137914806371
536.600732,0.9245787967870629
536.720734,0.9378643093328285
536.840737,0.9281926228582084
536.960739,0.9332492171785103
537.080742,0.9248895074592531
537.200744,0.9287329881957722
537.320746,0.9285184756526516
537.440749,0.9336851463444703
537.560751,0.9367086352589009
537.680754,0.9356769509053312
537.800756,0.9435565307162063
537.920758,0.9346118215645608
538.040761,0.9432687898570494
538.160763,0.9309990705878841
538.280766,0.9429622773113325
538.400768,0.9394882188647028
538.52077,0.9438887210770919
538.640773,0.9363124912965413
538.760775,0.9412937690184057
538.880778,0.9382123215438644
539.00078,0.9423241078943146
539.120782,0.9413784892699715
539.240785,0.9434159512665586
539.360787,0.9483743222192941
539.48079,0.9514996120220842
539.600792,0.9513730709888505
539.720794,0.9536552938781429
539.840797,0.9568515688774846
539.960799,0.9540053496022924
540.080802,0.9520525939223556
540.200804,0.9571874827275926
540.320806,0.9612036286520234
540.440809,0.9558235061236761
540.560811,0.9549244992534839
540.680814,0.9617035845161814
540.800816,0.9596525376348796
