nu,[0]2-(Perfluoroheptyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
527.195329,1.0
527.436388,1.0
527.677446,1.0
527.918505,1.0
528.159564,1.0
528.400622,1.0
528.641681,1.0
528.88274,1.0
529.123798,1.0
529.364857,1.0
529.605916,1.0
529.846974,1.0
530.088033,1.0
530.329092,1.0
530.57015,1.0
530.811209,1.0
531.052268,1.0
531.293326,1.0
531.534385,1.0
531.775444,1.0
532.016502,1.0
532.257561,1.0
532.49862,1.0
532.739678,1.0
532.980737,1.0
533.221796,1.0
533.462854,1.0
533.703913,1.0
533.944972,1.0
534.18603,1.0
534.427089,1.0
534.668148,1.0
534.909206,1.0
535.150265,1.0
535.391324,1.0
535.632382,1.0
535.873441,1.0
536.1145,1.0
536.355558,1.0
536.596617,1.0
536.837676,1.0
537.078734,1.0
537.319793,1.0
537.560852,1.0
537.80191,1.0
538.042969,1.0
538.284028,1.0
538.525086,1.0
538.766145,1.0
539.007204,1.0
539.248262,1.0
539.489321,1.0
539.73038,1.0
539.971438,1.0
540.212497,1.0
540.453556,1.0
540.694614,1.0
540.935673,1.0
541.176732,1.0
541.41779,1.0
541.658849,1.0
541.899908,1.0
542.140966,1.0
542.382025,1.0
542.623084,1.0
542.864142,1.0
543.105201,1.0
543.34626,1.0
543.587318,1.0
543.828377,1.0
544.069435,1.0
544.310494,1.0
544.551553,1.0
544.792611,1.0
545.03367,1.0
545.274729,1.0
545.515787,1.0
545.756846,1.0
545.997905,1.0
546.238963,1.0
546.480022,1.0
546.721081,1.0
546.962139,1.0
547.203198,1.0
547.444257,1.0
547.685315,1.0
547.926374,1.0
548.167433,1.0
548.408491,1.0
548.64955,1.0
548.890609,1.0
549.131667,1.0
549.372726,1.0
549.613785,1.0
549.854843,1.0
550.095902,1.0
550.336961,1.0
550.578019,1.0
550.819078,1.0
551.060137,1.0
551.301195,1.0
551.542254,1.0
551.783313,1.0
552.024371,1.0
552.26543,1.0
552.506489,1.0
552.747547,1.0
552.988606,1.0
553.229665,1.0
553.470723,1.0
553.711782,1.0
553.952841,1.0
554.193899,1.0
554.434958,1.0
554.676017,1.0
554.917075,1.0
555.158134,1.0
555.399193,1.0
555.640251,1.0
555.88131,1.0
556.122369,1.0
556.363427,1.0
556.604486,1.0
556.845545,1.0
557.086603,1.0
557.327662,1.0
557.568721,1.0
557.809779,1.0
558.050838,1.0
558.291897,1.0
558.532955,1.0
558.774014,1.0
559.015073,1.0
559.256131,1.0
559.49719,1.0
559.738249,1.0
559.979307,1.0
560.220366,1.0
560.461425,1.0
560.702483,1.0
560.943542,1.0
561.184601,1.0
561.425659,1.0
561.666718,1.0
561.907777,1.0
562.148835,1.0
562.389894,1.0
562.630953,1.0
562.872011,1.0
563.11307,1.0
563.354129,1.0
563.595187,1.0
563.836246,1.0
564.077305,1.0
564.318363,1.0
564.559422,1.0
564.800481,1.0
565.041539,1.0
565.282598,1.0
565.523657,1.0
565.764715,1.0
566.005774,1.0
566.246833,1.0
566.487891,1.0
566.72895,1.0
566.970009,1.0
567.211067,1.0
567.452126,1.0
567.693185,1.0
567.934243,1.0
568.175302,1.0
568.416361,1.0
568.657419,1.0
568.898478,1.0
569.139537,1.0
569.380595,1.0
569.621654,1.0
569.862713,1.0
570.103771,1.0
570.34483,1.0
570.585889,1.0
570.826947,1.0
571.068006,1.0
571.309065,1.0
571.550123,1.0
571.791182,1.0
572.032241,1.0
572.273299,1.0
572.514358,1.0
572.755417,1.0
572.996475,1.0
573.237534,1.0
573.478592,1.0
573.719651,1.0
573.96071,1.0
574.201768,1.0
574.442827,1.0
574.683886,1.0
574.924944,1.0
575.166003,1.0
575.407062,1.0
575.64812,1.0
575.889179,1.0
576.130238,1.0
576.371296,1.0
576.612355,1.0
576.853414,1.0
577.094472,1.0
577.335531,1.0
577.57659,1.0
577.817648,1.0
578.058707,1.0
578.299766,1.0
578.540824,1.0
578.781883,1.0
579.022942,1.0
579.264,1.0
579.505059,1.0
579.746118,1.0
579.987176,1.0
580.228235,1.0
580.469294,1.0
580.710352,1.0
580.951411,1.0
581.19247,1.0
581.433528,1.0
581.674587,1.0
581.915646,1.0
582.156704,1.0
582.397763,1.0
582.638822,1.0
582.87988,1.0
583.120939,1.0
583.361998,1.0
583.603056,1.0
583.844115,1.0
584.085174,1.0
584.326232,1.0
584.567291,1.0
584.80835,1.0
585.049408,1.0
585.290467,1.0
585.531526,1.0
585.772584,1.0
586.013643,1.0
586.254702,1.0
586.49576,1.0
586.736819,1.0
586.977878,1.0
587.218936,1.0
587.459995,1.0
587.701054,1.0
587.942112,1.0
588.183171,1.0
588.42423,1.0
588.665288,1.0
588.906347,1.0
589.147406,1.0
589.388464,1.0
589.629523,1.0
589.870582,1.0
590.11164,1.0
590.352699,1.0
590.593758,1.0
590.834816,1.0
591.075875,1.0
591.316934,1.0
591.557992,1.0
591.799051,1.0
592.04011,1.0
592.281168,1.0
592.522227,1.0
592.763286,1.0
593.004344,1.0
593.245403,1.0
593.486462,1.0
593.72752,1.0
593.968579,1.0
594.209638,1.0
594.450696,1.0
594.691755,1.0
594.932814,1.0
595.173872,1.0
595.414931,1.0
595.65599,1.0
595.897048,1.0
596.138107,1.0
596.379166,1.0
596.620224,1.0
596.861283,1.0
597.102342,1.0
597.3434,1.0
597.584459,1.0
