nu,[0]Methylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
587.366747,0.977510739971358
587.48575,0.9774618656562274
587.604752,0.978012331628223
587.723754,0.9782196922219745
587.842757,0.9778235934620376
587.961759,0.9772869156407685
588.080762,0.9774530685390236
588.199764,0.9781160064300429
588.318766,0.9782539305103688
588.437769,0.9780201557581725
588.556771,0.9783586092811477
588.675774,0.9779028003809449
588.794776,0.9778304382511486
588.913778,0.9777639480420403
589.032781,0.9769068249630141
589.151783,0.976276923226061
589.270785,0.9768618882826173
589.389788,0.9770416474073936
589.50879,0.9785415794482607
589.627793,0.9801800497088872
589.746795,0.9805712195819212
589.865797,0.9806447651813153
589.9848,0.9800937976596586
590.103802,0.979940914952385
590.222804,0.9796401192659949
590.341807,0.9789399269293098
590.460809,0.9797390679148634
590.579812,0.9801281015428912
590.698814,0.9793590028938945
590.817816,0.9786081225381026
590.936819,0.9778275047642341
591.055821,0.9776427128292215
591.174823,0.9783038227330656
591.293826,0.9783938308250658
591.412828,0.9786462889991228
591.531831,0.9786590114835757
591.650833,0.977479460128159
591.769835,0.9767016960690595
591.888838,0.976983026667189
592.00784,0.976680208868106
592.126843,0.9755440144983922
592.245845,0.9754757288074044
592.364847,0.9746284086130171
592.48385,0.9737594276956415
592.602852,0.9730118675550093
592.721854,0.9724506016482161
592.840857,0.9724807480841344
592.959859,0.9725663301555217
593.078862,0.9712901885343376
593.197864,0.9709803963786711
593.316866,0.9697325181466093
593.435869,0.9703814862568778
593.554871,0.9700884752949105
593.673873,0.9696403979331648
593.792876,0.9701360107948102
593.911878,0.9690306858974023
594.030881,0.9678617714413094
594.149883,0.9679614663379669
594.268885,0.9682470570931019
594.387888,0.9677301511907733
594.50689,0.9675714564593016
594.625893,0.9663617813767971
594.744895,0.9663878734971363
594.863897,0.965299367851848
594.9829,0.9664284626401892
595.101902,0.9662207028556987
595.220904,0.9651709915731355
595.339907,0.965427761205741
595.458909,0.9645920626742291
595.577912,0.9636308436350557
595.696914,0.9638380465399513
595.815916,0.9643384083187556
595.934919,0.9640144450424388
596.053921,0.964759916295976
596.172923,0.9634506615148493
596.291926,0.9627928493814499
596.410928,0.9622961764238124
596.529931,0.9626474786369608
596.648933,0.9635296677083031
596.767935,0.9630586168821073
596.886938,0.9626657691128139
597.00594,0.9623712384529546
597.124942,0.9614574199089594
597.243945,0.961685312321662
597.362947,0.9622711570484787
597.48195,0.9621018122276195
597.600952,0.9628881705918608
597.719954,0.9619276875583642
597.838957,0.9619007539601847
597.957959,0.9618122631614595
598.076962,0.9620864187217723
598.195964,0.963297485037521
598.314966,0.9626051230797299
598.433969,0.9627244935158058
598.552971,0.9620383156034241
598.671973,0.9621345242453364
598.790976,0.9624212830585026
598.909978,0.9630942507101536
599.028981,0.9627745564910948
599.147983,0.963791783424041
599.266985,0.9628515815365748
599.385988,0.9630306885871799
599.50499,0.9630355037526608
599.623992,0.963319641134471
599.742995,0.9640703595017549
599.861997,0.963652043746816
599.981,0.9640125170154767
600.100002,0.9640530063914623
600.219004,0.9634188681676124
600.338007,0.9642699427223225
600.457009,0.9650281568364139
600.576012,0.9646161777772335
600.695014,0.9657212958601545
600.814016,0.9647821060292319
600.933019,0.9649075358557777
601.052021,0.9649615721907889
601.171023,0.9649509576718748
601.290026,0.9657183987006126
601.409028,0.9652482083410909
601.528031,0.965972416041287
601.647033,0.9661723930283117
601.766035,0.9663105655596153
601.885038,0.9673576467942624
602.00404,0.9677998302700758
602.123042,0.9675462999284701
602.242045,0.9675695213183239
602.361047,0.966987219756846
602.48005,0.9675908080819464
602.599052,0.9677717644819538
602.718054,0.9689260362345089
602.837057,0.9695705863377612
602.956059,0.9686615555298757
603.075062,0.9691256555580576
