nu,[0]HFE-227ea-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
630.126558,0.9999949206129002
630.608675,0.9999951636116954
631.090792,0.9999957712089413
631.572908,0.9999961601073724
632.055025,0.999996135807466
632.537142,0.9999958441086357
633.019258,0.9999954067105492
633.501375,0.9999946290144238
633.983492,0.9999941672170107
634.465608,0.9999946047145546
634.947725,0.9999952852111147
635.429842,0.9999955525098901
635.911958,0.9999953095110004
636.394075,0.9999951636116954
636.876192,0.9999955039101075
637.358308,0.999995819808737
637.840425,0.9999956983092523
638.322542,0.9999956254095685
638.804659,0.9999959414082361
639.286775,0.999996208707187
639.768892,0.9999960629077503
640.251009,0.9999957955088389
640.733125,0.9999955768097823
641.215242,0.9999951393118132
641.697359,0.9999939242184577
642.179475,0.9999919313325518
642.661592,0.9999900843491604
643.143709,0.9999887960627646
643.625825,0.9999880430714846
644.107942,0.9999874110792412
644.590059,0.9999860260976359
645.072175,0.999984106126309
645.554292,0.9999823321560782
646.036409,0.99998087318292
646.518525,0.999979123217923
647.000642,0.9999766692721657
647.482759,0.999974117334962
647.964876,0.9999716874008092
648.446992,0.9999691594755787
648.929109,0.9999668025510475
649.411226,0.9999648826166297
649.893342,0.9999634246688938
650.375459,0.999962184715016
650.857576,0.9999602167913728
651.339692,0.9999567899335818
651.821809,0.9999529501068809
652.303926,0.9999505922206046
652.786042,0.9999496692666339
653.268159,0.9999487943110561
653.750276,0.9999471413970652
654.232392,0.9999448085231056
654.714509,0.9999431316170678
655.196626,0.9999423296629978
655.678742,0.9999409937409378
656.160859,0.9999392198471884
656.642976,0.9999379559248133
657.125093,0.99993742095815
657.607209,0.9999372749672971
658.089326,0.9999371779733862
658.571443,0.999937566949024
659.053559,0.9999386118843275
659.535676,0.999939437833962
660.017793,0.9999393898368701
660.499909,0.9999393648383857
660.982026,0.9999405807653926
661.464143,0.9999426216462007
661.946259,0.9999440315662912
662.428376,0.9999445905351612
662.910493,0.9999452944964007
663.392609,0.9999462664436992
663.874726,0.9999471903944763
664.356843,0.9999478463600484
664.838959,0.9999477253663662
665.321076,0.9999469474073386
665.803193,0.9999469474073386
666.28531,0.9999476763689289
666.767426,0.9999472873893585
667.249543,0.9999454404884243
667.73166,0.9999440555649483
668.213776,0.9999443225500467
668.695893,0.9999449305163797
669.17801,0.9999452215003968
669.660126,0.9999454644871152
670.142243,0.9999451735030274
670.62436,0.999944492540596
671.106476,0.9999443225500467
671.588593,0.9999449785137375
672.07071,0.9999462664436992
672.552826,0.999947312388041
673.034943,0.999947870358797
673.51706,0.9999487213147967
673.999176,0.9999497902605512
674.481293,0.9999503012350245
674.96341,0.9999507142145843
675.445526,0.9999515651730041
675.927643,0.9999524151321958
676.40976,0.9999529981046237
676.891877,0.9999538730638798
677.373993,0.9999551130074512
677.85611,0.9999558909728318
678.338227,0.9999562549568423
678.820343,0.9999570809210501
679.30246,0.999958660854486
679.784577,0.9999605317788908
680.266693,0.9999623067104099
680.74881,0.9999637156582927
681.230927,0.9999648826166297
681.713043,0.9999663645656839
682.19516,0.9999687224891516
682.677277,0.9999714194084329
683.159393,0.9999734613521561
683.64151,0.9999746273218918
684.123627,0.9999756002976776
684.605743,0.9999768632676583
685.08786,0.9999784192328681
685.569977,0.9999798532029495
686.052094,0.9999808001843188
686.53421,0.9999815301705695
687.016327,0.9999826721501289
687.498444,0.9999837901313814
687.98056,0.9999843241228679
688.462677,0.9999847381164637
688.944794,0.9999851021109747
689.42691,0.999985321107736
689.909027,0.9999858800996867
690.391144,0.999986949085164
690.87326,0.99998826206889
691.355377,0.9999894040561375
691.837494,0.9999901329486797
692.31961,0.999990546044689
692.801727,0.9999909592408679
693.283844,0.9999915182359703
693.76596,0.9999922959296765
694.248077,0.9999929034251808
694.730194,0.9999930979238194
695.212311,0.9999930736239875
695.694427,0.9999928791253535
696.176544,0.9999928548255269
696.658661,0.9999931951231533
697.140777,0.9999932680226599
697.622894,0.9999934867212115
698.105011,0.9999944346154868
698.587127,0.9999952852111147
699.069244,0.9999951150119316
699.551361,0.9999944589153519
700.033477,0.9999943859157591
700.515594,0.9999951150119316
700.997711,0.9999957955088389
701.479827,0.9999957712089413
701.961944,0.9999956497094625
702.444061,0.9999964031064689
702.926177,0.9999975697029532
703.408294,0.9999978127023922
703.890411,0.999997010704468
704.372528,0.9999963545066448
704.854644,0.999996548905955
705.336761,0.9999971808039739
705.818878,0.9999973509035088
706.300994,0.9999967920051456
706.783111,0.9999965732058714
707.265228,0.9999974482032559
707.747344,0.9999982988014471
708.229461,0.9999980071019858
708.711578,0.9999973752034448
709.193694,0.9999973995033813
709.675811,0.9999979342021338
710.157928,0.9999982745014887
710.640044,0.9999981286017511
711.122161,0.9999981530017057
711.604278,0.9999986876008612
712.086394,0.9999993438102153
712.568511,0.9999997812700239
713.050628,0.9999995868400854
713.532745,0.9999988820006249
714.014861,0.9999982259015737
714.496978,0.9999978856022353
714.979095,0.9999982502015309
715.461211,0.9999994410201563
715.943328,0.9999995382401066
716.425445,0.9999993924201845
716.907561,0.9999993681101996
717.389678,0.9999995382401066
717.871795,0.9999993438102153
718.353911,0.9999980800018432
718.836028,0.9999976669027216
719.318145,0.9999978127023922
719.800261,0.9999979099021843
720.282378,0.9999980314019377
720.764495,0.9999982259015737
721.246611,0.9999984446012097
