nu,[0]3-3-Dimethyl-2-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
626.066921,0.9985572417777867
626.201524,0.9974169418507383
626.336127,1.0
626.470729,0.9993314335901843
626.605332,0.9960125709912803
626.739935,0.999932383286113
626.874537,1.0
627.00914,0.9977900455530337
627.143743,0.9997744654367443
627.278346,1.0
627.412948,0.9995592871424538
627.547551,0.997402778630723
627.682154,1.0
627.816756,0.9985650305546488
627.951359,0.9973980908486798
628.085962,1.0
628.220564,0.9999919457324358
628.355167,0.9963170985789025
628.48977,0.9992817680521338
628.624372,1.0
628.758975,0.9963063384123428
628.893578,0.9987889339331301
629.028181,1.0
629.162783,0.9978286607749963
629.297386,0.9987095333690965
629.431989,0.9999780412410971
629.566591,1.0
629.701194,0.9930021994348415
629.835797,0.9994037977992052
629.970399,0.9998592998991878
630.105002,0.9975634731619574
630.239605,0.9977764757006894
630.374207,1.0
630.50881,0.9988236923928245
630.643413,0.9976907703825229
630.778016,1.0
630.912618,0.9999882890685735
631.047221,0.9963867435781575
631.181824,0.999156565890676
631.316426,1.0
631.451029,0.9962950802143277
631.585632,0.9958383836257431
631.720234,1.0
631.854837,0.9962513438203272
631.98944,0.9979067938180037
632.124042,1.0
632.258645,0.9990514801296326
632.393248,0.9962155790390657
632.527851,0.9993697686792391
632.662453,0.9999689674815185
632.797056,0.9962122915330792
632.931659,0.9988384750928637
633.066261,1.0
633.200864,0.9953288439433304
633.335467,0.9995191056667637
633.470069,0.9998236255558014
633.604672,0.9968372121844905
633.739275,0.996999809593256
633.873877,0.9996901880016518
634.00848,0.9979662708353128
634.143083,0.9951025318968727
634.277686,0.9991999202346357
634.412288,0.999987552077476
634.546891,0.9967811915073614
634.681494,0.9978677764251604
634.816096,0.9999284465600695
634.950699,0.9989007046682932
635.085302,0.9951484071810103
635.219904,0.9997583791950095
635.354507,0.9986370296888895
635.48911,0.9949422337913432
635.623712,0.9996450230192424
635.758315,0.9984427138304582
635.892918,0.996216276390215
636.027521,0.9977349690626443
636.162123,0.9997701964088912
636.296726,0.9963431027945289
636.431329,0.9967442116111379
636.565931,1.0
636.700534,0.995944346466884
636.835137,0.9944369314942273
636.969739,0.9996226612101953
637.104342,0.9983394801911193
637.238945,0.9949540736743724
637.373547,0.9986723820654738
637.50815,0.9996718138648552
637.642753,0.9954629237686832
637.777356,0.9979996034654105
637.911958,0.9999386018849414
638.046561,0.9964164363455361
638.181164,0.9955081188113419
638.315766,0.9994605755417146
638.450369,0.9998045890951985
638.584972,0.9939869511772602
638.719574,0.9985964858485296
638.854177,1.0
638.98878,0.9947621655436949
639.123382,0.9965305325593813
639.257985,1.0
639.392588,0.9964933626637397
639.527191,0.9948850262576325
639.661793,1.0
639.796396,0.9986412239732221
639.930999,0.9938199753958208
640.065601,0.9989891112925917
640.200204,0.9986037756294839
640.334807,0.9930132218204294
640.469409,0.9968327264271286
640.604012,1.0
640.738615,0.9953989175605065
640.873217,0.9954358475453949
641.00782,0.9983962873236897
641.142423,0.9978996089149539
641.277026,0.9940738294333176
641.411628,0.998039224836147
641.546231,0.9981931343507354
641.680834,0.9947653487877178
641.815436,0.997804413833141
641.950039,0.9977324747283396
642.084642,0.9885115026201179
642.219244,0.9887566838739865
642.353847,0.9963993977701548
642.48845,0.9944351415093616
642.623052,0.9914087178107903
642.757655,0.9977178081687605
642.892258,0.9970049940057454
643.026861,0.9920657437021354
643.161463,0.997049461420094
643.296066,0.999069473208817
643.430669,0.9940965939846647
643.565271,0.9977372638557122
643.699874,0.999853840682314
643.834477,0.9973325639466933
643.969079,0.9950095936606767
644.103682,0.998565529837289
644.238285,0.9973374508882297
644.372887,0.9928053066212612
644.50749,0.9968757905310882
644.642093,0.9981896406808791
644.776696,0.9928061008658242
644.911298,0.9956107609895047
645.045901,0.9997204890704604
645.180504,0.9931169971242748
645.315106,0.9953679611355453
