nu,[0]CFC-113a-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.0036atm-L=15cm
828.27432,1.0
828.393522,1.0
828.512724,1.0
828.631926,1.0
828.751128,1.0
828.87033,1.0
828.989532,1.0
829.108734,1.0
829.227936,1.0
829.347138,1.0
829.46634,1.0
829.585542,1.0
829.704744,1.0
829.823946,1.0
829.943148,1.0
830.06235,1.0
830.181552,1.0
830.300754,1.0
830.419956,1.0
830.539158,1.0
830.65836,1.0
830.777562,1.0
830.896764,1.0
831.015966,1.0
831.135168,1.0
831.25437,1.0
831.373572,1.0
831.492774,1.0
831.611976,1.0
831.731178,1.0
831.85038,1.0
831.969582,1.0
832.088784,1.0
832.207986,1.0
832.327188,1.0
832.44639,1.0
832.565592,1.0
832.684794,1.0
832.803996,1.0
832.923198,1.0
833.0424,1.0
833.161602,1.0
833.280804,1.0
833.400006,1.0
833.519208,1.0
833.63841,1.0
833.757612,1.0
833.876814,1.0
833.996016,1.0
834.115218,1.0
834.23442,1.0
834.353622,1.0
834.472824,1.0
834.592026,1.0
834.711228,1.0
834.83043,1.0
834.949632,1.0
835.068834,1.0
835.188036,1.0
835.307238,1.0
835.42644,1.0
835.545642,1.0
835.664844,1.0
835.784046,1.0
835.903248,1.0
836.02245,1.0
836.141652,1.0
836.260854,1.0
836.380056,1.0
836.499258,1.0
836.61846,1.0
836.737662,1.0
836.856864,1.0
836.976066,1.0
837.095268,1.0
837.21447,1.0
837.333672,1.0
837.452874,1.0
837.572076,1.0
837.691278,1.0
837.81048,1.0
837.929682,1.0
838.048884,1.0
838.168086,1.0
838.287288,1.0
838.40649,1.0
838.525692,1.0
838.644894,1.0
838.764096,1.0
838.883298,1.0
839.0025,1.0
839.121702,1.0
839.240904,1.0
839.360106,1.0
839.479308,1.0
839.59851,1.0
839.717712,1.0
839.836914,1.0
839.956116,1.0
840.075318,0.998947254525734
840.19452,0.999266219348792
840.313722,0.9991676166234053
840.432924,0.9991224752502375
840.552126,0.9989632378096722
840.671328,0.9989857147353874
840.79053,0.9990133870229451
840.909732,0.9991351841689512
841.028934,0.9988970087425233
841.148136,0.9987953262027625
841.267338,0.9989498517919722
841.38654,0.9987439894423616
841.505742,0.9987699571236656
841.624944,0.9985290828606113
841.744146,0.9983955884465332
841.863348,0.9986283415845244
841.98255,0.9986706843238673
842.101752,0.9984930366113587
842.220954,0.9986738800751703
842.340156,0.9983779170010104
842.459358,0.9981773630238066
842.57856,0.9982895644650133
842.697762,0.998257120581384
842.816964,0.9979645742940945
842.936166,0.9981144798307774
843.055368,0.9979097875428757
843.17457,0.9978012208641255
843.293772,0.9979803422589348
843.412974,0.9979200660666218
843.532176,0.9979716598677256
843.651378,0.9976456757788472
843.77058,0.9976925662275258
843.889782,0.9975761422985154
844.008984,0.9976246256771677
844.128186,0.9972659443565407
844.247388,0.9972878844486567
844.36659,0.9971167645301943
844.485792,0.9970945290742714
844.604994,0.9969864498853177
844.724196,0.9970657134587689
844.843398,0.9969452751952006
844.9626,0.9968465824983255
845.081802,0.9964620732633982
845.201004,0.9964972489954325
845.320206,0.996520567303882
845.439408,0.9961940610149539
845.55861,0.9962732615909858
845.677812,0.9959375740683541
845.797014,0.9959807986970364
845.916216,0.995732929924789
846.035418,0.9957745524311642
846.15462,0.9957833152857821
