nu,[0]3-Methoxyphenol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
755.619062,0.6015774442409102
755.860116,0.5958120583412428
756.10117,0.5869298337173737
756.342224,0.5696859698836141
756.583278,0.5667142899777454
756.824332,0.5541055981608838
757.065386,0.5359470018208041
757.30644,0.5245995863789593
757.547494,0.5187672266440874
757.788548,0.5086882121095236
758.029602,0.5028265496803027
758.270656,0.48856146082944346
758.51171,0.47280132993638
758.752764,0.4731276754302838
758.993818,0.47843735318197106
759.234872,0.4782603641062919
759.475926,0.4911773572575841
759.71698,0.49324957288485505
759.958034,0.48773161191746384
760.199088,0.45052126497302186
760.440142,0.49047547560169613
760.681196,0.5223643218312091
760.92225,0.535031315582554
761.163304,0.5535628406692956
761.404358,0.565135360739207
761.645412,0.5752158024423786
761.886466,0.5845575749573877
762.12752,0.5904147635474298
762.368574,0.5906332574288178
762.609628,0.5960027487087436
762.850682,0.5984633453819754
763.091736,0.5968675795452022
763.33279,0.599223876665754
763.573844,0.6071799948508729
763.814898,0.6105225800234194
764.055952,0.6105164748281452
764.297006,0.6184926319459115
764.53806,0.6286189554790921
764.779114,0.6209715570186081
765.020168,0.625414905935214
765.261222,0.6363605332986021
765.502276,0.6413307272322686
765.74333,0.6283675581797122
765.984384,0.6390133070608975
766.225438,0.6426275246256908
766.466492,0.638380996932065
766.707546,0.6429296305515962
766.9486,0.6501124051781473
767.189654,0.6631261734762488
767.430708,0.657704195267817
767.671762,0.6721054709204449
767.912816,0.6749544985076729
768.15387,0.6747655377038378
768.394924,0.6795802165776483
768.635978,0.6812472293650745
768.877032,0.6856897589356568
769.118086,0.6878599656946716
769.35914,0.6845113862413127
769.600194,0.7001504769285852
769.841248,0.7018679486408141
770.082302,0.7015662103012908
770.323356,0.7178605132834299
770.56441,0.7238652664340588
770.805464,0.7303583316504939
771.046518,0.73256002211061
771.287572,0.7525860023894119
771.528626,0.7525483740300092
771.76968,0.7543038560838973
772.010734,0.7676203530676075
772.251788,0.7732908808107848
772.492842,0.7666154287742136
772.733896,0.7788397240840756
772.97495,0.7961401824798764
773.216004,0.8012518194383056
773.457058,0.7974150263749935
773.698112,0.8159517954225929
773.939166,0.8243253374449789
774.18022,0.8288716176109739
774.421274,0.8339598660696054
774.662328,0.8378216745594622
774.903382,0.844838326091607
775.144436,0.8443400184944092
775.38549,0.8514453174717095
775.626544,0.8612503932935788
775.867598,0.8636393640800135
776.108652,0.8624656128765972
776.349706,0.8754738468034656
776.59076,0.8918030203433315
776.831814,0.8864859521605758
777.072868,0.9015588124777313
777.313922,0.9080353222328258
777.554976,0.9012703598126263
777.79603,0.9039239936007317
778.037084,0.9154303467110853
778.278138,0.9150212407880911
778.519192,0.9093865751645535
778.760246,0.9102873136659567
779.0013,0.9251670159356811
779.242354,0.929658467063984
779.483408,0.9352728257598565
779.724462,0.9486294692277052
779.965516,0.9494067150017016
780.20657,0.9434631232434115
780.447624,0.9466612105643184
780.688678,0.9633177144971153
780.929732,0.9554059025045366
781.170786,0.9517165786668829
781.41184,0.9608163416332525
781.652894,0.9700875052069202
781.893948,0.9569683118900666
782.135002,0.9686150608910905
782.376056,0.9773015750544484
782.61711,0.9734595559745269
782.858164,0.9733583214449923
783.099218,0.9870683418004733
783.340272,0.985767256911754
783.581326,0.9855592819626744
783.82238,0.9895776925930876
784.063434,0.9890493991721401
784.304488,0.9917622180263594
784.545542,0.9819980071583951
784.786596,0.9967616547874684
785.02765,0.9908055300337894
785.268704,0.9945248436046294
785.509758,0.9870308339161392
785.750812,1.0
785.991866,0.9945525912348436
786.23292,0.9947465479002947
786.473974,1.0
786.715028,1.0
786.956082,1.0
787.197136,0.9989598413404377
787.43819,1.0
787.679244,0.997974154799994
787.920298,0.9999656005916732
788.161352,0.9992732242295418
788.402406,1.0
788.64346,1.0
788.884514,0.9995623158116822
789.125568,1.0
789.366622,1.0
789.607676,0.9990275331526597
789.84873,1.0
790.089784,1.0
790.330838,1.0
790.571892,1.0
790.812946,1.0
791.054,1.0
791.295054,0.9978653815453709
791.536108,1.0
791.777162,1.0
792.018216,1.0
792.25927,1.0
792.500324,1.0
792.741378,1.0
792.982432,1.0
793.223486,1.0
793.46454,1.0
793.705594,1.0
793.946648,0.9984788581109064
794.187702,1.0
794.428756,1.0
794.66981,1.0
794.910864,1.0
795.151918,1.0
795.392972,1.0
795.634026,0.9989313713906582
795.87508,1.0
796.116134,1.0
796.357188,0.9988207958083167
796.598242,0.9977340711015762
796.839296,0.99997437132842
797.08035,0.9993254875858438
797.321404,0.9972683377976793
797.562458,0.998129252034393
797.803512,1.0
798.044566,0.9937535904387466
798.28562,0.9919019671679752
798.526674,0.991164464795929
798.767728,1.0
799.008782,0.9941828853140121
799.249836,0.9964099596597492
799.49089,1.0
799.731944,0.9962651918102495
799.972998,0.9926154011311439
800.214052,0.9978105004586296
800.455106,0.9866883936335954
800.69616,0.9786423744217959
800.937214,0.9798958387070588
801.178268,0.976327690946018
801.419322,0.9804163015680726
801.660376,0.963487273335607
801.90143,0.9869331227003666
802.142484,0.9746098908491728
802.383538,0.9733524813125841
802.624592,0.9692254806414836
802.865646,0.9783155624493766
803.1067,0.975458170402312
803.347754,0.9695948259054129
803.588808,0.9662844755265622
803.829862,0.9699749815828126
804.070916,0.9600105547974673
