nu,[0]Methylbutylether-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
653.455069,1.0000416098656664
653.573071,0.9998760576814839
653.691074,1.000377291156411
653.809076,0.9994106237504548
653.927079,1.0002139328803754
654.045081,0.9998826368875889
654.163083,0.9994289231265059
654.281086,0.9994217372583818
654.399088,0.9997646277044061
654.51709,0.9995813576551714
654.635093,0.9998448620351388
654.753095,0.9995731511259129
654.871097,0.9994209377213118
654.9891,0.9998383230711235
655.107102,0.9997115516092386
655.225105,0.9993952729211686
655.343107,0.9992979965198217
655.461109,0.9996881786263933
655.579112,0.9995957017505724
655.697114,0.9997308562256857
655.815116,1.0000453800296425
655.933119,0.999532769186328
656.051121,0.9997699764594722
656.169123,0.9998670188427781
656.287126,0.9996101859972288
656.405128,1.0004263308531767
656.52313,0.9993686393920386
656.641133,0.9999256327653799
656.759135,0.9994663524405365
656.877138,0.999539336138194
656.99514,0.9997370045893577
657.113142,0.9992161573652658
657.231145,1.0001128463666722
657.349147,0.9993118268997996
657.467149,0.9993525396929414
657.585152,0.9999756902954856
657.703154,0.9997152105602134
657.821156,0.9999277966067904
657.939159,0.9997309861907054
658.057161,0.9995331090275273
658.175164,0.9997506610901141
658.293166,0.999845311965428
658.411168,0.9999017108306969
658.529171,0.9993797124579077
658.647173,0.9995095203245021
658.765175,0.9991273809536344
658.883178,0.999695986221557
659.00118,0.9995205949513406
659.119182,0.9993751153218038
659.237185,0.999640024806623
659.355187,1.000164043453656
659.473189,0.9997118715169864
659.591192,0.9993420365529433
659.709194,0.9996290388231184
659.827197,1.0002827199577562
659.945199,0.9997728358056938
660.063201,0.9998233855981601
660.181204,0.9996757025957747
660.299206,0.9996987553832741
660.417208,0.9997942211753673
660.535211,0.9997601587665084
660.653213,0.9996407045620709
660.771215,0.999567053748288
660.889218,0.9999039996083325
661.00722,1.0001907981996616
661.125223,0.9999610587582298
661.243225,0.9996036385719534
661.361227,0.9997607586227836
661.47923,0.9995158872204252
661.597232,0.9994228066402128
661.715234,0.9994926487461956
661.833237,0.9993791528054254
661.951239,0.999849041395397
662.069241,0.9991523094927715
662.187244,0.9995185359410358
662.305246,0.9997583991901773
662.423248,0.9996060576156858
662.541251,0.999144596066716
662.659253,0.999172982167913
662.777256,0.9993269865751995
662.895258,0.9998658190030754
663.01326,0.9999612017526714
663.131263,0.9995572180568708
663.249265,0.9994542189926681
663.367267,0.9994601857521662
663.48527,0.9997682768519569
663.603272,0.9997303763549898
663.721274,0.9994858921987272
663.839277,0.999445473806512
663.957279,0.9992031776316852
664.075282,0.9993326527752769
664.193284,0.999353489078305
664.311286,0.9995732111003037
664.429289,0.9998206260894239
664.547291,0.9997114016525172
664.665293,0.9996897481380658
664.783296,0.9996214216788639
664.901298,1.0000014593010649
665.0193,0.9995054123488155
665.137303,1.0000738667280125
665.255305,1.0002607339851983
665.373307,0.9994924288578371
665.49131,0.999440216737146
665.609312,0.9996234709048788
665.727315,0.9997899020736611
665.845317,0.9998759376963642
665.963319,0.9998614995920672
666.081322,0.9994117630792152
666.199324,0.9997478917846183
666.317326,0.9993723170753984
666.435329,0.9993977514245188
666.553331,0.9998900060497782
666.671333,0.9995264621544532
666.789336,0.9996454928525137
666.907338,0.9995702923507888
667.025341,0.9995306601744102
667.143343,0.9995011444698166
667.261345,0.9995703723164153
667.379348,0.9994564877563202
667.49735,0.9997846831839936
667.615352,0.9997476618426296
667.733355,1.0003527922165414
667.851357,0.9993660510306145
667.969359,0.9992491220500468
668.087362,0.9999039426138062
668.205364,0.9997895221535705
668.323366,0.9995691228542308
668.441369,0.9996599378342501
668.559371,1.0000390537625783
668.677374,0.9997325257776097
668.795376,0.9997355249796859
668.913378,0.9995355378959334
669.031381,0.9996718238615733
669.149383,0.9994955072992587
669.267385,0.9998130874703238
669.385388,1.0003132090397118
669.50339,0.9998695085147546
669.621392,0.9996077869356613
669.739395,1.0001719047739326
669.857397,0.999651770645921
669.9754,0.9997386641541628
670.093402,0.9996757925665919
670.211404,0.9999480443497415
670.329407,0.9995604066494823
670.447409,0.9995507109605619
670.565411,0.9996355264366327
670.683414,0.9997263274551647
670.801416,1.0001435503023588
670.919418,0.999820456119932
