nu,[0]Methylbromide-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
560.948219,0.9978463224985978
561.067221,0.9987027421673598
561.186224,0.9984315313346854
561.305226,0.9989284744938817
561.424228,0.9987985223529201
561.543231,0.9973503166243299
561.662233,0.9961997393372849
561.781236,0.9975278607816502
561.900238,0.9983950892488638
562.01924,0.9996900080574341
562.138243,0.9993954228304708
562.257245,0.9983825095499915
562.376248,0.9979170723109142
562.49525,0.9956038912989543
562.614252,0.9963517710172299
562.733255,0.9981339432529018
562.852257,0.9984678749038749
562.971259,0.9987741519662946
563.090262,0.998035232687232
563.209264,0.9979856315687655
563.328267,0.9971022067317042
563.447269,0.9957767431375893
563.566271,0.9963788721539754
563.685274,0.9980411211124758
563.804276,0.9981929347121286
563.923278,0.9979618797933814
564.042281,0.9979763503455497
564.161283,0.9968380096545792
564.280286,0.9950409369565313
564.399288,0.9942353795561925
564.51829,0.9962282310572597
564.637293,0.9976111578356291
564.756295,0.9982598158792483
564.875298,0.997825767076076
564.9943,0.9972859896034764
565.113302,0.9954179298613988
565.232305,0.995351637234839
565.351307,0.9942911577255485
565.470309,0.9962148816884044
565.589312,0.9974124534845987
565.708314,0.9971857673977714
565.827317,0.9974058705841293
565.946319,0.9957663871133121
566.065321,0.9949110925867879
566.184324,0.9919678316452716
566.303326,0.9943723946316172
566.422328,0.9960620740461992
566.541331,0.9973958965752936
566.660333,0.9983235068872229
566.779336,0.9956942962366063
566.898338,0.9943800513285341
567.01734,0.992611827722132
567.136343,0.9924432965424868
567.255345,0.9943759743786814
567.374347,0.9969932294162273
567.49335,0.9962529378237525
567.612352,0.9961204449939904
567.731355,0.9940463933742445
567.850357,0.9930327843735898
567.969359,0.9907935413594076
568.088362,0.9915187702862668
568.207364,0.9952531023003124
568.326367,0.9961776239485534
568.445369,0.9945025664976372
568.564371,0.9944554281931719
568.683374,0.992712980020999
568.802376,0.9906413671587325
568.921378,0.9897459351010364
569.040381,0.992497683925338
569.159383,0.9947375952216507
569.278386,0.9957122188952421
569.397388,0.9936275904720456
569.51639,0.992859912414771
569.635393,0.9901948866746797
569.754395,0.9882614408441035
569.873397,0.989463897701771
569.9924,0.9932193927650829
570.111402,0.9939971892955836
570.230405,0.9931133225981833
570.349407,0.9926072617182262
570.468409,0.9904166161314926
570.587412,0.9870910446334163
570.706414,0.9870643935350026
570.825417,0.990578661544845
570.944419,0.9927666872459854
571.063421,0.9924321812398114
571.182424,0.9914853566667308
571.301426,0.990086070236207
571.420428,0.9863332497416235
571.539431,0.9843241652031548
571.658433,0.9870288598564455
571.777436,0.9900590412554368
571.896438,0.9914410382618115
572.01544,0.9907065535052989
572.134443,0.9902481605926383
572.253445,0.9869627311381719
572.372447,0.983215456743538
572.49145,0.984352711017858
572.610452,0.9876094034891425
572.729455,0.989061267836142
572.848457,0.990155081640322
572.967459,0.98891687543194
573.086462,0.9865680249922085
573.205464,0.9809095750156331
573.324466,0.9812117416960181
573.443469,0.9840348164349382
573.562471,0.9881359396106133
573.681474,0.9890711584982735
573.800476,0.9881191414424247
573.919478,0.9861221970096266
574.038481,0.9793570441778475
574.157483,0.9774110389607188
574.276486,0.9792689060101486
574.395488,0.9852409977202727
574.51449,0.9876775508890415
574.633493,0.9882594643231983
574.752495,0.9853730288598561
574.871497,0.9781130720864252
574.9905,0.9746800652875633
575.109502,0.9745748055246418
575.228505,0.9829107071905688
575.347507,0.9868502237998623
575.466509,0.9872134515120206
575.585512,0.9837819519815885
575.704514,0.9764409515271544
575.823516,0.9696597909350528
575.942519,0.9718459254477841
576.061521,0.9791230058129876
576.180524,0.9830886301301106
576.299526,0.9853966780963385
576.418528,0.9827770404239371
576.537531,0.9739288765776858
576.656533,0.9660864075117443
576.775536,0.9688223666950511
576.894538,0.9754025708712007
577.01354,0.9816857814386394
577.132543,0.9839757761171793
577.251545,0.9806329975147393
577.370547,0.9718420380718571
577.48955,0.9633909294255492
577.608552,0.9657377132617316
577.727555,0.97053578917995
577.846557,0.9798301878851925
577.965559,0.9819410529256687
578.084562,0.9787745000606228
578.203564,0.9683787476476212
578.322566,0.9589071772231569
578.441569,0.9627389344915156
578.560571,0.9655127225869732
578.679574,0.9770856152707964
578.798576,0.9801408432910325
578.917578,0.9765815691484001
579.036581,0.9643731251263539
579.155583,0.9542610572992868
579.274585,0.9587518468425472
579.393588,0.9613747381262149
579.51259,0.9751665520084841
579.631593,0.9780025515538071
579.750595,0.9725264557534162
579.869597,0.959930877228084
579.9886,0.9511904248938069
580.107602,0.9554450749495689
580.226605,0.9593905882498232
580.345607,0.9732765627799029
580.464609,0.9737681915699281
580.583612,0.9666739666473888
580.702614,0.9543603056100686
580.821616,0.947451055333416
580.940619,0.9512903051320415
581.059621,0.9559965258360961
581.178624,0.9691372851357016
581.297626,0.9697819757661933
581.416628,0.9622365159103692
581.535631,0.9489662924718695
581.654633,0.9434546321135124
581.773635,0.9478775042521265
581.892638,0.9523363478725833
582.01164,0.96586133560069
582.130643,0.9655194811996863
582.249645,0.9576451277127741
582.368647,0.9420546417349545
582.48765,0.9398659690513869
582.606652,0.9438217073569106
582.725655,0.9497894030143025
582.844657,0.9616862740074552
582.963659,0.9606270794568872
583.082662,0.9513045745936392
583.201664,0.9349530171438372
583.320666,0.9374451776694623
583.439669,0.9395135853890587
583.558671,0.9469471454238995
583.677674,0.9578328445534552
583.796676,0.9563723063067756
583.915678,0.9427840742816375
584.034681,0.9271221063782409
584.153683,0.9358435162264662
584.272685,0.9348978565430793
584.391688,0.944635632419956
584.51069,0.9537220520852243
584.629693,0.9505466869060496
584.748695,0.9332613494971935
584.867697,0.9224002859692145
584.9867,0.9339811714533623
585.105702,0.9269311388946532
585.224704,0.9418992155420818
585.343707,0.9505495385503878
585.462709,0.9407150513243907
585.581712,0.9222942160354662
585.700714,0.9240621016693991
585.819716,0.9265928707666454
585.938719,0.9230526535561631
586.057721,0.942259089774021
586.176724,0.9448378060771035
586.295726,0.9300796977511113
586.414728,0.9136625289971658
586.533731,0.9213152594959682
586.652733,0.9174171526221598
586.771735,0.9234117908860783
586.890738,0.9411412917788146
587.00974,0.9358715919530868
587.128743,0.9174777041524115
587.247745,0.910085252311963
587.366747,0.9167320979089421
587.48575,0.9102927754062239
587.604752,0.9264437013229144
587.723754,0.9360606571095992
587.842757,0.9243421349090983
587.961759,0.9049550545465118
588.080762,0.9089856241011135
588.199764,0.9110960078075501
588.318766,0.9082305708155765
588.437769,0.9273492791218283
588.556771,0.928780354786008
588.675774,0.9113611753258247
588.794776,0.8976275964304349
588.913778,0.9082578181414087
589.032781,0.9021991465262783
589.151783,0.9086548135451145
589.270785,0.9248340157535734
589.389788,0.917349266264692
589.50879,0.8933561083934884
