nu,[0]HCFE-235ca2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
730.664196,0.999996581805842
730.783198,0.9999965246060392
730.9022,0.999996531306016
731.021202,0.9999965793058506
731.140204,0.9999965867058253
731.259206,0.999996500306124
731.378208,0.9999965288060246
731.49721,0.9999965454059672
731.616212,0.9999964945061443
731.735214,0.9999964274063817
731.854216,0.9999963754065688
731.973218,0.9999962827069091
732.09222,0.9999963297067356
732.211222,0.9999962334070936
732.330224,0.9999961130075544
732.449226,0.9999961115075602
732.568228,0.999996018307927
732.68723,0.9999959683081273
732.806232,0.9999958992084083
732.925234,0.9999957585089951
733.044236,0.9999957469090445
733.163238,0.9999957085092085
733.28224,0.9999956683093818
733.401242,0.9999956983092523
733.520244,0.9999955976096906
733.639246,0.9999955282099985
733.758248,0.9999954473103635
733.87725,0.9999953824106611
733.996252,0.9999953282109129
734.115254,0.9999952037115022
734.234256,0.9999951257118794
734.353258,0.9999951020119952
734.47226,0.9999950297123519
734.591262,0.9999949817125916
