nu,[0]HFC-161-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
496.579311,1.0
496.699838,1.0
496.820364,1.0
496.940891,1.0
497.061418,1.0
497.181944,1.0
497.302471,1.0
497.422998,1.0
497.543524,1.0
497.664051,1.0
497.784578,1.0
497.905104,1.0
498.025631,1.0
498.146158,1.0
498.266684,1.0
498.387211,1.0
498.507737,1.0
498.628264,1.0
498.748791,1.0
498.869317,1.0
498.989844,1.0
499.110371,1.0
499.230897,1.0
499.351424,1.0
499.471951,1.0
499.592477,1.0
499.713004,1.0
499.833531,1.0
499.954057,1.0
500.074584,1.0
500.195111,1.0
500.315637,1.0
500.436164,1.0
500.556691,1.0
500.677217,1.0
500.797744,1.0
500.918271,1.0
501.038797,1.0
501.159324,1.0
501.279851,1.0
501.400377,1.0
501.520904,1.0
501.64143,1.0
501.761957,1.0
501.882484,1.0
502.00301,1.0
502.123537,1.0
502.244064,1.0
502.36459,1.0
502.485117,1.0
502.605644,1.0
502.72617,1.0
502.846697,1.0
502.967224,1.0
503.08775,1.0
503.208277,1.0
503.328804,1.0
503.44933,1.0
503.569857,1.0
503.690384,1.0
503.81091,1.0
503.931437,1.0
504.051964,1.0
504.17249,1.0
504.293017,1.0
504.413544,1.0
504.53407,1.0
504.654597,1.0
504.775123,1.0
504.89565,1.0
505.016177,1.0
505.136703,1.0
505.25723,1.0
505.377757,1.0
505.498283,1.0
505.61881,1.0
505.739337,1.0
505.859863,1.0
505.98039,1.0
506.100917,1.0
506.221443,1.0
506.34197,1.0
506.462497,1.0
506.583023,1.0
506.70355,1.0
506.824077,1.0
506.944603,1.0
507.06513,1.0
507.185657,1.0
507.306183,1.0
507.42671,1.0
507.547237,1.0
507.667763,1.0
507.78829,1.0
507.908816,1.0
508.029343,1.0
508.14987,1.0
508.270396,1.0
508.390923,1.0
508.51145,1.0
508.631976,1.0
508.752503,1.0
508.87303,1.0
508.993556,1.0
509.114083,1.0
509.23461,1.0
509.355136,1.0
509.475663,1.0
509.59619,1.0
509.716716,1.0
509.837243,1.0
509.95777,1.0
510.078296,1.0
510.198823,1.0
510.31935,1.0
510.439876,1.0
510.560403,1.0
510.68093,1.0
510.801456,1.0
510.921983,1.0
511.042509,1.0
511.163036,1.0
511.283563,1.0
511.404089,1.0
511.524616,1.0
511.645143,1.0
511.765669,1.0
511.886196,1.0
512.006723,1.0
512.127249,1.0
512.247776,1.0
512.368303,1.0
512.488829,1.0
512.609356,1.0
512.729883,1.0
512.850409,1.0
512.970936,1.0
513.091463,1.0
513.211989,1.0
513.332516,1.0
513.453043,1.0
513.573569,1.0
513.694096,1.0
513.814623,1.0
513.935149,1.0
514.055676,1.0
514.176202,1.0
514.296729,1.0
514.417256,1.0
514.537782,1.0
514.658309,1.0
514.778836,1.0
514.899362,1.0
515.019889,1.0
515.140416,1.0
515.260942,1.0
515.381469,1.0
515.501996,1.0
515.622522,1.0
515.743049,1.0
515.863576,1.0
515.984102,1.0
516.104629,1.0
516.225156,1.0
516.345682,1.0
516.466209,1.0
516.586736,1.0
516.707262,1.0
516.827789,1.0
516.948316,1.0
517.068842,1.0
517.189369,1.0
517.309895,1.0
517.430422,1.0
517.550949,1.0
517.671475,1.0
517.792002,1.0
517.912529,1.0
518.033055,1.0
518.153582,1.0
518.274109,1.0
518.394635,1.0
518.515162,1.0
518.635689,1.0
518.756215,1.0
518.876742,1.0
518.997269,1.0
519.117795,1.0
519.238322,1.0
519.358849,1.0
519.479375,1.0
519.599902,1.0
519.720429,1.0
519.840955,1.0
519.961482,1.0
520.082009,1.0
520.202535,1.0
520.323062,1.0
520.443588,1.0
520.564115,1.0
520.684642,1.0
520.805168,1.0
520.925695,1.0
521.046222,1.0
521.166748,1.0
521.287275,1.0
521.407802,1.0
521.528328,1.0
521.648855,1.0
521.769382,1.0
521.889908,1.0
522.010435,1.0
522.130962,1.0
522.251488,1.0
522.372015,1.0
522.492542,1.0
522.613068,1.0
522.733595,1.0
522.854122,1.0
522.974648,1.0
523.095175,1.0
523.215702,1.0
523.336228,1.0
523.456755,1.0
523.577281,1.0
523.697808,1.0
523.818335,1.0
523.938861,1.0
524.059388,1.0
