nu,[0]1-1-2-Trifluoro-2-(trifluoromethoxy)-ethane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
878.416593,0.9999948720131482
878.89871,0.9999943859157591
879.380827,0.9999937541195056
879.862943,0.9999928062258753
880.34506,0.9999915668355593
880.827177,0.9999903759463115
881.309293,0.9999890880595357
881.79141,0.9999875320777252
882.273527,0.9999857101021016
882.755643,0.9999837171325673
883.23776,0.9999815541701265
883.719877,0.9999791482174014
884.201994,0.9999765232755826
884.68411,0.9999738743412809
885.166227,0.9999712494133061
885.648344,0.9999686494914375
886.13046,0.9999661945714163
886.612577,0.9999638126547777
887.094694,0.9999614797419242
887.57681,0.9999594628216536
888.058927,0.9999578828869505
888.541044,0.9999564739472862
889.02316,0.9999550400107307
889.505277,0.9999537760683589
889.987394,0.9999527551160747
890.469511,0.9999518811577486
890.951627,0.9999510791966615
891.433744,0.9999501792410952
891.915861,0.9999494022801078
892.397977,0.9999490372986426
892.880094,0.9999490372986426
893.362211,0.999949013299866
893.844327,0.9999486243197755
894.326444,0.9999482593385942
894.808561,0.9999487703122852
895.290678,0.9999502772362175
895.772794,0.9999515401742153
896.254911,0.9999518811577486
896.737028,0.9999519781530858
897.219144,0.9999527071183436
897.701261,0.9999548940173054
898.183378,0.9999585148605322
898.665494,0.9999623067104099
899.147611,0.9999655875921205
899.629728,0.9999690384793177
900.111844,0.999972950365848
900.593961,0.999976693271606
901.076078,0.9999797312054148
901.558195,0.9999820401612798
902.040311,0.9999836931329584
902.522428,0.9999850051124245
903.004545,0.9999862440946133
903.486661,0.9999873870795436
903.968778,0.999988432066909
904.450895,0.9999893550566578
904.933011,0.9999901329486797
905.415128,0.9999907648426444
905.897245,0.999991226538487
906.379362,0.9999914696363837
906.861478,0.9999915182359703
907.343595,0.9999913966370091
907.825712,0.9999914209368004
908.307828,0.9999917612339388
908.789945,0.9999921743306207
909.272062,0.999992271629864
909.754178,0.9999921500308112
910.236295,0.9999921014311939
910.718412,0.9999921500308112
911.200528,0.9999922230302408
911.682645,0.9999923202294896
912.164762,0.9999924660283805
912.646879,0.9999926847267567
913.128995,0.9999928548255269
913.611112,0.999993000724495
