nu,[0]1-Butene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
630.99862,0.9131117565667571
631.118122,0.9150459466951206
631.237625,0.9152088393706505
631.357127,0.9154395010603241
631.47663,0.9149434672880448
631.596132,0.9134323150480345
631.715634,0.9127356320100307
631.835137,0.9121461952003402
631.954639,0.911496066761493
632.074141,0.91145413890677
632.193644,0.9134259210442082
632.313146,0.9125184267780603
632.432649,0.9124335665104335
632.552151,0.9127045995260976
632.671653,0.9141322722507446
632.791156,0.913746589816572
632.910658,0.9129346300678092
633.030161,0.9126626160801461
633.149663,0.9113156084062409
633.269165,0.9131720239314918
633.388668,0.9147842809743476
633.50817,0.9160301500023147
633.627673,0.9141386711990466
633.747175,0.9112727775791781
633.866677,0.9102281469135087
633.98618,0.9106077912011042
634.105682,0.9108263632985951
634.225185,0.9108509559424033
634.344687,0.9114942437711824
634.464189,0.912859772497346
634.583692,0.9160319820644468
634.703194,0.9164781982845427
634.822696,0.9145720756379323
634.942199,0.9129985377286559
635.061701,0.9132861775689368
635.181204,0.913926615626726
635.300706,0.9143617482491125
635.420208,0.911109674350166
635.539711,0.9063615416007386
635.659213,0.9083386566844851
635.778716,0.9129647574076998
635.898218,0.9160328980968868
636.01772,0.9166825957122263
636.137223,0.9163883878218954
636.256725,0.915987097597004
636.376228,0.9152234828292277
636.49573,0.9149407224617602
636.615232,0.9148812532475705
636.734735,0.9132596926538205
636.854237,0.9109793949819307
636.973739,0.908704790934225
637.093242,0.9087647674296292
637.212744,0.9097858835128202
637.332247,0.9130286671775342
637.451749,0.9130514931795374
637.571251,0.9128981134129444
637.690754,0.912236502143785
637.810256,0.9122547470562764
637.929759,0.9108045037281918
638.049261,0.9071767269975708
638.168763,0.9072955749331773
638.288266,0.9127055122311535
638.407768,0.9154340084397956
638.527271,0.9149169343122234
638.646773,0.9161675648306695
638.766275,0.917426326839557
638.885778,0.9182771753518929
639.00528,0.9183396203229218
639.124782,0.918853115679263
639.244285,0.9191380043005783
639.363787,0.9183377836455179
639.48329,0.9180467167046498
639.602792,0.9172006677203642
639.722294,0.9162546048836655
639.841797,0.9143745494031958
639.961299,0.9157938447083078
640.080802,0.9178245762792828
640.200304,0.9195461921854926
640.319806,0.9203750766610338
640.439309,0.9208353792654258
640.558811,0.9200925648802761
640.678314,0.9193236889309634
640.797816,0.919077343194133
640.917318,0.9186858996293314
641.036821,0.9187465348996489
641.156323,0.918701517422376
641.275826,0.9189597088229645
641.395328,0.9178805652860832
641.51483,0.9182018797106776
641.634333,0.9152445332114113
641.753835,0.9153818301884088
641.873337,0.9184544199502894
641.99284,0.9209550956461264
642.112342,0.9211724666974741
642.231845,0.9200208004590642
642.351347,0.9191113496849475
642.470849,0.9195480312797161
642.590352,0.9199462817922738
642.709854,0.9190617190121046
642.829357,0.9193595432539864
642.948859,0.9185352474956049
643.068361,0.9189330593778275
