nu,[0]Ethylformate-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
624.279206,0.9962311201233188
624.398808,0.9952499174954808
624.51841,0.995229415558351
624.638012,0.996185394164324
624.757614,0.9956300760256231
624.877216,0.9964249059212408
624.996818,0.9959344866666601
625.11642,0.996087075518025
625.236022,0.9960202403176037
625.355624,0.9956968850451421
625.475226,0.9961654706556764
625.594828,0.9961635779430803
625.71443,0.9965274433195187
625.834032,0.9954776567289786
625.953634,0.99651418959266
626.073236,0.995634556371046
626.192838,0.9958569063919397
626.31244,0.9958503337580472
626.432042,0.9959391675697475
626.551644,0.9957281504181963
626.671246,0.9957732579250875
626.790848,0.995879413012348
626.91045,0.9958868821359548
627.030052,0.9966632792670527
627.149654,0.9961659687385362
627.269256,0.9962194642874002
627.388858,0.9963687091413109
627.50846,0.9952133924937465
627.628062,0.9956913091581983
627.747664,0.995938868788042
627.867266,0.9958102017982612
627.986868,0.9961656698887905
628.10647,0.9960832903943297
628.226072,0.9953413851657736
628.345674,0.9954814395512614
628.465276,0.9958194628762018
628.584878,0.9964113546346691
628.70448,0.9960410573581637
628.824082,0.9957097296178065
628.943684,0.9959981289137062
629.063286,0.995835894032896
629.182888,0.9959685482085531
629.30249,0.9959737272584693
629.422092,0.9959082939340966
629.541694,0.9961118783949999
629.661296,0.9954363452634432
629.780898,0.9959758188054927
629.9005,0.9959035135857586
630.020102,0.996022531166791
630.139704,0.995885288718218
630.259306,0.9956231066394838
630.378908,0.9957825186594486
630.49851,0.9953111272475873
630.618112,0.9956126526517477
630.737714,0.995723868796355
630.857316,0.9958066168879876
630.976918,0.9962993642923834
631.09652,0.9954953763889728
631.216122,0.9962420787259124
631.335724,0.9963589447758068
631.455326,0.9953290430091192
631.574928,0.9955177752869282
631.69453,0.9962302235157142
631.814132,0.9959582897853375
631.933734,0.99578909084576
632.053336,0.9954321644395727
632.172938,0.9954771589902746
632.29254,0.9960651618434149
632.412142,0.995959086552288
632.531744,0.9964730344064903
632.651346,0.9957115218969328
632.770948,0.9958566076349126
632.89055,0.9958029324103214
633.010152,0.9956623349626784
633.129754,0.9963677127730999
633.249356,0.995827031132879
633.368958,0.9950171557623244
633.48856,0.9960659586958631
633.608162,0.995511901749381
633.727764,0.9959645643423279
633.847366,0.9954861183250224
633.966968,0.9961058021310742
634.08657,0.9957269555451327
634.206172,0.9955853732387947
634.325774,0.9954759644184006
634.445376,0.9954939826964214
634.564978,0.9955189699089754
634.68458,0.9955316130801771
634.804182,0.9954793490424334
634.923784,0.9951847307607736
635.043386,0.9954993583784424
635.162988,0.9955638688269812
635.28259,0.9960134674029976
635.402192,0.995805322340227
635.521794,0.9955887582348182
635.641396,0.9958703505509238
635.760998,0.9961827044673908
635.8806,0.9955750192047541
636.000202,0.9955583932407606
636.119804,0.9958477445505454
636.239406,0.9956832440912576
636.359008,0.995401804221553
636.47861,0.9957547367147379
636.598212,0.9957132146079588
636.717814,0.9954400283847343
636.837416,0.9956733868759344
636.957018,0.9954146449876502
637.07662,0.9960952434655327
637.196222,0.996004403721684
637.315824,0.9953863756131596
637.435426,0.9954867156168726
637.555028,0.9950370563044445
637.67463,0.9961547121266895
637.794232,0.9952429507704419
637.913834,0.9961245290961873
638.033436,0.9960171526596446
638.153038,0.9955032408335108
638.27264,0.9956278856418653
638.392242,0.9955290247013481
638.511844,0.9956159381789226
638.631446,0.995335214068316
638.751048,0.9956914087273342
638.87065,0.9955708377984543
638.990252,0.9952690264773423
639.109854,0.9962671843426257
639.229456,0.995904609080226
639.349058,0.9957710672263298
639.46866,0.9956026965750017
639.588262,0.9955816895797285
639.707864,0.9961672637551374
639.827466,0.9957170978970682
639.947068,0.9959568954447079
640.06667,0.9957267563997615
640.186272,0.9953011741860802
640.305874,0.9955270336452897
640.425476,0.9958020361880855
640.545078,0.9954996570282947
640.66468,0.996246960324058
640.784282,0.9960548028195987
640.903884,0.9959180538832009
641.023486,0.9959331919526689
641.143088,0.9960405593377595
641.26269,0.9956125530904875
641.382292,0.9953158052208786
641.501894,0.9957452770896724
641.621496,0.9951804514756318
641.741098,0.9957506541286867
641.8607,0.9959750220251563
641.980302,0.9958413711453752
642.099904,0.9954316667236149
642.219506,0.995289827817369
642.339108,0.9953497460685248
642.45871,0.9958763257909528
642.578312,0.9955614794765633
642.697914,0.9952442445871188
642.817516,0.995443611975287
642.937118,0.9957570269532661
643.05672,0.9952851499661711
643.176322,0.9954130523254924
643.295924,0.9953494474636457
643.415526,0.9957497579535012
643.535128,0.9954654124291034
643.65473,0.9957444804937694
643.774332,0.9956101636232274
643.893934,0.9954679010957452
644.013536,0.9958205582782135
644.133138,0.9957917794799348
644.25274,0.9960226307690491
644.372342,0.9959778107591222
644.491944,0.9954249973537903
644.611546,0.9957023613930698
644.731148,0.9959189502098528
644.85075,0.9957553341677592
644.970352,0.9959003266996141
645.089954,0.9959423545801829
645.209556,0.9955992119716617
645.329158,0.9955233502020796
645.44876,0.9958015382871919
645.568362,0.9960329894582741
645.687964,0.9953486511844063
645.807566,0.9956550666541625
645.927168,0.9961406664442708
646.04677,0.9959027168632665
646.166372,0.995149402329915
646.285974,0.9958965422855631
