nu,[0]Propylenecarbonate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
613.334267,0.9843842108086045
613.452269,0.9915742968921333
613.570271,0.9870841350202876
613.688274,0.9881685486346664
613.806276,0.9862720989758328
613.924278,0.984352711017858
614.042281,0.9897300992927616
614.160283,0.9895371207394199
614.278286,0.9852863198485688
614.396288,0.991236525071879
614.51429,0.9861044469698312
614.632293,0.9848607680841935
614.750295,0.9871739637637202
614.868297,0.9868660135297606
614.9863,0.9876350816674481
615.104302,0.9885075485820155
615.222304,0.9870693288693086
615.340307,0.9891591897487125
615.458309,0.9871305290648851
615.576312,0.9840682741874756
615.694314,0.9888061229441466
615.812316,0.9843468049193103
615.930319,0.9900478536514806
616.048321,0.9781580663226006
616.166323,0.9851956776767467
616.284326,0.9829254509617547
616.402328,0.9851808998524154
616.52033,0.9839295303424861
616.638333,0.9881398921622768
616.756335,0.9868926592718418
616.874337,0.9861892555989894
616.99234,0.9902499430409316
617.110342,0.9851119396030626
617.228345,0.9843970078865258
617.346347,0.9836255430860601
617.464349,0.9861665735069557
617.582352,0.9843212122350886
617.700354,0.9895311835345071
617.818356,0.9878593002788362
617.936359,0.9832498698867506
618.054361,0.9846116298271868
618.172363,0.9856607997967952
618.290366,0.980374144573487
618.408368,0.983849835278222
618.526371,0.9845643696032095
618.644373,0.987448436275558
618.762375,0.9846805550536294
618.880378,0.9838291746486185
618.99838,0.9864891027071427
619.116382,0.9868995675446356
619.234385,0.9909959811584286
619.352387,0.9841568443177485
619.470389,0.9849050878159439
619.588392,0.9864674001856117
619.706394,0.9851631667558165
619.824396,0.9783605660003231
619.942399,0.9854558036707737
620.060401,0.9790006230863408
620.178404,0.9878118841704184
620.296406,0.9809939368665921
620.414408,0.9805300364555505
620.532411,0.9855188748604652
620.650413,0.9819803313533491
620.768415,0.9860669757128048
620.886418,0.9863549493118122
621.00442,0.988501617554517
621.122422,0.9838803350958604
621.240425,0.9851257312667585
621.358427,0.9861843246650387
621.47643,0.9844235869645548
621.594432,0.9792542170867256
621.712434,0.9823358725823788
621.830437,0.9807595073311264
621.948439,0.9856598141364883
622.066441,0.982002917160706
622.184444,0.9806428038937463
622.302446,0.980181029889427
622.420448,0.9834622747975507
622.538451,0.9836658725600752
622.656453,0.983716040798855
622.774455,0.9828281461587767
622.892458,0.9831023934672756
623.01046,0.9867456232200682
