nu,[0]Methylsalicylate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
589.270785,1.0038155607886061
589.389788,0.9941930260311599
589.50879,0.9954575482834086
589.627793,1.0049306156766327
589.746795,1.0000833964772928
589.865797,1.006977530318112
589.9848,0.9995650146335783
590.103802,1.0009624528607906
590.222804,0.9936125868087075
590.341807,1.0000155821214
590.460809,1.0055269173634465
590.579812,0.9977655999963769
590.698814,1.0003086276157058
590.817816,1.004041243892502
590.936819,1.0051550417393504
591.055821,1.0025556601460222
591.174823,1.0020401783375184
591.293826,1.0001610229628057
591.412828,0.9981272557778851
591.531831,0.9995738208401486
591.650833,1.004371426932611
591.769835,0.9977192049746697
591.888838,1.0053939954913003
592.00784,1.0008529935922876
592.126843,0.997870969607154
592.245845,0.9987949266847118
592.364847,1.0022087356707892
592.48385,0.9983666353942895
592.602852,1.0014390344177715
592.721854,0.9958584001784195
592.840857,1.0038668570743714
592.959859,1.0005467994403405
593.078862,0.9994871815363597
593.197864,0.9990992559137224
593.316866,1.0008470485431626
593.435869,1.0027667203257875
593.554871,0.9986451186815902
593.673873,1.0008420743456923
593.792876,1.00778454322351
593.911878,1.0050744315375153
594.030881,0.9954507791950952
594.149883,1.0058561807736703
594.268885,0.9989374648906089
594.387888,0.9953523339812289
594.50689,0.9993692090323254
594.625893,1.0012127347688167
594.744895,0.9934231229543558
594.863897,1.002445084355075
594.9829,1.001111116833435
595.101902,0.9962331125875515
595.220904,0.9996294086859312
595.339907,1.0073039446282699
595.458909,1.0019260524607978
595.577912,1.001788497457162
595.696914,1.0009771971463126
595.815916,1.000361175208065
595.934919,0.9966492264138879
596.053921,0.9975506046761555
596.172923,0.9968599403320282
596.291926,0.9963376229225333
596.410928,1.0012158385331051
596.529931,0.9996364061162829
596.648933,0.998017467818198
596.767935,0.9984009797972675
596.886938,0.9967914584065084
597.00594,0.9968142851922717
597.124942,0.995253599926988
597.243945,0.9930488716350031
597.362947,0.997983236406124
597.48195,1.0000263413469272
597.600952,1.0038103409612618
597.719954,0.9972199714561895
597.838957,1.0034836538664877
597.957959,0.9970451741166276
598.076962,0.9975080101747349
598.195964,1.0012437728446821
598.314966,0.9987664614349331
598.433969,1.0004668389353937
598.552971,0.9893718818380888
598.671973,0.997291674149818
598.790976,0.997223960344053
598.909978,0.9986024774454194
599.028981,1.0053188953648617
