nu,[0]4-Methyl-1-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
641.277026,0.996303349497811
641.411628,0.9973828307746296
641.546231,0.999573321053363
641.680834,1.0
641.815436,1.0
641.950039,0.9986668893824773
642.084642,0.9957818216119295
642.219244,0.9964818034077766
642.353847,0.9975974906563871
642.48845,0.9999534180849711
642.623052,0.9999764432774639
642.757655,0.9990237268650093
642.892258,0.9971391001958783
643.026861,0.9955238479638792
643.161463,0.9979309434546235
643.296066,0.9999416597018614
643.430669,1.0
643.565271,0.999791461747125
643.699874,0.9973765472825887
643.834477,0.9962895009775004
643.969079,0.9955824860453988
644.103682,0.9989391630857426
644.238285,0.9999976105028549
644.372887,0.999304282123988
644.50749,0.9974580362752818
644.642093,0.9972297442597964
644.776696,0.995141341652402
644.911298,0.9975786362419886
645.045901,0.999624660457517
645.180504,0.9991834135882987
645.315106,0.9985137056311402
645.449709,0.9970362007504407
645.584312,0.9965317283967379
645.718914,0.9968531617074813
645.853517,0.9991443662634854
645.98812,1.0
646.122722,0.9987057382800805
646.257325,0.9969456739733905
646.391928,0.995844259089539
646.526531,0.9965994948583025
646.661133,0.9987910313920936
646.795736,0.9999259417424482
646.930339,0.9995013743551063
647.064941,0.9968993170773569
647.199544,0.9964143438732169
647.334147,0.9968503705225361
647.468749,0.9976531581494744
647.603352,0.9991829339803753
647.737955,0.9999442645532777
647.872557,0.9986776750431251
648.00716,0.9966340774607787
648.141763,0.9950760625215684
648.276366,0.9967017512121361
648.410968,0.9985373706863934
648.545571,0.999770456349176
648.680174,0.9999616677347001
648.814776,0.9960282085113991
648.949379,0.9962206597514746
649.083982,0.9967609570545543
649.218584,0.9980695656897608
649.353187,0.9999464594333473
649.48779,1.0
649.622392,0.997780566592626
649.756995,0.9963142092635061
649.891598,0.9952542966047517
650.026201,0.99761574685751
650.160803,0.9991675666650256
650.295406,0.9996895981846148
650.430009,0.9986195536937853
650.564611,0.9960120729851193
650.699214,0.9953430772475668
650.833817,0.9967632496073919
650.968419,0.9985563430766736
651.103022,0.9997763550122696
651.237625,0.9992811884688764
651.372227,0.9977598129726793
651.50683,0.9953293416078769
651.641433,0.9959242285942765
651.776036,0.9983711280542573
651.910638,0.9996384153874786
652.045241,0.9992230120116168
652.179844,0.9984641805795723
652.314446,0.9954044918100526
652.449049,0.995211402068952
652.583652,0.997088446816195
652.718254,0.9994952174456037
652.852857,1.0
652.98746,0.9987995211519418
653.122062,0.9976826891200119
653.256665,0.9947984750253813
653.391268,0.9961373791854955
653.525871,0.9982628106631881
653.660473,0.999376554423006
653.795076,0.9990039064308877
653.929679,0.9966075673469044
654.064281,0.9953743315108816
654.198884,0.9955772094722056
654.333487,0.9969049994196589
654.468089,1.0
654.602692,0.9995493215860393
654.737295,0.9975429235660718
654.871897,0.9963394163318685
655.0065,0.995183636058172
655.141103,0.996801725411405
655.275706,0.9992513204005335
655.410308,0.9996399348390247
655.544911,0.9983720265886769
655.679514,0.9965043241510171
655.814116,0.9961049056362558
655.948719,0.9953945378149046
656.083322,0.9978512119575572
656.217924,0.9999944251155397
656.352527,0.9981497138937929
656.48713,0.9975708551589721
656.621732,0.9959570946361068
656.756335,0.9957250636657144
656.890938,0.9965398999904143
657.025541,0.9995462729652577
657.160143,0.999179906460672
657.294746,0.9978160882130779
657.429349,0.9959152653165539
657.563951,0.9953851811502256
657.698554,0.9958252386458362
657.833157,0.9983296965121535
657.967759,0.9999415117105067
658.102362,0.9986351322803355
658.236965,0.9962557273358837
658.371567,0.9961224372368727
658.50617,0.9957995466861068
658.640773,0.9977365654398719
658.775376,0.9997104419300322
658.909978,0.9993257773902773
659.044581,0.9977449464622218
659.179184,0.995963867167377
659.313786,0.9958067164686542
659.448389,0.9964892770493283
659.582992,0.9989169868824789
659.717594,0.9989310717112918
659.852197,0.9987867365998925
659.9868,0.9960679508297726
660.121402,0.9956124535292371
660.256005,0.9978521100240522
660.390608,0.9983024424834579
660.525211,0.9996941267887519
660.659813,0.999240238764838
660.794416,0.996164773340091
660.929019,0.9949544716560815
