nu,[0]Formicacid-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
563.443669,0.9287784972271559
563.576872,0.9238052481094341
563.710074,0.9345249067067589
563.843277,0.9409389681516513
563.97648,0.9334844256162577
564.109682,0.9384168741253822
564.242885,0.9466962376771069
564.376088,0.959979834951234
564.50929,0.94065014422517
564.642493,0.9478860351880539
564.775696,0.9457916285459486
564.908898,0.9512360831299906
565.042101,0.9460545951693513
565.175304,0.93672268599381
565.308506,0.9440643007076117
565.441709,0.9471015103890065
565.574911,0.9605559956831394
565.708114,0.9584815169400454
565.841317,0.9500924341647629
565.974519,0.9391556988947319
566.107722,0.9406350939432649
566.240925,0.9450022221591453
566.374127,0.9525125463948004
566.50733,0.9465656026103344
566.640533,0.9445128377695665
566.773735,0.941195879556768
566.906938,0.9394807029890154
567.040141,0.9378455522342135
567.173343,0.9502967259986934
567.306546,0.9441398288727546
567.439749,0.9208234084833056
567.572951,0.91336381019337
567.706154,0.9153616920096654
567.839357,0.9300034343427381
567.972559,0.9426134458065353
568.105762,0.9461738055584394
568.238965,0.9347538933586215
568.372167,0.9136990762292655
568.50537,0.9225377338514369
568.638573,0.9188485214251703
568.771775,0.9522192177054478
568.904978,0.951551945939915
569.038181,0.928486906561157
569.171383,0.910680642738423
569.304586,0.9113812254922329
569.437789,0.9389284507137383
569.570991,0.9455230618617158
569.704194,0.93978232470237
569.837397,0.9138416244036258
569.970599,0.889567401637464
570.103802,0.894920850333039
570.237005,0.9283300055324585
570.370207,0.9498131480461895
570.50341,0.944291847622384
570.636613,0.9103501256575884
570.769815,0.8728688181604771
570.903018,0.881967563260722
571.036221,0.9150697381990229
571.169423,0.9161043514495829
571.302626,0.9118999489723729
571.435829,0.8967842229374324
571.569031,0.8555249686878419
571.702234,0.8619482887216374
571.835437,0.9212756437915536
571.968639,0.9305234515938161
572.101842,0.9427416499528493
572.235045,0.9129884947999771
572.368247,0.8530304795058965
572.50145,0.8635702756944594
572.634653,0.9203686340580464
572.767855,0.9455145521924526
572.901058,0.932885320948188
573.034261,0.9163398205243856
573.167463,0.8463942596314916
573.300666,0.8673176421817466
573.433869,0.922656748895409
573.567071,0.9360466163050488
573.700274,0.9250920804423187
573.833477,0.9090201662111252
573.966679,0.8222342079465924
574.099882,0.8478937040879159
574.233085,0.9063561034478035
574.366287,0.9241822375512793
574.49949,0.9140774259598147
574.632693,0.8890427116692589
574.765895,0.8091022332552885
574.899098,0.8136865995124947
575.032301,0.8788597063570704
575.165503,0.8857061876693714
575.298706,0.9006216787067822
575.431909,0.887399503089264
575.565111,0.8138900465921981
575.698314,0.8310710403456462
575.831517,0.9141194744885176
575.964719,0.923039730909472
576.097922,0.9216469926977804
576.231125,0.9035082841841715
576.364327,0.8094745058987295
576.49753,0.8036350747242659
576.630733,0.888225168502044
576.763935,0.9139622594597856
576.897138,0.9102600054561719
577.030341,0.8946971480844019
577.163543,0.8188126302470798
577.296746,0.7891806686515009
577.429949,0.8569805980690212
577.563151,0.877911050240717
577.696354,0.8869204367171575
577.829557,0.8550716605916939
577.962759,0.7673363860741058
578.095962,0.7454851980784581
578.229165,0.8110383002712688
578.362367,0.8441374012050179
578.49557,0.8365156916786498
578.628773,0.7895437752671994
578.761975,0.7182410801967937
578.895178,0.7423087627982871
579.028381,0.8161721321514769
579.161583,0.8716302240486337
579.294786,0.8671095109243729
579.427989,0.8518626279099784
579.561191,0.7619152118687234
579.694394,0.7404997373256536
579.827597,0.7746763110776035
579.960799,0.8169233560230508
580.094002,0.8120608526022954
580.227205,0.7842009325115213
580.360407,0.7203630197053014
580.49361,0.7171430115807896
580.626813,0.7435568896527865
580.760015,0.7883918824416866
580.893218,0.8211577863442692
581.026421,0.8001308517515641
581.159623,0.753858948069578
581.292826,0.7304678936171836
581.426029,0.7521797156554125
581.559231,0.8044954244592446
581.692434,0.8409273567242722
581.825637,0.8336430215247751
581.958839,0.7824619374400803
582.092042,0.7560634331798423
582.225245,0.7796033611347164
582.358447,0.8205667655311262
582.49165,0.8674043782826976
582.624852,0.8598305018772007
582.758055,0.7983485479594877
582.891258,0.7881948091062695
583.02446,0.7805472521405854
583.157663,0.7937791540007354
583.290866,0.8493023765113351
583.424068,0.8414488933450871
583.557271,0.7757305876062093
583.690474,0.7696110666433077
583.823676,0.7690571461106457
583.956879,0.7736002590346288
584.090082,0.8142889504384891
584.223284,0.8035868580662967
584.356487,0.7574407215804967
584.48969,0.7647701100930281
584.622892,0.7826184454778504
584.756095,0.7948117379350714
584.889298,0.8306389957459978
585.0225,0.866398772567966
585.155703,0.8425013621177112
585.288906,0.8047529041896312
585.422108,0.7953683009259465
585.555311,0.8001628576257473
585.688514,0.8210099912446852
585.821716,0.8541657648410367
585.954919,0.8206898597777935
586.088122,0.7924388001484947
586.221324,0.7892043444266954
586.354527,0.7828141245480845
586.48773,0.7840989930165057
586.620932,0.8179287899660741
586.754135,0.7824697620985779
