nu,[0]Furan-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
603.432069,0.7986599646154927
603.551071,0.8095311710974012
603.670073,0.8080430032768386
603.789076,0.865905065987345
603.908078,0.9161373317998779
604.027081,0.93172180625183
604.146083,0.9408354705576267
604.265085,0.9495966153341022
604.384088,0.9540053496022924
604.50309,0.9566554344103345
604.622092,0.9549321386800356
604.741095,0.9543297665689163
604.860097,0.9609902651306897
604.9791,0.9645129693679597
605.098102,0.9657435077053945
605.217104,0.958892793723375
605.336107,0.9541866278396041
605.455109,0.9617006994097556
605.574111,0.9649364835160661
605.693114,0.9646865973284936
605.812116,0.9574842568448496
605.931119,0.94592215679693
606.050121,0.954233384129888
606.169123,0.9625781705136213
606.288126,0.9626108987277953
606.407128,0.954640928789504
606.526131,0.9371846041314702
606.645133,0.9456904342556852
606.764135,0.9583780065258788
606.883138,0.9572334288294612
607.00214,0.9487271830952134
607.121142,0.9258176370143978
607.240145,0.9285862599754718
607.359147,0.9490384166507815
607.47815,0.9520706830934867
607.597152,0.9445610091526526
607.716154,0.9194698730188304
607.835157,0.9148528923683157
607.954159,0.9406698980856135
608.073161,0.9466593172437906
608.192164,0.9385970674632212
608.311166,0.9076431356920134
608.430169,0.8912146245418782
608.549171,0.9272945671283799
608.668173,0.9379074520833335
608.787176,0.931021414833708
608.906178,0.9001624787565823
609.025181,0.8770511188466873
609.144183,0.9130560584484164
609.263185,0.9291231379765331
609.382188,0.9244558359841649
609.50119,0.8922758012199787
609.620192,0.857340605516482
609.739195,0.8951088034459951
609.858197,0.9195287209738181
609.9772,0.9165515194732139
610.096202,0.8845201362098452
610.215204,0.8428974308267622
610.334207,0.880258204801813
610.453209,0.9092992782436569
610.572211,0.9087111518900248
610.691214,0.875570154223425
610.810216,0.8258682680164626
610.929219,0.8567835151968644
611.048221,0.8980406001083562
611.167223,0.9023074169199551
611.286226,0.8690105616440329
611.405228,0.8137191476274331
611.52423,0.8415582888117733
611.643233,0.8869204367171575
611.762235,0.8943303974427064
611.881238,0.8624138664922316
612.00024,0.7985321892434565
612.119242,0.8215520366942288
612.238245,0.8740305060398278
612.357247,0.8860162390908893
612.47625,0.8557217620610105
612.595252,0.7888966147435577
612.714254,0.8085684019650439
612.833257,0.8653943326795537
612.952259,0.8786400188925584
613.071261,0.8475122377574379
613.190264,0.7753815873727283
613.309266,0.7913934710013175
613.428269,0.8502711333070152
613.547271,0.8703759797985972
613.666273,0.8404565692373062
613.785276,0.7698650802052326
613.904278,0.7838716372767065
614.02328,0.8394738100775153
614.142283,0.8624828623613491
614.261285,0.8310959728508422
614.380288,0.7609558032561246
614.49929,0.7705659762875692
614.618292,0.8261160656646562
614.737295,0.8533973614860567
614.856297,0.8224973649960177
614.9753,0.755897117519936
615.094302,0.7673133663278215
615.213304,0.820017169933305
615.332307,0.8463519409764853
615.451309,0.8132310625790137
615.570311,0.7486377929108913
615.689314,0.7594126298264842
615.808316,0.8108193494898811
615.927319,0.8367834195341592
616.046321,0.8062592000681651
616.165323,0.7444050278539119
616.284326,0.7603472820544547
616.403328,0.8072999455727782
616.52233,0.8301075568673012
616.641333,0.7974469236139891
