nu,[0]Ethylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
654.800696,0.9989453565277534
654.919298,0.9990030372978671
655.037901,0.9988953106190519
655.156503,0.998332392005973
655.275106,0.9989613397813235
655.393708,0.99844321305194
655.51231,0.9984718687833622
655.630913,0.9986457178688413
655.749515,0.9988863206017115
655.868117,0.9989712295475417
655.98672,0.9987302068704073
656.105322,0.9988657437554492
656.223924,0.9985570420663584
656.342527,0.9983861037334955
656.461129,0.9982117009157029
656.579732,0.9988727358401278
656.698334,0.9987838401225562
656.816936,0.9990429083047063
656.935539,0.9984868459737227
657.054141,0.9985649306981508
657.172743,0.9983178164594514
657.291346,0.9984021778791621
657.409948,0.9982591170976218
657.528551,0.998928774172469
657.647153,0.9985247891947863
657.765755,0.998119670039567
657.884358,0.9983061362093285
658.00296,0.9982269736715632
658.121562,0.9984683741379372
658.240165,0.9979841345914409
658.358767,0.9985706225344775
658.47737,0.9984447107178828
658.595972,0.99828257646252
658.714574,0.9977326742748545
658.833177,0.9980355320978468
658.951779,0.9980383266012489
659.070381,0.9981308490424737
659.188984,0.9980791472035826
659.307586,0.9982951549022274
659.426189,0.998483850517678
659.544791,0.997557687310592
659.663393,0.9977066337918856
659.781996,0.9977607109569151
659.900598,0.998449403419051
660.0192,0.9977539262071488
660.137803,0.9980775502782245
660.256405,0.9975344444872576
660.375008,0.9978254677283908
660.49361,0.9974208317843968
660.612212,0.9979511018632806
660.730815,0.9974729982580405
660.849417,0.9979839349946339
660.968019,0.9977859546222333
661.086622,0.9976700186303178
661.205224,0.9973555028594606
661.323826,0.9970320132071915
661.442429,0.9972055118714356
661.561031,0.9974972371463995
661.679634,0.9979107854531623
661.798236,0.9971562511358992
661.916838,0.9973199976355555
662.035441,0.9970637193293361
662.154043,0.9971038020965114
662.272645,0.996568899723448
662.391248,0.9973997864268754
662.50985,0.9970547457962431
662.628453,0.9970789745209437
662.747055,0.9966947743242968
662.865657,0.99719693594091
662.98426,0.996815182325532
663.102862,0.9965405975685884
663.221464,0.996811593797335
663.340067,0.9970584349056274
663.458669,0.9969432813066441
663.577272,0.996432777709091
663.695874,0.9964565927370668
663.814476,0.9963552582545312
663.933079,0.9967181969267079
664.051681,0.995859296451383
664.170283,0.9967798956926548
664.288886,0.9965763740182245
664.407488,0.9962175714722162
664.526091,0.9958504333430855
664.644693,0.9959314988676817
664.763295,0.9960930520584077
664.881898,0.9959454420062677
665.0005,0.9959510193163593
665.119102,0.9960196427056388
665.237705,0.9961235329721563
665.356307,0.9954587428331833
665.474909,0.9955240470686686
665.593512,0.9956668154532669
665.712114,0.9955790015127955
665.830717,0.9952527041991511
665.949319,0.9959012230103115
666.067921,0.995662733227692
666.186524,0.9953915516357704
666.305126,0.9944247994376688
666.423728,0.9950635246421695
666.542331,0.9953545237587724
666.660933,0.9950823315205096
666.779536,0.9950120811877703
666.898138,0.9952061274624987
667.01674,0.9948455301060939
667.135343,0.9944583121180953
667.253945,0.9943849238027231
667.372547,0.9947222763806397
667.49115,0.9947924067731918
667.609752,0.9944214183990985
667.728355,0.9946016238862364
667.846957,0.9941494813302556
667.965559,0.9939765143690662
668.084162,0.9934834255680849
668.202764,0.9938736431235078
668.321366,0.9941564404009816
668.439969,0.9939564362462656
668.558571,0.9939090256550083
668.677174,0.9937774408111204
668.795776,0.9933578571991811
668.914378,0.9928443246365104
669.032981,0.9935098525786826
669.151583,0.9933763338271572
669.270185,0.9933630226734689
669.388788,0.9928537567023967
669.50739,0.9930128246152201
669.625993,0.9926978908983802
669.744595,0.9925296428652965
669.863197,0.9923255005145197
669.9818,0.993053936197163
670.100402,0.9927631132923445
670.219004,0.9925449279394915
670.337607,0.9921702137251974
670.456209,0.9921625740439646
670.574811,0.9920423312268524
670.693414,0.9915766766733015
670.812016,0.9924649320421776
670.930619,0.9919965991295158
671.049221,0.9918435458626332
671.167823,0.9912508981056968
671.286426,0.9914384605184631
671.405028,0.9913579589838755
671.52363,0.9917160029838182
671.642233,0.991505484023763
671.760835,0.9913463601636087
671.879438,0.9910454330917039
671.99804,0.9906727709878196
672.116642,0.9904654448742864
672.235245,0.9906447353451068
672.353847,0.9906127380369145
672.472449,0.9902482596174593
672.591052,0.9905860909126667
672.709654,0.9903487749168757
672.828257,0.9906210592188629
