nu,[0]HFC-365mfc-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
810.440142,0.9224131996636138
810.681196,0.9198211776052276
810.92225,0.923437646778204
811.163304,0.9243865043964331
811.404358,0.9278344096453829
811.645412,0.9290776120581664
811.886466,0.9290776120581664
812.12752,1.0
812.368574,0.9314386058713683
812.609628,1.0
812.850682,1.0
813.091736,1.0
813.33279,1.0
813.573844,1.0
813.814898,1.0
814.055952,1.0
814.297006,1.0
814.53806,1.0
814.779114,1.0
815.020168,1.0
815.261222,1.0
815.502276,1.0
815.74333,1.0
815.984384,1.0
816.225438,1.0
816.466492,1.0
816.707546,1.0
816.9486,1.0
817.189654,1.0
817.430708,1.0
817.671762,1.0
817.912816,1.0
818.15387,1.0
818.394924,1.0
818.635978,1.0
818.877032,1.0
819.118086,1.0
819.35914,1.0
819.600194,1.0
819.841248,1.0
820.082302,1.0
820.323356,1.0
820.56441,1.0
820.805464,1.0
821.046518,1.0
821.287572,1.0
821.528626,1.0
821.76968,1.0
822.010734,1.0
822.251788,1.0
822.492842,1.0
822.733896,1.0
822.97495,1.0
823.216004,1.0
823.457058,1.0
823.698112,1.0
823.939166,1.0
824.18022,1.0
824.421274,1.0
824.662328,1.0
824.903382,1.0
825.144436,1.0
825.38549,1.0
825.626544,1.0
825.867598,1.0
826.108652,1.0
826.349706,1.0
826.59076,1.0
826.831814,1.0
827.072868,1.0
827.313922,1.0
827.554976,1.0
827.79603,1.0
828.037084,1.0
828.278138,1.0
828.519192,1.0
828.760246,1.0
829.0013,1.0
829.242354,1.0
829.483408,1.0
829.724462,1.0
829.965516,1.0
830.20657,1.0
830.447624,1.0
830.688678,1.0
830.929732,1.0
831.170786,1.0
831.41184,1.0
831.652894,1.0
831.893948,1.0
832.135002,1.0
832.376056,1.0
832.61711,1.0
832.858164,1.0
833.099218,1.0
833.340272,1.0
833.581326,1.0
833.82238,1.0
834.063434,1.0
834.304488,1.0
834.545542,1.0
834.786596,1.0
835.02765,1.0
835.268704,1.0
835.509758,1.0
835.750812,1.0
835.991866,1.0
836.23292,1.0
836.473974,1.0
836.715028,1.0
836.956082,1.0
837.197136,1.0
837.43819,1.0
837.679244,1.0
837.920298,1.0
838.161352,1.0
838.402406,1.0
838.64346,1.0
838.884514,1.0
839.125568,1.0
839.366622,1.0
839.607676,1.0
839.84873,1.0
840.089784,1.0
840.330838,1.0
840.571892,1.0
840.812946,1.0
841.054,1.0
841.295054,1.0
841.536108,1.0
841.777162,1.0
842.018216,1.0
842.25927,1.0
842.500324,1.0
842.741378,1.0
842.982432,1.0
843.223486,1.0
843.46454,1.0
843.705594,1.0
843.946648,1.0
844.187702,1.0
844.428756,1.0
844.66981,1.0
844.910864,1.0
845.151918,1.0
845.392972,1.0
845.634026,1.0
845.87508,1.0
846.116134,1.0
846.357188,1.0
846.598242,0.9357667802043556
846.839296,0.9371199406247018
847.08035,0.9305271736950668
847.321404,0.9283940625127807
847.562458,0.9272500580573839
847.803512,0.9244752497605645
848.044566,0.9186840622593696
848.28562,0.9138343136998734
848.526674,0.9121443709097742
848.767728,0.9055307890253608
849.008782,0.8968559685450535
849.249836,0.9029121654574289
849.49089,0.8925703008241435
849.731944,0.8868317491079402
849.972998,0.884086827512403
850.214052,0.8729299211163268
850.455106,0.8639416907615246
850.69616,0.8623190061843301
850.937214,0.8527063895046844
851.178268,0.845286209082944
851.419322,0.8413226854769121
851.660376,0.8335513258357627
851.90143,0.8281342500485379
852.142484,0.823032162073486
852.383538,0.8111599651409466
852.624592,0.8025990538550025
852.865646,0.7942396794495259
853.1067,0.7835033041722463
853.347754,0.7690417651215339
853.588808,0.764877185403538
853.829862,0.7524731229552226
854.070916,0.7392567421752253
854.31197,0.7339458697659011
854.553024,0.7228381072113674
854.794078,0.7101422335970664
855.035132,0.6988424189521157
855.276186,0.6896852119869504
855.51724,0.6767793380784743
855.758294,0.6667100734851622
855.999348,0.6582305691455089
856.240402,0.6545678710010979
856.481456,0.6439076266787945
856.72251,0.6355210915480902
856.963564,0.6295625914623664
857.204618,0.6195387682300711
857.445672,0.6171211012653346
