nu,[0]CFC-13B1-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
598.533971,0.9934774646854141
598.653773,0.9933224942889284
598.773575,0.9931632774546642
598.893378,0.9928259571864041
599.01318,0.9940159760199951
599.132983,0.9933125611136515
599.252785,0.9933832874858317
599.372587,0.9931588082299713
599.49239,0.9926177834109653
599.612192,0.9928551466986291
599.731995,0.99256219837149
599.851797,0.9931811545545517
599.971599,0.9925450271939892
600.091402,0.9926631470802192
600.211204,0.9929679414499146
600.331007,0.9933648107285189
600.450809,0.9921076097598873
600.570611,0.9925919756840985
600.690414,0.9931993299359843
600.810216,0.9927886276322139
600.930019,0.993484518400454
601.049821,0.9930029938369188
601.169623,0.9929417274422868
601.289426,0.9932910064649441
601.409228,0.9927769127955255
601.529031,0.9925358958217434
601.648833,0.9927733388050727
601.768635,0.9926022986943253
601.888438,0.9932193927650829
602.00824,0.9929378549771011
602.128043,0.9933163357085555
602.247845,0.9929465928686716
602.367647,0.9934853131883867
602.48745,0.99295334492846
602.607252,0.9930739960892785
602.727055,0.9931851272871154
602.846857,0.9929993197326388
602.966659,0.9935572441289302
603.086462,0.9932091626580225
603.206264,0.9931520547730371
603.326067,0.992825162925956
603.445869,0.9926499447481587
603.565671,0.9928980389674328
603.685474,0.9929073722528655
603.805276,0.9928035195733177
603.925079,0.9928308220455132
604.044881,0.9935090577711185
604.164683,0.9927087113643625
604.284486,0.992982240291223
604.404288,0.9925664663981192
604.52409,0.9924683064286829
604.643893,0.9934776633809269
604.763695,0.9925523720543664
604.883498,0.9923092265097585
605.0033,0.9926486543040693
605.123102,0.9923701561667876
605.242905,0.9925882038417575
605.362707,0.9921456082090068
605.48251,0.9922803507314117
605.602312,0.9918233124606791
605.722114,0.9920950100732515
605.841917,0.9935676765347635
605.961719,0.9913844285947481
606.081522,0.9923565607887767
606.201324,0.9921511642399696
606.321126,0.9924544119696543
606.440929,0.993190887777559
606.560731,0.992953146337811
606.680534,0.9932612081817266
606.800336,0.9937834034936534
606.920138,0.9934018639269969
607.039941,0.9926567940564075
607.159743,0.9925910823517224
607.279546,0.9929597991461783
607.399348,0.9920275499062382
607.51915,0.9928066965496635
607.638953,0.9931698323539264
607.758755,0.9934967383351828
607.878558,0.9921282458127845
607.99836,0.9928955567254382
608.118162,0.9929206773007974
608.237965,0.9928022289295811
608.357767,0.9934378257253756
608.47757,0.9927793947409099
608.597372,0.9928197024025764
608.717174,0.9929633738078896
608.836977,0.9926611617559103
608.956779,0.9928036188536746
609.076582,0.9937786333447649
609.196384,0.9924857740245905
609.316186,0.9927678785667249
609.435989,0.9924642373169682
609.555791,0.9929174999597137
609.675594,0.9930816427884881
609.795396,0.992710001886526
609.915198,0.9928132490954841
610.035001,0.9930542341133886
610.154803,0.9926642390102816
610.274605,0.9930318906444859
610.394408,0.99291084743475
610.51421,0.9924675124543554
610.634013,0.9927753243537358
610.753815,0.9929562244973357
610.873617,0.992947188636806
610.99342,0.9931769832024624
611.113222,0.9922312340696979
611.233025,0.992580461683962
611.352827,0.9929364648650771
611.472629,0.9929743957625106
611.592432,0.9928903936819672
611.712234,0.9927811817454287
611.832037,0.9925840349800559
611.951839,0.9925890971715429
612.071641,0.9923080357394012
612.191444,0.9931286166611153
612.311246,0.9928016332484225
612.431049,0.9930382460689234
612.550851,0.9922471098964493
612.670653,0.9929178971267931
612.790456,0.9926137136863963
612.910258,0.9931506643611338
613.030061,0.9930062707522054
613.149863,0.9926425991657463
613.269665,0.9933009394246735
613.389468,0.9925651760625516
613.50927,0.9926421028445708
613.629073,0.9930159029597478
613.748875,0.9930627744165252
613.868677,0.9925339107519369
613.98848,0.9932936883542821
614.108282,0.9930454952745793
614.228085,0.9934444817811058
614.347887,0.9933991817455853
614.467689,0.992631878683566
614.587492,0.9934711064499865
614.707294,0.9938698664108396
614.827097,0.9926560991968949
614.946899,0.9933481223398815
615.066701,0.9922731071112906
615.186504,0.9927967685323381
615.306306,0.9931831409188472
615.426109,0.994034663696008
615.545911,0.993190192544181
615.665713,0.9934340506688105
615.785516,0.993026428984107
615.905318,0.9933428576087846
616.025121,0.9941774173231799
616.144923,0.992995248443774
616.264725,0.992977573285661
616.384528,0.992915613418256
616.50433,0.9930175910882177
616.624132,0.993400473165361
616.743935,0.9938256401858252
616.863737,0.9936216287243881
616.98354,0.9934050428180478
617.103342,0.9944205234202247
617.223144,0.9936873092847653
617.342947,0.9941516684615204
617.462749,0.9935717501705883
617.582552,0.9939903307386394
617.702354,0.9939764149714196
617.822156,0.9937193065312773
617.941959,0.9931372569176653
618.061761,0.9939991772919501
618.181564,0.9931159046961788
618.301366,0.9935642984104062
618.421168,0.9937295418928466
618.540971,0.9939484846265821
618.660773,0.9935988750496209
618.780576,0.9939003786840994
618.900378,0.9935565486391027
619.02018,0.9942737577825383
619.139983,0.9937750557481245
619.259785,0.9932130361813103
619.379588,0.993721989577027
619.49939,0.994266996743973
619.619192,0.9939192629706946
619.738995,0.9939266180004541
619.858797,0.9932382641128227
619.9786,0.9940336696618413
620.098402,0.993720797111355
620.218204,0.9942717692370113
620.338007,0.9941338733059221
620.457809,0.9938167951769878
620.577612,0.9933779232305628
620.697414,0.9936754844761426
620.817216,0.994016671831422
