nu,[0]PFC-1114-HITRAN(x-sec)-X=0.01-T=293.0K-P=0.9737atm-L=15cm
214.569112,1.0
214.689656,1.0
214.8102,1.0
214.930745,1.0
215.051289,1.0
215.171834,1.0
215.292378,1.0
215.412923,1.0
215.533467,1.0
215.654011,1.0
215.774556,1.0
215.8951,1.0
216.015645,1.0
216.136189,1.0
216.256734,1.0
216.377278,1.0
216.497822,1.0
216.618367,1.0
216.738911,1.0
216.859456,1.0
216.98,1.0
217.100545,1.0
217.221089,1.0
217.341633,1.0
217.462178,1.0
217.582722,1.0
217.703267,1.0
217.823811,1.0
217.944356,1.0
218.0649,1.0
218.185445,1.0
218.305989,1.0
218.426533,1.0
218.547078,1.0
218.667622,1.0
218.788167,1.0
218.908711,1.0
219.029256,1.0
219.1498,1.0
219.270344,1.0
219.390889,1.0
219.511433,1.0
219.631978,1.0
219.752522,1.0
219.873067,1.0
219.993611,1.0
220.114155,1.0
220.2347,1.0
220.355244,1.0
220.475789,1.0
220.596333,1.0
220.716878,1.0
220.837422,1.0
220.957966,1.0
221.078511,1.0
221.199055,1.0
221.3196,1.0
221.440144,1.0
221.560689,1.0
221.681233,1.0
221.801778,1.0
221.922322,1.0
222.042866,1.0
222.163411,1.0
222.283955,1.0
222.4045,1.0
222.525044,1.0
222.645589,1.0
222.766133,1.0
222.886677,1.0
223.007222,1.0
223.127766,1.0
223.248311,1.0
223.368855,1.0
223.4894,1.0
223.609944,1.0
223.730488,1.0
223.851033,1.0
223.971577,1.0
224.092122,1.0
224.212666,1.0
224.333211,1.0
224.453755,1.0
224.574299,1.0
224.694844,1.0
224.815388,1.0
224.935933,1.0
225.056477,1.0
225.177022,1.0
225.297566,1.0
225.418111,1.0
225.538655,1.0
225.659199,1.0
225.779744,1.0
225.900288,1.0
226.020833,1.0
226.141377,1.0
226.261922,1.0
226.382466,1.0
226.50301,1.0
226.623555,1.0
226.744099,1.0
226.864644,1.0
226.985188,1.0
227.105733,1.0
227.226277,1.0
227.346821,1.0
227.467366,1.0
227.58791,1.0
227.708455,1.0
227.828999,1.0
227.949544,1.0
228.070088,1.0
228.190632,1.0
228.311177,1.0
228.431721,1.0
228.552266,1.0
228.67281,1.0
228.793355,1.0
228.913899,1.0
229.034444,1.0
229.154988,1.0
229.275532,1.0
229.396077,1.0
229.516621,1.0
229.637166,1.0
229.75771,1.0
229.878255,1.0
229.998799,1.0
230.119343,1.0
230.239888,1.0
230.360432,1.0
230.480977,1.0
230.601521,1.0
230.722066,1.0
230.84261,1.0
230.963154,1.0
231.083699,1.0
231.204243,1.0
231.324788,1.0
231.445332,1.0
231.565877,1.0
231.686421,1.0
231.806965,1.0
231.92751,1.0
232.048054,1.0
232.168599,1.0
232.289143,1.0
232.409688,1.0
232.530232,1.0
232.650777,1.0
232.771321,1.0
232.891865,1.0
233.01241,1.0
233.132954,1.0
233.253499,1.0
233.374043,1.0
233.494588,1.0
233.615132,1.0
233.735676,1.0
233.856221,1.0
233.976765,1.0
234.09731,1.0
234.217854,1.0
234.338399,1.0
234.458943,1.0
234.579487,1.0
234.700032,1.0
234.820576,1.0
234.941121,1.0
235.061665,1.0
235.18221,1.0
235.302754,1.0
235.423298,1.0
235.543843,1.0
235.664387,1.0
235.784932,1.0
235.905476,1.0
236.026021,1.0
236.146565,1.0
236.26711,1.0
236.387654,1.0
236.508198,1.0
236.628743,1.0
236.749287,1.0
236.869832,1.0
236.990376,1.0
237.110921,1.0
237.231465,1.0
237.352009,1.0
237.472554,1.0
237.593098,1.0
237.713643,1.0
237.834187,1.0
237.954732,1.0
238.075276,1.0
238.19582,1.0
238.316365,1.0
238.436909,1.0
238.557454,1.0
238.677998,1.0
238.798543,1.0
238.919087,1.0
239.039631,1.0
239.160176,1.0
