nu,[0]Chloroform-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
652.953859,0.9970843587619436
653.086262,0.9967626515496216
653.218664,0.996444734974167
653.351067,0.9966661695947535
653.48347,0.9965149868043306
653.615872,0.9962825269754025
653.748275,0.9959711377301448
653.880678,0.9957183923301368
654.01308,0.9958199607860577
654.145483,0.9962370975279717
654.277886,0.9958012395467751
654.410288,0.9956279852046589
654.542691,0.9954622269448804
654.675094,0.9951339776337206
654.807496,0.9950597434079602
654.939899,0.9949550686289436
655.072301,0.9947164075365221
655.204704,0.9948150882986346
655.337107,0.9944972956480026
655.469509,0.9942591420657247
655.601912,0.9941695633526062
655.734315,0.9943389842804546
655.866717,0.9940539481555424
655.99912,0.9939967916967873
656.131523,0.993378817271096
656.263925,0.9932873312950192
656.396328,0.992677441532457
656.528731,0.9931431164447667
656.661133,0.992914819086083
656.793536,0.9927942865435193
656.925939,0.9926842910304342
657.058341,0.9923494158472608
657.190744,0.992645775627146
657.323146,0.9924581833035854
657.455549,0.9926188752911276
657.587952,0.9925390719416919
657.720354,0.9915489129150491
657.852757,0.9913085905868014
657.98516,0.9914099075019656
658.117562,0.990981710919046
658.249965,0.99147177341039
658.382368,0.9911480116023752
658.51477,0.9909583240266346
658.647173,0.9903037150727362
658.779576,0.9906004545151208
658.911978,0.9910305675216996
659.044381,0.9911716012057665
659.176784,0.9908908420625554
659.309186,0.9910019271521535
659.441589,0.9906388905584104
659.573991,0.9901321103088964
659.706394,0.9897112945995201
659.838797,0.9898063114445373
659.971199,0.989695459345489
660.103602,0.989212605787179
660.236005,0.9889910469789955
660.368407,0.9884294595702341
660.50081,0.98817052497374
660.633213,0.9877842258248803
660.765615,0.9879353683735417
660.898018,0.987409926537488
661.030421,0.9870949930054916
661.162823,0.9868995675446356
661.295226,0.9861113497251196
661.427629,0.986058101149959
661.560031,0.985684455939863
661.692434,0.9855159183082755
661.824836,0.9852577469596021
661.957239,0.9845702770071493
662.089642,0.9844669025553172
662.222044,0.9838970612037284
662.354447,0.9837258780084489
662.48685,0.9831397520680363
662.619252,0.9828802374309297
662.751655,0.9827858854571034
662.884058,0.9821138897601789
663.01646,0.9817368304265364
663.148863,0.9811253988618892
663.281266,0.9813039799348668
663.413668,0.9810841924604775
663.546071,0.9800918374740235
663.678474,0.979705757352837
663.810876,0.9797390679148634
663.943279,0.9792326737309275
664.075682,0.9790662183255036
664.208084,0.9786188872866566
664.340487,0.9785670218600763
664.472889,0.9777874146583915
664.605292,0.9778304382511486
664.737695,0.9775126949947929
664.870097,0.977106134284166
665.0025,0.9765376239665624
665.134903,0.9760036039540414
665.267305,0.9756435250628235
665.399708,0.9754786552389805
665.532111,0.974921815919594
665.664513,0.97469078682725
665.796916,0.9741412162169595
665.929319,0.9739960799886607
666.061721,0.9734897336885142
666.194124,0.9730079755153233
666.326527,0.9729174899812428
