nu,[0]Trifluoroaceticacid-PNNL(x-sec)-X=0.01-T=298.16K-P=1.0atm-L=15cm
658.614572,0.4934962593377714
658.744775,0.4903136453981998
658.874977,0.48491095637664416
659.00518,0.4847315725108465
659.135383,0.4826903153567386
659.265585,0.4803549352019636
659.395788,0.4783560257449581
659.525991,0.47313713807841856
659.656193,0.4700247152604868
659.786396,0.46585539694343675
659.916598,0.45330957426642554
660.046801,0.4459047120056847
660.177004,0.438669059935435
660.307206,0.4440802453987785
660.437409,0.4448002384332199
660.567611,0.4391035573455015
660.697814,0.4332241575756701
660.828017,0.4156091515117928
660.958219,0.3926997319423541
661.088422,0.3615337068854158
661.218624,0.34300851741870664
661.348827,0.3064195615422594
661.47903,0.31073960514861376
661.609232,0.31988299201747405
661.739435,0.32955896107518906
661.869637,0.3339045851571429
661.99984,0.350743532229481
662.130043,0.3706637357575101
662.260245,0.38774010355415267
662.390448,0.39797742357202903
662.52065,0.40455806710206077
662.650853,0.398001302933817
662.781056,0.3874029163617574
662.911258,0.41197195596313035
663.041461,0.42721836629359705
663.171663,0.44555258639113143
663.301866,0.464817696873862
663.432069,0.4761749263155023
663.562271,0.48667438182911466
663.692474,0.49551383713579433
663.822676,0.5054177317788223
663.952879,0.5122461539713256
664.083082,0.5198265919716876
664.213284,0.5245681113480369
664.343487,0.5305346538841562
664.473689,0.5331993018697445
664.603892,0.5387034742467693
664.734095,0.536880361391312
664.864297,0.5400195156415011
664.9945,0.5416582562121001
665.124702,0.5416907566824771
665.254905,0.5409112833483479
665.385108,0.5357862418354613
665.51531,0.5271922479995058
665.645513,0.5136105425732409
665.775716,0.49551879229894147
665.905918,0.46901993786509893
666.036121,0.43448233110248363
666.166323,0.38469287127648016
666.296526,0.3338711963680944
666.426729,0.267723646571943
666.556931,0.2232864059401808
666.687134,0.21976422760666275
666.817336,0.20278681990167408
666.947539,0.21142181877831445
667.077742,0.22029229518053503
667.207944,0.21367480981438924
667.338147,0.17573115152299076
667.468349,0.14482922344815205
667.598552,0.10109445511588405
667.728755,0.13091591920199258
667.858957,0.22368868341198284
667.98916,0.2996021053981838
668.119362,0.349483125606615
668.249565,0.37025252727374863
668.379768,0.3684058850900088
