nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
350.154456,0.8933561083934884
350.429951,0.8939995564050189
350.705446,0.896022280219466
350.980941,0.8974391144264876
351.256437,0.899037978617143
351.531932,0.9006757176286562
351.807427,0.9023705806498443
352.082922,0.904692655630375
352.358418,0.9070823855238047
352.633913,0.9091974424274057
352.909408,0.912316782488257
353.184903,0.9137867955510436
353.460399,0.9144449589542328
353.735894,0.9171107864591813
354.011389,0.9195645832932468
354.286884,0.921708745114974
354.56238,0.9231938914165779
354.837875,0.925252135216574
355.11337,0.9283949909073074
355.388866,0.9287766396720191
355.664361,0.930049935676979
355.939856,0.9312616493476549
356.215351,0.9329217041851734
356.490847,0.9349371230776456
356.766342,0.9369250399474249
357.041837,0.9392712221502305
357.317332,0.9416543535794754
357.592828,0.9427520201680348
357.868323,0.9434631232434115
358.143818,0.9449833223037013
358.419313,0.9461813749791615
358.694809,0.9484530405548041
358.970304,0.9500791329637931
359.245799,0.9516423476687934
359.521294,0.9526201863940885
359.79679,0.9541226994771629
360.072285,0.9552349001531553
360.34778,0.9569376893940487
360.623275,0.958676108438353
360.898771,0.9587096626893443
361.174266,0.9602544284490284
361.449761,0.9616362676213841
361.725257,0.9638129870765157
362.000752,0.964605567057637
362.276247,0.9653003331516985
362.551742,0.9653331539209756
362.827238,0.9656633543206664
363.102733,0.9660941362339194
363.378228,0.966461321766521
363.653723,0.9671767678270223
363.929219,0.9672067507715583
364.204714,0.9677040228294256
364.480209,0.9676072572655015
364.755704,0.9679121015619961
365.0312,0.9679488829206969
365.306695,0.9682809463331583
365.58219,0.9682702953013295
365.857685,0.9678791931099899
366.133181,0.9671835380880931
366.408676,0.9665705380664853
366.684171,0.9667000671968441
366.959667,0.9668354146803545
367.235162,0.9663260266523526
367.510657,0.9653331539209756
367.786152,0.9645727710258928
368.061648,0.9643413013383202
368.337143,0.9633177144971153
368.612638,0.9625926092944697
368.888133,0.9620652530533835
369.163629,0.9604186459964934
369.439124,0.9588736160592778
369.714619,0.9578884004695454
369.990114,0.957363621428678
370.26561,0.9564784695247253
370.541105,0.9552673786918926
370.8166,0.9543517164059696
371.092095,0.9542209791765266
371.367591,0.9528164463665688
371.643086,0.9505666485960717
371.918581,0.9491674946525511
372.194076,0.9469272597426459
372.469572,0.9439151503312899
372.745067,0.9413643686985369
373.020562,0.9389171836399324
