nu,[0]HCFO-1233zd-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
628.679482,1.0
628.798484,1.0
628.917486,0.9950479022674685
629.036488,0.994438721482315
629.15549,1.0
629.274492,1.0
629.393494,1.0
629.512496,0.9978802498503245
629.631498,0.9973853242348234
629.7505,1.0
629.869502,0.9971695134022333
629.988504,1.0
630.107506,0.9947298362986678
630.226508,0.99826540614987
630.34551,0.9927165537941598
630.464512,1.0
630.583514,0.9963248698825794
630.702516,0.9963898323818502
630.821518,0.9953620884818989
630.94052,0.9908329757270924
631.059522,1.0
631.178524,1.0
631.297526,0.9937834034936534
631.416528,0.9859506266743989
631.53553,0.9973181027293602
631.654532,0.9939462979423214
631.773534,1.0
631.892536,0.9866666867277123
632.011538,0.9907781841785349
632.13054,1.0
632.249542,1.0
632.368544,1.0
632.487546,1.0
632.606548,1.0
632.72555,1.0
632.844552,1.0
632.963554,1.0
633.082556,1.0
633.201558,0.9958551138511215
633.32056,1.0
633.439562,1.0
633.558564,0.9998340737672803
633.677566,0.996343800234945
633.796568,0.9992860949515571
633.91557,1.0
634.034572,1.0
634.153574,1.0
634.272576,0.997920465234728
634.391578,0.9876854523410543
634.51058,0.9972755181555607
634.629582,1.0
634.748584,1.0
634.867586,1.0
634.986588,1.0
635.10559,0.9891542439651282
635.224592,0.9979891245245887
635.343594,1.0
635.462596,1.0
635.581598,0.999356317252681
635.7006,1.0
635.819602,1.0
635.938604,1.0
636.057606,1.0
636.176608,0.946179482618304
636.29561,0.9598416078075942
636.414612,0.9921306269234318
636.533614,0.9957378090280995
636.652616,0.9993619736254442
636.771618,0.9892373364114552
636.89062,1.0
637.009622,1.0
637.128624,0.9987522790518758
637.247626,1.0
637.366628,0.9994869916338133
637.48563,0.9972901782134288
637.604632,0.9998783074051446
637.723634,0.9971461799086225
637.842636,0.9986194538318349
637.961638,0.995507720608174
638.08064,1.0
638.199642,1.0
638.318644,1.0
638.437646,1.0
638.556648,1.0
638.67565,0.9968642268389876
638.794652,1.0
638.913654,0.9968354178791234
639.032656,0.9963552582545312
639.151658,1.0
639.27066,0.9966859037802793
639.389662,0.9938155032159939
639.508664,0.9989066980905014
639.627666,1.0
639.746668,0.9975910062937722
639.86567,0.9929071736714109
639.984672,0.9943243676048185
640.103674,0.9957086343377063
640.222676,1.0
640.341678,1.0
640.46068,1.0
640.579682,1.0
640.698684,1.0
640.817686,1.0
640.936688,0.9971574477241186
641.05569,0.9912914410965278
641.174692,0.9916177287974889
641.293694,1.0
641.412696,0.9903105481919444
641.531698,0.9942134071970997
641.6507,0.9988663430750754
641.769702,0.9938546603182105
641.888704,1.0
642.007706,0.9994073057126918
642.126708,0.9843034946127275
642.24571,0.984831222704334
642.364712,0.9999897120529213
642.483714,0.9833452497499782
642.602716,0.990698033465575
642.721718,1.0
642.84072,1.0
642.959722,1.0
643.078724,1.0
643.197726,0.9938702639588657
643.316728,1.0
643.43573,1.0
643.554732,0.9989278751369768
643.673734,0.9820480903338704
643.792736,0.9987329034456063
643.911738,1.0
644.03074,1.0
644.149742,0.9964380588168078
644.268744,0.9861527672715704
644.387746,0.9987944272873733
644.506748,1.0
644.62575,0.9986502117846829
644.744752,1.0
644.863754,0.9966260047574458
644.982756,0.9893105426829483
645.101758,0.986889698598305
645.22076,0.9824979713741374
645.339762,0.9991085375889232
645.458764,1.0
645.577766,0.9952831593978618
645.696768,0.9947451552561025
645.81577,0.9989643366698382
645.934772,1.0
646.053774,1.0
646.172776,0.9895628490390256
646.291778,0.9929406352069874
646.41078,0.998347966112766
646.529782,0.9823378372560886
646.648784,0.9974257191584466
646.767786,1.0
646.886788,0.9997508310477409
647.00579,0.9972097998643558
647.124792,1.0
647.243794,1.0
647.362796,1.0
647.481798,0.99680401805801
647.6008,0.9949377565613648
647.719802,0.9762788757818599
647.838804,0.999095149624219
647.957806,0.9936894953992506
648.076808,1.0
648.19581,0.9956558631785344
648.314812,0.9897776074777149
648.433814,0.9778812867559873
648.552816,0.9982304674720852
648.671818,1.0
648.79082,0.9929071736714109
648.909822,0.9920417360016323
649.028824,0.9892581106136482
649.147826,0.9872716988239385
649.266828,0.9967076317698159
649.38583,1.0
649.504832,0.998617556456675
649.623834,0.9824223219428821
649.742836,0.9991965829124755
649.861838,0.997086253224025
649.98084,0.9911696188645465
650.099842,0.9933071972403039
650.218844,0.9882060997529812
650.337846,0.9819930971806343
650.456848,1.0
650.57585,0.9832951004210597
650.694852,0.9779360496413921
650.813854,0.9940306875653054
650.932856,0.992650341808216
651.051858,0.9776524893052321
651.17086,0.9609950700940278
651.289862,0.9869064758657875
651.408864,0.9984635815012436
651.527866,0.9940908282411403
651.646868,0.9842995574066234
651.76587,0.9747112555486941
651.884872,0.9815503181479829
652.003874,0.9831309038500846
652.122876,0.9830660193516425
652.241878,0.9764985632428235
652.36088,0.9783635010864237
652.479882,0.9904528660430123
652.598884,0.9910625783260022
652.717886,0.9697111842658837
652.836888,0.9748506492246478
652.95589,0.9643528735033691
653.074892,0.9730488427084999
653.193894,0.9769273402217477
653.312896,0.9882871359756007
653.431898,0.9695337433555015
653.5509,0.9622894403741536
653.669902,0.9705629645625006
653.788904,0.9743331409405188
653.907906,0.9803663016117024
654.026908,0.9610536925812713
654.14591,0.9858520365413203
654.264912,0.9728999776240349
654.383914,0.9632021233069858
654.502916,0.9496972779103499
654.621918,0.9554450749495689
654.74092,0.9612862957187204
654.859922,0.9513588004998146
654.978924,0.9482690585117716
655.097926,0.9386543236306318
655.216928,0.9391359768321375
655.33593,0.9450475833544689
655.454932,0.9302675928268208
655.573934,0.935041841899575
655.692936,0.9321924445901656
655.811938,0.9194533227100693
655.93094,0.91560154819276
656.049942,0.9260055970720121
656.168944,0.901567828110934
656.287946,0.9102882239537256
656.406948,0.9051224867186013
656.52595,0.8950013968341072
656.644952,0.8774371062499813
656.763954,0.8895229243793228
656.882956,0.875403811697163
657.001958,0.8714559154352663
657.12096,0.8559100415586492
657.239962,0.8542426432193475
657.358964,0.8359721331547167
657.477966,0.8434286235163111
657.596968,0.8259178215991362
657.71597,0.8213548878642281
657.834972,0.8160252343888849
657.953974,0.8064769194429765
658.072976,0.7959809703651226
658.191978,0.7862110587625554
658.31098,0.7573574076834712
658.429982,0.7591696566627193
658.548984,0.7427914203408137
658.667986,0.7372118345040554
658.786988,0.7182195332875931
658.90599,0.7132880093124704
659.024992,0.6928096450443917
659.143994,0.6889820917230189
659.262996,0.6557471542053772
659.381998,0.651980907799715
659.501,0.6316309470111136
659.620002,0.6281288238699956
