nu,[0]Acrolein-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
608.898756,0.9086729868231175
609.017958,0.9187805291503299
609.13716,0.9214129240896068
609.256362,0.9292309225119206
609.375564,0.9317357821837431
609.494766,0.9343146622561375
609.613968,0.9291946832126136
609.73317,0.9157727816921052
609.852372,0.9186693634319644
609.971574,0.9338112023478156
610.090776,0.9376495629953854
610.209978,0.9355590630366089
610.32918,0.9312970379627095
610.448382,0.9269858294452032
610.567584,0.9285611884849192
610.686786,0.9289549819071428
610.805988,0.9332958808059502
610.92519,0.9338214743275371
611.044392,0.932202698763454
611.163594,0.9269459699115232
611.282796,0.9202315093476163
611.401998,0.9049550545465118
611.5212,0.8831678551602432
611.640402,0.8831678551602432
611.759604,0.9139905927289923
611.878806,0.9224030531742233
611.998008,0.9217751105337487
612.11721,0.9230923456736404
612.236412,0.9282631681782337
612.355614,0.929554351146273
612.474816,0.9316854698099515
612.594018,0.9392994007095713
612.71322,0.9395276781985353
612.832422,0.9399778197566889
612.951624,0.937177106684627
613.070826,0.9351044918017305
613.190028,0.9348296114905265
613.30923,0.9390232872764263
613.428432,0.9391500639774433
613.547634,0.9359230663061759
613.666836,0.9362048215511711
613.786038,0.9347866103174325
613.90524,0.9350605429234226
614.024442,0.9317059671157568
614.143644,0.9254307261121378
614.262846,0.911495155265882
614.382048,0.8870623553402194
614.50125,0.8874261254736904
614.620452,0.9194928600529926
614.739654,0.9288388697915628
614.858856,0.9290553144630492
614.978058,0.9210398274125273
615.09726,0.9201542131473169
615.216462,0.9288082186146068
615.335664,0.9378793152818251
615.454866,0.9414189694153269
615.574068,0.940782785246478
615.69327,0.9394600346409023
615.812472,0.937838987338325
615.931674,0.9425955363212056
616.050876,0.9443494511819798
616.170078,0.9476585698365427
616.28928,0.9477391242384925
616.408482,0.9455637202275244
616.527684,0.9419670347270621
616.646886,0.9422883002585641
616.766088,0.9447263217936885
616.88529,0.9434159512665586
617.004492,0.9400417404217103
617.123694,0.9326987625404609
617.242896,0.913285264283216
617.362098,0.8798269839391996
617.4813,0.9147339692224798
617.600502,0.9310763467176579
617.719704,0.9358304145089512
617.838906,0.9341399617493021
617.958108,0.9348071758490795
618.07731,0.940842997271498
618.196512,0.9419067507659469
618.315714,0.9396601609409752
618.434916,0.9392561939309022
618.554118,0.9391218898981373
618.67332,0.9434301026119625
618.792522,0.947424527075264
618.911724,0.9470939336072305
619.030926,0.9473080010249327
619.150128,0.9454861871813641
619.26933,0.9451080683353024
619.388532,0.9432310598600601
619.507734,0.9414104966827296
619.626936,0.9394713082289594
619.746138,0.9371218148664573
619.86534,0.933702886530782
619.984542,0.9310232768783998
620.103744,0.9349464724956235
620.222946,0.9415987976115313
620.342148,0.9431876722292297
620.46135,0.9418888547076955
620.580552,0.9396188168034715
620.699754,0.936134608822565
620.818956,0.9420009461507143
620.938158,0.9461946216111375
621.05736,0.9455845228581975
621.176562,0.9404375813130889
621.295764,0.9395464689400062
621.414966,0.9472199054773439
621.534168,0.9500116797399705
621.65337,0.9520592583138384
621.772572,0.9526420969103455
621.891774,0.9528783814484509
622.010976,0.9509269816346871
622.130178,0.9507415689515926
622.24938,0.9510838975318624
622.368582,0.9510315893559862
622.487784,0.946757774932495
622.606986,0.9433782153832306
622.726188,0.9363461991529657
622.84539,0.930417377966646
622.964592,0.9321654114012556
623.083794,0.9430697811385477
623.202996,0.9467435736723808
623.322198,0.9451392574161744
623.4414,0.9467558814188387
623.560602,0.9445940693665233
623.679804,0.9482330249721898
623.799006,0.950192199107918
623.918208,0.954634246326391
624.03741,0.9565282076983218
624.156612,0.9575215994590428
624.275814,0.9570286027928592
624.395016,0.9578347602210601
624.514218,0.9565626433336367
624.63342,0.9564736871443336
624.752622,0.9566410846864415
624.871824,0.9573214983560495
624.991026,0.9577657986009722
625.110228,0.9557202827591768
625.22943,0.9555157805011883
625.348632,0.9524334911342883
625.467834,0.9491940717144786
625.587036,0.9416477620220708
625.706238,0.9352587967726878
625.82544,0.9406068753137282
625.944642,0.9507929103825221
626.063844,0.9518108032722119
626.183046,0.950125687981897
626.302248,0.952007848501967
626.42145,0.9549225894063953
626.540652,0.9534474196831879
626.659854,0.9548433341206144
626.779056,0.9597984159070678
626.898258,0.9608317148177037
627.01746,0.9625800956718875
627.136662,0.9619286494865328
627.255864,0.9619334591418043
627.375066,0.96097200648911
627.494268,0.9621249029482005
627.61347,0.96303935590238
627.732672,0.9615016479675127
627.851874,0.9618257286274019
627.971076,0.9615401088026431
628.090278,0.9610508094245183
