nu,[0]Cineole-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
592.683054,0.9760748548177549
592.818656,0.9718449536023446
592.954259,0.9908416950956439
593.089862,0.9711784965850663
593.225465,0.9819606919431167
593.361067,0.9937353055409041
593.49667,0.9650358770925496
593.632273,0.985889499630503
593.767875,0.9816838180690399
593.903478,0.969787794475504
594.039081,0.9903269874834901
594.174683,0.9809507740829582
594.310286,0.9863302907463127
594.445889,0.9789164326529959
594.581492,0.9762193245867672
594.717094,0.9938258389509731
594.852697,0.9735520390252198
594.9883,0.9908835094974546
595.123902,0.9911872618407843
595.259505,0.9702359399501852
595.395108,0.9902329108883882
595.530711,0.9850104782986304
595.666313,0.9781052472131481
595.801916,0.9878731304058507
595.937519,0.981863482646554
596.073121,0.9947744011935802
596.208724,0.9773817170693806
596.344327,0.9859535845307157
596.47993,0.9967974391732012
596.615532,0.970864856586256
596.751135,0.992535995075338
596.886738,0.992996340739148
597.02234,0.9727219532178597
597.157943,0.9934929630547502
597.293546,0.9838360614769449
597.429149,0.9833324663448237
597.564751,0.9913479463190538
597.700354,0.9838449160413437
597.835957,0.9964764224205669
597.971559,0.9757791489384483
598.107162,0.9848558437926639
598.242765,0.9986271432312336
598.378368,0.974816530049014
598.51397,0.9905974827182149
598.649573,0.9931852266056331
598.785176,0.9786130155909479
598.920778,0.9964235109273489
599.056381,0.9880173704121542
599.191984,0.9873822794466061
599.327587,0.9913687648445203
599.463189,0.9860157015632071
599.598792,0.99393904216083
599.734395,0.9796744072702058
599.869997,0.9926390256588216
600.0056,0.9996330173546102
600.141203,0.9769019404411006
600.276806,0.995565959513301
600.412408,0.9927234035620126
600.548011,0.9790016020874533
600.683614,0.9943425639072413
600.819216,0.9914752435676697
600.954819,0.9905242802691059
601.090422,0.9894173939914248
601.226025,0.990871519879527
601.361627,0.996570693549082
601.49723,0.9773699885591469
601.632833,0.9961456471600548
601.768435,0.9987843395146011
601.904038,0.980147704300949
602.039641,0.9991719829954304
602.175244,0.9915449467273298
602.310846,0.9843408988561989
602.446449,0.9944960028023585
602.582052,0.9890464320283933
602.717654,0.997586317627061
602.853257,0.9888506202208603
602.98886,0.9914446074559737
603.124462,0.9996487317091575
603.260065,0.980371203455465
603.395668,0.9962377948941841
603.531271,0.9982424463095677
603.666873,0.9799477745627982
603.802476,0.9993067504086132
603.938079,0.9932578310993598
604.073681,0.9876113787099247
604.209284,0.9969565407404606
604.344887,0.9911538593928947
604.48049,0.9953314318016889
604.616092,0.9859328797228418
604.751695,0.9918721113680954
604.887298,0.9991526991622481
605.0229,0.9823378372560886
605.158503,0.9969662112658078
605.294106,0.9987067369863181
605.429709,0.9828419058491406
605.565311,0.998374822034265
605.700914,0.9948336915147253
