nu,[0]HFC-236fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
412.332617,1.0
412.453147,1.0
412.573676,1.0
412.694206,1.0
412.814735,1.0
412.935265,1.0
413.055794,1.0
413.176323,1.0
413.296853,1.0
413.417382,1.0
413.537912,1.0
413.658441,1.0
413.778971,1.0
413.8995,1.0
414.020029,1.0
414.140559,1.0
414.261088,1.0
414.381618,1.0
414.502147,1.0
414.622677,1.0
414.743206,1.0
414.863735,1.0
414.984265,1.0
415.104794,1.0
415.225324,1.0
415.345853,1.0
415.466383,1.0
415.586912,1.0
415.707442,1.0
415.827971,1.0
415.9485,1.0
416.06903,1.0
416.189559,1.0
416.310089,1.0
416.430618,1.0
416.551148,1.0
416.671677,1.0
416.792206,1.0
416.912736,1.0
417.033265,1.0
417.153795,1.0
417.274324,1.0
417.394854,1.0
417.515383,1.0
417.635912,1.0
417.756442,1.0
417.876971,1.0
417.997501,1.0
418.11803,1.0
418.23856,1.0
418.359089,1.0
418.479618,1.0
418.600148,1.0
418.720677,1.0
418.841207,1.0
418.961736,1.0
419.082266,1.0
419.202795,1.0
419.323325,1.0
419.443854,1.0
419.564383,1.0
419.684913,1.0
419.805442,1.0
419.925972,1.0
420.046501,1.0
420.167031,1.0
420.28756,1.0
420.408089,1.0
420.528619,1.0
420.649148,1.0
420.769678,1.0
420.890207,1.0
421.010737,1.0
421.131266,1.0
421.251795,1.0
421.372325,1.0
421.492854,1.0
421.613384,1.0
421.733913,1.0
421.854443,1.0
421.974972,1.0
422.095502,1.0
422.216031,1.0
422.33656,1.0
422.45709,1.0
422.577619,1.0
422.698149,1.0
422.818678,1.0
422.939208,1.0
423.059737,1.0
423.180266,1.0
423.300796,1.0
423.421325,1.0
423.541855,1.0
423.662384,1.0
423.782914,1.0
423.903443,1.0
424.023972,1.0
424.144502,1.0
424.265031,1.0
424.385561,1.0
424.50609,1.0
424.62662,1.0
424.747149,1.0
424.867678,1.0
424.988208,1.0
425.108737,1.0
425.229267,1.0
425.349796,1.0
425.470326,1.0
425.590855,1.0
425.711385,1.0
425.831914,1.0
425.952443,1.0
426.072973,1.0
426.193502,1.0
426.314032,1.0
426.434561,1.0
426.555091,1.0
426.67562,1.0
426.796149,1.0
426.916679,1.0
427.037208,1.0
427.157738,1.0
427.278267,1.0
427.398797,1.0
427.519326,1.0
427.639855,1.0
427.760385,1.0
427.880914,1.0
428.001444,1.0
428.121973,1.0
428.242503,1.0
428.363032,1.0
428.483562,1.0
428.604091,1.0
428.72462,1.0
428.84515,1.0
428.965679,1.0
429.086209,1.0
429.206738,1.0
429.327268,1.0
429.447797,1.0
429.568326,1.0
429.688856,1.0
429.809385,1.0
429.929915,1.0
430.050444,1.0
430.170974,1.0
430.291503,1.0
430.412032,1.0
430.532562,1.0
430.653091,1.0
430.773621,1.0
430.89415,1.0
431.01468,1.0
431.135209,1.0
431.255738,1.0
431.376268,1.0
431.496797,1.0
431.617327,1.0
431.737856,1.0
431.858386,1.0
431.978915,1.0
432.099445,1.0
432.219974,1.0
432.340503,1.0
432.461033,1.0
432.581562,1.0
432.702092,1.0
432.822621,1.0
432.943151,1.0
433.06368,1.0
433.184209,1.0
433.304739,1.0
433.425268,1.0
433.545798,1.0
433.666327,1.0
433.786857,1.0
433.907386,1.0
434.027915,1.0
434.148445,1.0
434.268974,1.0
434.389504,1.0
434.510033,1.0
434.630563,1.0
434.751092,1.0
434.871622,1.0
434.992151,1.0
435.11268,1.0
435.23321,1.0
435.353739,1.0
435.474269,1.0
435.594798,1.0
435.715328,1.0
435.835857,1.0
435.956386,1.0
436.076916,1.0
436.197445,1.0
436.317975,1.0
436.438504,1.0
436.559034,1.0
436.679563,1.0
436.800092,1.0
436.920622,1.0
437.041151,1.0
437.161681,1.0
437.28221,1.0
437.40274,1.0
437.523269,1.0
437.643798,1.0
437.764328,1.0
437.884857,1.0
438.005387,1.0
438.125916,1.0
438.246446,1.0
438.366975,1.0
438.487505,1.0
438.608034,1.0
438.728563,1.0
438.849093,1.0
438.969622,1.0
439.090152,1.0
439.210681,1.0
439.331211,1.0
439.45174,1.0
439.572269,1.0
439.692799,1.0
439.813328,1.0
439.933858,1.0
440.054387,1.0
440.174917,1.0
440.295446,1.0
440.415975,1.0
440.536505,1.0
440.657034,1.0
440.777564,1.0
440.898093,1.0
441.018623,1.0
441.139152,1.0
441.259682,1.0
441.380211,1.0
441.50074,1.0
441.62127,1.0
441.741799,1.0
441.862329,1.0
441.982858,1.0
442.103388,1.0
442.223917,1.0
442.344446,1.0
442.464976,1.0
442.585505,1.0
442.706035,1.0
442.826564,1.0
442.947094,1.0
443.067623,1.0
443.188152,1.0
443.308682,1.0
443.429211,1.0
443.549741,1.0
443.67027,1.0
443.7908,1.0
443.911329,1.0
444.031858,1.0
444.152388,1.0
444.272917,1.0
444.393447,1.0
444.513976,1.0
444.634506,1.0
444.755035,1.0
444.875565,1.0
444.996094,1.0
445.116623,1.0
445.237153,1.0
445.357682,1.0
445.478212,1.0
445.598741,1.0
445.719271,1.0
445.8398,1.0
445.960329,1.0
446.080859,1.0
446.201388,1.0
446.321918,1.0
446.442447,1.0
446.562977,1.0
446.683506,1.0
446.804035,1.0
446.924565,1.0
447.045094,1.0
447.165624,1.0
447.286153,1.0
447.406683,1.0
447.527212,1.0
447.647742,1.0
447.768271,1.0
447.8888,1.0
448.00933,1.0
448.129859,1.0
448.250389,1.0
448.370918,1.0
448.491448,1.0
448.611977,1.0
448.732506,1.0
448.853036,1.0
448.973565,1.0
449.094095,1.0
449.214624,1.0
449.335154,1.0
449.455683,1.0
449.576212,1.0
449.696742,1.0
449.817271,1.0
449.937801,1.0
450.05833,1.0
450.17886,1.0
450.299389,1.0
450.419918,1.0
450.540448,1.0
450.660977,1.0
450.781507,1.0
450.902036,1.0
451.022566,1.0
451.143095,1.0
451.263625,1.0
451.384154,1.0
451.504683,1.0
451.625213,1.0
451.745742,1.0
451.866272,1.0
451.986801,1.0
452.107331,1.0
452.22786,1.0
452.348389,1.0
452.468919,1.0
452.589448,1.0
452.709978,1.0
452.830507,1.0
452.951037,1.0
453.071566,1.0
453.192095,1.0
453.312625,1.0
453.433154,1.0
453.553684,1.0
453.674213,1.0
453.794743,1.0
453.915272,1.0
454.035802,1.0
454.156331,1.0
454.27686,1.0
454.39739,1.0
454.517919,1.0
454.638449,1.0
454.758978,1.0
454.879508,1.0
455.000037,1.0
455.120566,1.0
455.241096,1.0
455.361625,1.0
455.482155,1.0
455.602684,1.0
455.723214,1.0
455.843743,1.0
455.964272,1.0
456.084802,1.0
456.205331,1.0
456.325861,1.0
456.44639,1.0
456.56692,1.0
456.687449,1.0
456.807978,1.0
456.928508,1.0
457.049037,1.0
457.169567,1.0
457.290096,1.0
457.410626,1.0
457.531155,1.0
457.651685,1.0
