nu,[0]2-3-Butanedione-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
666.779056,0.9989137903532354
666.898258,0.999229716820522
667.01746,0.9992945489476808
667.136662,0.9991133932682151
667.255864,0.9989451567387021
667.375066,0.9985271856571561
667.494268,0.9992653499875594
667.61347,0.9991089971789562
667.732672,0.9989380642532676
667.851874,0.998503321142601
667.971076,0.9996070172379617
668.090278,0.9994825539214222
668.20948,0.9987123297597049
668.328682,0.9986832676537646
668.447884,0.9991829939313531
668.567086,0.9988517597329251
668.686288,0.9992980165057819
668.80549,0.9992420973534106
668.924692,0.9990373236704579
669.043894,0.9990040163213234
669.163096,0.9986686869844961
669.282298,0.9995539495101119
669.4015,0.9991835234984803
669.520702,0.9992182956901307
669.639904,0.9989732274919987
669.759106,0.9993349712297208
669.878308,0.998406271336483
669.99751,0.9992521697645168
670.116712,0.9991907476214703
670.235914,0.9989889114947894
670.355116,0.9992390896392243
670.474318,0.9991783977001524
670.59352,0.9991019734673944
670.712722,0.9985771132646187
670.831924,0.9989899104842004
670.951126,0.9985997812223703
671.070328,0.999130068609904
671.18953,0.9994294728125648
671.308732,0.9994958671177061
671.427934,0.9983615437374328
