nu,[0]2-Pentanone-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
581.595232,0.8738120257244952
581.714834,0.8693060754694955
581.834437,0.8671702107146054
581.954039,0.868576164971429
582.073641,0.8638121092267684
582.193244,0.8648925494977889
582.312846,0.8641317788424143
582.432449,0.8632680789854753
582.552051,0.8610781604387796
582.671653,0.8617155940988703
582.791256,0.8582756162647789
582.910858,0.8562353491789748
583.030461,0.8574520670400412
583.150063,0.8567835151968644
583.269665,0.8596929400021438
583.389268,0.8529537102174107
583.50887,0.8533973614860567
583.628473,0.8551913790042701
583.748075,0.8544476860578766
583.867677,0.8575549674619878
583.98728,0.8531669753019899
584.106882,0.8518029996130394
584.226485,0.8551913790042701
584.346087,0.8531157868191416
584.465689,0.8530560708041492
584.585292,0.846910717633543
584.704894,0.8526978624834245
584.824496,0.8532352313902212
584.944099,0.8515134358218049
585.063701,0.8523398045786049
585.183304,0.8499140944144421
585.302906,0.8511728985594691
585.422508,0.8528087204111565
585.542111,0.8530304795058965
585.661713,0.8522716201216533
585.781316,0.8528513619132058
585.900918,0.8493533361827006
586.02052,0.8572548757424905
586.140123,0.8523398045786049
586.259725,0.8509260942072476
586.379328,0.85527690241827
586.49893,0.858601822974309
586.618532,0.8529963589691315
586.738135,0.8587392102566743
586.857737,0.8546271389138391
586.97734,0.8569377501103256
587.096942,0.8585932369990091
587.216544,0.8565522148747099
587.336147,0.8510622532747557
587.455749,0.8523057116682845
587.575352,0.8554223118511327
587.694954,0.8505432636081994
587.814556,0.8518967030965939
587.934159,0.8489287656660837
588.053761,0.8477834850707757
588.173363,0.8489797029201259
588.292966,0.846902248568712
588.412568,0.847775007278314
588.532171,0.8439517114033799
588.651773,0.8456835869777033
588.771375,0.8453622882652734
588.890978,0.8452777562631174
589.01058,0.8497696212989545
589.130183,0.8443737927706301
589.249785,0.843276820026802
589.369387,0.8408264514959001
589.48899,0.8416087838239372
589.608592,0.8427878612829294
589.728195,0.8445680210783665
589.847797,0.8463942596314916
589.967399,0.845818907176947
590.087002,0.8484280454213379
590.206604,0.8451847808236714
590.326207,0.8481905188238954
590.445809,0.844297802548892
590.565411,0.8463857957312149
590.685014,0.8476817571563642
590.804616,0.846224997706322
590.924218,0.8462842355294611
591.043821,0.8436563799904008
591.163423,0.8447960852313328
591.283026,0.8477071879905395
591.402628,0.8490561145318597
591.52223,0.8515134358218049
591.641833,0.8526296493829862
591.761435,0.8559100415586492
591.881038,0.8580696548332357
592.00064,0.8580181721984402
592.120242,0.8586275814153729
592.239845,0.8554907483735052
592.359447,0.8577350729155656
592.47905,0.8578036944662243
592.598652,0.8591686872220966
592.718254,0.8593233515051645
592.837857,0.8556704202955552
592.957459,0.859735925723778
593.077062,0.8566378743791012
593.196664,0.8585417229502261
593.316266,0.8559613977018116
593.435869,0.8552255873435926
593.555471,0.8581468845774571
593.675074,0.8566293080431892
593.794676,0.8536790290879452
593.914278,0.8535168454803492
594.033881,0.8578980580625182
594.153483,0.8584129513498951
594.273085,0.855807338515968
594.392688,0.8507474184890712
594.51229,0.8524506159557835
594.631893,0.8523994704532066
594.751495,0.8513090971188328
594.871097,0.8546100465419851
594.9907,0.852467665138594
595.110302,0.8561839765992169
595.229905,0.8517604105277947
595.349507,0.8536363462035719
595.469109,0.852766081041129
595.588712,0.8549092124092476
595.708314,0.8563295402477983
595.827917,0.8576664568544113
595.947519,0.8549605085008595
596.067121,0.8559785171009591
596.186724,0.8567321097281321
596.306326,0.8589968706668805
596.425929,0.8586275814153729
596.545531,0.8590999564763854
596.665133,0.8584816271329978
596.784736,0.8622500234231826
596.904338,0.8605530629319339
597.02394,0.862940099435522
597.143543,0.8620000071704987
597.263145,0.8654289491451855
597.382748,0.8665807354156356
597.50235,0.8667280666634576
597.621952,0.8690800852698723
597.741555,0.8694364811609981
597.861157,0.8726855349540736
597.98076,0.8738644560189318
598.100362,0.8727466250796498
598.219964,0.8771826863818328
598.339567,0.8775775074187753
598.459169,0.8809274553204463
598.578772,0.8811741495435155
598.698374,0.8847678365244096
598.817976,0.8829382613663882
598.937579,0.8876213806985818
599.057181,0.8879765002700406
599.176784,0.8928648976292148
599.296386,0.8924096526287665
599.415988,0.8976006680064703
599.535591,0.89376714673492
599.655193,0.8968739058437967
599.774795,0.8981214273995395
599.894398,0.9046112369552637
600.014,0.9046474221284405
600.133603,0.9078146964566407
600.253205,0.909644877629114
600.372807,0.9075532834693383
600.49241,0.9125540156906838
600.612012,0.9153305702412102
600.731615,0.9155511914924312
600.851217,0.9165551856866242
600.970819,0.9201523728407309
601.090422,0.9203226167767851
601.210024,0.92006220232662
601.329627,0.9253492917914027
601.449229,0.9231080383769044
601.568831,0.9303457385866942
601.688434,0.9333229467789482
601.808036,0.9322390553776551
601.927639,0.9343062534620169
602.047241,0.9366168423105735
602.166843,0.9384431501657207
602.286446,0.937713325333564
602.406048,0.9396413679256872
602.525651,0.9364482664512401
602.645253,0.9443012905880751
602.764855,0.9454096059017861
602.884458,0.9455864140291345
603.00406,0.9505105668182332
603.123662,0.9486569798812153
603.243265,0.9525687462929184
603.362867,0.9525773194502142
603.48247,0.95196881698033
603.602072,0.9575005342155732
603.721674,0.9529689091946885
603.841277,0.9564756000936208
603.960879,0.9581719774034
604.080482,0.9593263112337145
604.200084,0.9583847151954048
604.319686,0.9622730815927173
604.439289,0.961580494335303
604.558891,0.9624482312317009
604.678494,0.963542193675402
604.798096,0.9652549651021979
604.917698,0.968487212141256
605.037301,0.9667348690256924
605.156903,0.9664178319855689
605.276506,0.9671322787189597
605.396108,0.9684465365325399
605.51571,0.9709774834418513
605.635313,0.9716185401063518
605.754915,0.9704979390222549
605.874517,0.9736581619810696
605.99412,0.9748496743744861
606.113722,0.9731412867395791
606.233325,0.9725682752901272
606.352927,0.9766528622051128
606.472529,0.9767231837427366
606.592132,0.977853906463284
606.711734,0.9779497408419253
606.831337,0.9763159750840219
606.950939,0.9773592375484035
607.070541,0.97890860135286
607.190144,0.978081772968907
607.309746,0.9806104432151719
607.429349,0.9839865999102474
607.548951,0.9815110569204868
607.668553,0.9803564979977044
607.788156,0.982770161008732
607.907758,0.9836737419185331
608.027361,0.9858234472468074
608.146963,0.9850045682534908
608.266565,0.9835193172637045
608.386168,0.9843546797252487
608.50577,0.9858185181418939
608.625373,0.9850508645561533
608.744975,0.9872568898595236
608.864577,0.9850794314454433
608.98418,0.9881270464271762
609.103782,0.9843379458379319
609.223384,0.9845230187680597
609.342987,0.9883177733516928
609.462589,0.9871561947922938
609.582192,0.9863894723391875
609.701794,0.9882644056328732
609.821396,0.9860797946668121
609.940999,0.9847809975927273
610.060601,0.9822592533725054
610.180204,0.991717887246014
610.299806,0.9876933538562791
610.419408,0.9881991823344939
610.539011,0.9944891408036132
610.658613,0.9858766831503151
610.778216,0.9904471214330486
610.897818,0.9945641281118157
611.01742,0.9927351177672884
611.137023,0.9906371074100122
611.256625,0.9914606689887127
611.376228,0.9896014427427104
611.49583,0.9900052825090597
611.615432,0.9873269875871435
611.735035,0.9895202987513547
611.854637,0.9923303629213852
611.974239,0.99204104157266
612.093842,0.9934879956023536
612.213444,0.9908953010813775
612.333047,0.9943046801772462
612.452649,0.9916761368018139
612.572251,0.9898993576109144
612.691854,0.9918683422612335
