nu,[0]Crotonaldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
523.280466,0.992547310050177
523.400468,0.9898132401129678
523.52047,0.9909594140813907
523.640473,0.9907625300068932
523.760475,0.991194497534206
523.880478,0.9911284861788727
524.00048,0.9927584473166771
524.120482,0.9935898333409977
524.240485,0.9911482098319974
524.360487,0.989688531501521
524.48049,0.9924668177273398
524.600492,0.9940287989087933
524.720494,0.9916917062393814
524.840497,0.9944612954975067
524.960499,0.9917922688768337
525.080502,0.9904297887600848
525.200504,0.9917811608656273
525.320506,0.9908412987590451
525.440509,0.9904649496416879
525.560511,0.9923920877895824
525.680514,0.9942952343276523
525.800516,0.9913110688613757
525.920518,0.9933966982507353
526.040521,0.9916733601125183
526.160523,0.9920502675972476
526.280526,0.9925774839470435
526.400528,0.9916842685794759
526.52053,0.9933416655980707
526.640533,0.9919182344936284
526.760535,0.9936537232213192
526.880538,0.9912599185299124
527.00054,0.9911742773727026
527.120542,0.9931112370623957
527.240545,0.9938022855576988
527.360547,0.993008951872756
527.48055,0.9930987239396415
527.600552,0.9944838700251345
527.720554,0.993058305644095
527.840557,0.9937941364123687
527.960559,0.9927949814997631
528.080562,0.9926139122091588
528.200564,0.9938901415629202
528.320566,0.9929208758849526
528.440569,0.9925576325958787
528.560571,0.991188352147372
528.680574,0.9929715161409383
528.800576,0.9925250772394404
528.920578,0.9923840494462266
529.040581,0.9926276103756645
529.160583,0.93363846325424
529.280586,0.9536333600586235
529.400588,0.9672077179787927
529.52059,0.9611401913059878
529.640593,0.9615862638355774
529.760595,0.9617737914403727
529.880598,0.944524171991625
530.0006,0.9284321274496695
530.120602,0.9279077114591283
530.240605,0.9541684984659047
530.360607,0.8964166167704418
530.48061,0.9507425196936369
530.600612,0.8943303974427064
530.720614,0.9580809553891608
530.840617,0.9031740479565386
530.960619,0.9331801592916124
531.080622,0.9611632589473897
531.200624,0.9451137390007244
531.320626,0.9325579356600144
531.440629,0.9301615483658876
531.560631,0.9365550276388876
531.680634,0.8809803125534666
531.800636,0.9115936020586818
531.920638,0.9120969406356847
532.040641,0.855867247126441
532.160643,0.8921330485123047
532.280646,0.9157288256535373
532.400648,0.915882681019736
532.52065,0.9113757572212848
532.640653,0.8593835062451611
532.760655,0.9623664266087919
532.880658,0.9024969213747797
533.00066,0.9255667744281826
533.120662,0.9141194744885176
533.240665,0.9072239014138989
533.360667,0.8509175849888517
533.48067,0.8904752232974726
533.600672,0.9199913602644951
533.720674,0.8606563354957156
533.840677,0.913872695547062
533.960679,0.9217917026350667
534.080682,0.9318196421777827
534.200684,0.8799501683396579
534.320686,0.8927399052932143
534.440689,0.8288550403443949
534.560691,0.9166321795559191
534.680694,0.9177089376680572
534.800696,0.8726855349540736
534.920698,0.9186767128162693
535.040701,0.8477071879905395
535.160703,0.9267411374869894
535.280706,0.85784658572322
535.400708,0.8759730091438958
535.52071,0.8948224144535749
535.640713,0.9129090682560342
535.760715,0.9545397422140356
535.880718,0.8646677066657542
536.00072,0.9342726190423154
536.120722,0.9038245674299753
536.240725,0.8891938617776378
536.360727,0.8708722355265287
536.48073,0.9116464760209313
536.600732,0.8962194268064437
536.720734,0.8728426324887193
536.840737,0.8610437180012154
536.960739,0.8999824642628804
537.080742,0.8742402985353699
537.200744,0.8672829501699042
537.320746,0.9449937171774183
537.440749,0.8913483167622253
537.560751,0.8585245522874744
537.680754,0.9602976408705809
537.800756,0.9332921476298933
537.920758,0.9036528570751639
538.040761,0.9606414889711501
538.160763,0.9248127448158278
538.280766,0.933675809539691
538.400768,0.9277778134725952
538.52077,0.8775950591444404
538.640773,0.9273001309124739
538.760775,0.8813327751663111
538.880778,0.9221761699309255
539.00078,0.8721620806850855
539.120782,0.9037974530996694
539.240785,0.8674737734087282
539.360787,0.905382294152873
539.48079,0.9179962255237513
539.600792,0.8979328417019768
539.720794,0.9096812641519447
539.840797,0.9141258733472349
539.960799,0.914193521164801
540.080802,0.8495911884145902
540.200804,0.9266873880597636
540.320806,0.8646590600319208
540.440809,0.9254001874020676
540.560811,0.8606821555730798
540.680814,0.8858479119970424
540.800816,0.894249911328866
540.920818,0.8799061719311603
541.040821,0.9293108398076511
541.160823,0.8739518468340016
541.280826,0.876367285703583
541.400828,0.8541315988937666
541.52083,0.8939101609192273
541.640833,0.893463317558917
541.760835,0.9031650162612176
541.880838,0.8823115976927473
542.00084,0.854328071755025
542.120842,0.8797653982058496
542.240845,0.8501265995000746
542.360847,0.8897453329103256
542.48085,0.8604239896532321
