nu,[0]Dibromomethane-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
618.852777,0.9810125759284631
618.98398,0.982674836926407
619.115182,0.9812804289219617
619.246385,0.9823535547872246
619.377588,0.9820038991641141
619.50879,0.9803123829478906
619.639993,0.981354027714051
619.771195,0.980517289647931
619.902398,0.9821060328804884
620.033601,0.9811028332372211
620.164803,0.9810822302940547
620.296006,0.9796283636550975
620.427209,0.9801369227355003
620.558411,0.9801232009146351
620.689614,0.9815022233607256
620.820816,0.9812068356495747
620.952019,0.9802839543010025
621.083222,0.9777893702351764
621.214424,0.978208931864542
621.345627,0.9807967769005224
621.47683,0.9794089514767202
621.608032,0.9809958988564279
621.739235,0.9776994177509924
621.870437,0.9798125511005421
622.00164,0.9794549847792138
622.132843,0.9777140833522505
622.264045,0.9786306307837649
622.395248,0.9791837133212614
622.526451,0.9784280752084179
622.657653,0.9750846414584067
622.788856,0.9773045069635714
622.920058,0.9760660701835925
623.051261,0.9754464649744998
623.182464,0.9759996999474336
623.313666,0.9773113481190642
623.444869,0.9739814701570348
623.576072,0.9742727341584101
623.707274,0.9737419001836911
623.838477,0.9753635555486775
623.969679,0.9731870254549073
624.100882,0.97226099226841
624.232085,0.973524779949756
624.363287,0.9709765124648534
624.49449,0.9714494931878818
624.625693,0.96975870127807
624.756895,0.9712872746681428
624.888098,0.9724233734125669
625.0193,0.971197920349235
625.150503,0.9699759515582792
625.281706,0.9689793286320293
625.412908,0.9685482287576241
625.544111,0.967918876970421
625.675314,0.967939203480265
625.806516,0.966530909486816
625.937719,0.967271555794804
626.068921,0.9648042962728574
626.200124,0.9659714500693539
626.331327,0.9647637753433593
626.462529,0.9648650808582169
626.593732,0.96603617232468
626.724934,0.963978777167832
626.856137,0.9619478882519095
626.98734,0.9623202341289431
627.118542,0.9621624265511209
627.249745,0.9626994630043725
627.380948,0.9601171218834137
627.51215,0.9586013346181117
627.643353,0.9588879992713926
627.774555,0.9557929202608565
627.905758,0.9577131229306434
628.036961,0.9561523659704333
628.168163,0.9566697843494749
628.299366,0.9573617067033499
628.430569,0.9537726006935111
628.561771,0.9529546147682589
628.692974,0.9548032315427414
628.824176,0.9525068313366672
628.955379,0.9518555394312572
629.086582,0.9514225436748206
629.217784,0.9499261825362257
629.348987,0.95005443122746
629.48019,0.9491570538675344
629.611392,0.9474595824312859
629.742595,0.9471034045939214
629.873797,0.9461198751885528
630.005,0.9455069881062914
630.136203,0.9448576478793694
630.267405,0.9422364758272348
630.398608,0.9435933301384882
630.529811,0.9421366040540946
630.661013,0.9410707088288248
630.792216,0.9366683576535595
630.923418,0.938596128866623
631.054621,0.9356900504743407
631.185824,0.9360906115298949
631.317026,0.9366046663707672
631.448229,0.936717065674555
631.579432,0.9328778578954726
631.710634,0.9310186217736531
631.841837,0.9309916226251113
631.973039,0.9278557500822188
632.104242,0.927641440157699
632.235445,0.9276933895329168
632.366647,0.9247313648750539
632.49785,0.9216073627291448
632.629053,0.9203971659279438
632.760255,0.9180999649584031
632.891458,0.9156619798891646
633.02266,0.9186491529282852
633.153863,0.9136881119061369
