nu,[0]HCFE-235da2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
573.487269,0.9999925583276894
573.728332,0.9999926531269884
573.969394,0.999992723626473
574.210456,0.9999928670254398
574.451518,0.9999930614240721
574.692581,0.9999932340228893
574.933643,0.999993374921946
575.174705,0.9999935353208961
575.415768,0.9999937322196426
575.65683,0.9999939485183102
575.897892,0.9999941575170673
576.138955,0.9999943641158816
576.380017,0.9999945658147652
576.621079,0.9999947311138806
576.862142,0.9999948574132231
577.103204,0.9999949862125691
577.344266,0.9999951539117423
577.585329,0.9999953411108526
577.826391,0.9999954747102392
578.067453,0.9999954990101295
578.308516,0.9999954237104712
578.549578,0.9999953362108756
578.79064,0.9999953654107397
579.031703,0.9999955792097717
579.272765,0.9999958879084546
579.513827,0.9999960920076362
579.754889,0.9999960847076648
579.995952,0.9999959900080401
580.237014,0.9999960410078368
580.478076,0.9999963010068413
580.719139,0.9999965708058797
580.960201,0.9999966316056731
581.201263,0.9999965392059885
581.442326,0.9999965441059716
581.683388,0.9999967531052711
581.92445,0.9999969815045556
582.165513,0.999997001004497
582.406575,0.9999968430049834
582.647637,0.9999967434053028
582.8887,0.9999968552049449
583.129762,0.9999970715042881
583.370824,0.9999972076038988
583.611887,0.9999972100038921
583.852949,0.9999971517040565
584.094011,0.9999970885042384
584.335074,0.999997042304374
584.576136,0.9999970617043168
584.817198,0.9999971905039466
585.05826,0.9999973655034703
585.299323,0.9999974433032683
585.540385,0.9999973704034574
585.781447,0.9999972732037177
586.02251,0.999997287803678
586.263572,0.9999973728034511
586.504634,0.9999974044033686
586.745697,0.9999973752034448
586.986759,0.9999974141033434
587.227821,0.9999975672029593
587.468884,0.9999976960026542
587.709946,0.9999976815026878
587.951008,0.9999976304028075
588.192071,0.9999977228025928
588.433133,0.9999979391021236
588.674195,0.999998072801857
588.915258,0.9999980193019616
589.15632,0.9999979367021286
589.397382,0.9999979853020295
589.638445,0.9999980922018199
589.879507,0.999998072801857
590.120569,0.9999979488021037
590.361632,0.9999979318021387
590.602694,0.9999980776018478
590.843756,0.9999981505017104
591.084818,0.9999979610020787
591.325881,0.9999976839026822
591.566943,0.9999976717027105
591.808005,0.9999979853020295
592.049068,0.9999983085014306
592.29013,0.9999983693013296
592.531192,0.9999982599015139
592.772255,0.9999982307015652
593.013317,0.9999982866014678
593.254379,0.9999982453015395
593.495442,0.9999980825018384
593.736504,0.9999980387019234
593.977566,0.9999982550015225
594.218629,0.9999985151011025
594.459691,0.9999985175010989
594.700753,0.999998301201443
594.941816,0.9999981991016216
595.182878,0.9999983741013218
595.42394,0.9999985855010004
595.665003,0.9999985321010774
595.906065,0.9999982550015225
596.147127,0.999998063001876
596.388189,0.9999981141017783
596.629252,0.9999982599015139
596.870314,0.9999983109014265
597.111376,0.9999983036014389
597.352439,0.999998383801306
597.593501,0.9999985418010632
597.834563,0.9999986171009562
598.075626,0.9999985321010774
598.316688,0.9999983911012943
598.55775,0.9999983401013777
598.798813,0.999998383801306
599.039875,0.9999984300012325
599.280937,0.9999984154012554
599.522,0.9999983644013376
599.763062,0.999998323101406
600.004124,0.999998323101406
600.245187,0.9999983595013456
600.486249,0.9999983960012864
600.727311,0.9999983644013376
600.968374,0.9999982575015182
601.209436,0.999998184501648
601.450498,0.9999982818014761
601.69156,0.9999985102011097
601.932623,0.9999986682008869
602.173685,0.9999986074009697
602.414747,0.9999984324012287
602.65581,0.9999983377013816
602.896872,0.9999983595013456
603.137934,0.9999983790013138
603.378997,0.9999983474013655
603.620059,0.9999983693013296
603.861121,0.9999984883011426
604.102184,0.9999985297010809
604.343246,0.9999983401013777
604.584308,0.9999980776018478
604.825371,0.9999980825018384
605.066433,0.9999984057012709
605.307495,0.9999986852008643
605.548558,0.9999985977009832
605.78962,0.9999983061014347
606.030682,0.9999982477015352
606.271745,0.9999985442010597
606.512807,0.9999988553006551
606.753869,0.9999988359006776
606.994931,0.9999985880009968
607.235994,0.9999984543011946
607.477056,0.9999985491010526
607.718118,0.9999986633008934
607.959181,0.9999986244009461
608.200243,0.9999985272010846
