nu,[0]PFC-318-HITRAN(x-sec)-X=0.01-T=253.0K-P=0.0atm-L=15cm
916.653656,1.0
916.668722,1.0
916.683787,1.0
916.698853,1.0
916.713919,1.0
916.728985,1.0
916.74405,1.0
916.759116,1.0
916.774182,1.0
916.789248,1.0
916.804313,1.0
916.819379,1.0
916.834445,1.0
916.849511,1.0
916.864576,1.0
916.879642,1.0
916.894708,1.0
916.909774,1.0
916.924839,1.0
916.939905,1.0
916.954971,1.0
916.970037,1.0
916.985102,1.0
917.000168,1.0
917.015234,1.0
917.0303,1.0
917.045365,1.0
917.060431,1.0
917.075497,1.0
917.090563,1.0
917.105628,1.0
917.120694,1.0
917.13576,1.0
917.150826,1.0
917.165891,1.0
917.180957,1.0
917.196023,1.0
917.211089,1.0
917.226154,1.0
917.24122,1.0
917.256286,1.0
917.271352,1.0
917.286417,1.0
917.301483,1.0
917.316549,1.0
917.331615,1.0
917.34668,1.0
917.361746,1.0
917.376812,1.0
917.391878,1.0
917.406944,1.0
917.422009,1.0
917.437075,1.0
917.452141,1.0
917.467207,1.0
917.482272,1.0
917.497338,1.0
917.512404,1.0
917.52747,1.0
917.542535,1.0
917.557601,1.0
917.572667,1.0
917.587733,1.0
917.602798,1.0
917.617864,1.0
917.63293,1.0
917.647996,1.0
917.663061,1.0
917.678127,1.0
917.693193,1.0
917.708259,1.0
917.723324,1.0
917.73839,1.0
917.753456,1.0
917.768522,1.0
917.783587,1.0
917.798653,1.0
917.813719,1.0
917.828785,1.0
917.84385,1.0
917.858916,1.0
917.873982,1.0
917.889048,1.0
917.904113,1.0
917.919179,1.0
917.934245,1.0
917.949311,1.0
917.964376,1.0
917.979442,1.0
917.994508,1.0
918.009574,1.0
918.024639,1.0
918.039705,1.0
918.054771,1.0
918.069837,1.0
918.084902,1.0
918.099968,1.0
918.115034,1.0
918.1301,1.0
918.145165,1.0
918.160231,1.0
918.175297,1.0
918.190363,1.0
918.205428,1.0
918.220494,1.0
918.23556,1.0
918.250626,1.0
918.265691,1.0
918.280757,1.0
918.295823,1.0
918.310889,1.0
918.325954,1.0
918.34102,1.0
918.356086,1.0
918.371152,1.0
918.386217,1.0
918.401283,1.0
918.416349,1.0
918.431415,1.0
918.44648,1.0
918.461546,1.0
918.476612,1.0
918.491678,1.0
918.506743,1.0
918.521809,1.0
918.536875,1.0
918.551941,1.0
918.567006,1.0
918.582072,1.0
918.597138,1.0
918.612204,1.0
918.627269,1.0
918.642335,1.0
918.657401,1.0
918.672467,1.0
918.687532,1.0
918.702598,1.0
918.717664,1.0
918.73273,1.0
918.747795,1.0
918.762861,1.0
918.777927,1.0
918.792993,1.0
918.808058,1.0
918.823124,1.0
918.83819,1.0
918.853256,1.0
918.868321,1.0
918.883387,1.0
918.898453,1.0
918.913519,1.0
918.928584,1.0
918.94365,1.0
918.958716,1.0
918.973782,1.0
918.988847,1.0
919.003913,1.0
919.018979,1.0
919.034045,1.0
919.04911,1.0
919.064176,1.0
919.079242,1.0
919.094308,1.0
919.109373,1.0
919.124439,1.0
919.139505,1.0
919.154571,1.0
919.169636,1.0
919.184702,1.0
919.199768,1.0
919.214834,1.0
919.229899,1.0
919.244965,1.0
919.260031,1.0
919.275097,1.0
919.290162,1.0
919.305228,1.0
919.320294,1.0
919.33536,1.0
919.350426,1.0
919.365491,1.0
919.380557,1.0
919.395623,1.0
919.410689,1.0
919.425754,1.0
919.44082,1.0
919.455886,1.0
919.470952,1.0
919.486017,1.0
919.501083,1.0
919.516149,1.0
919.531215,1.0
919.54628,1.0
919.561346,1.0
919.576412,1.0
919.591478,1.0
919.606543,1.0
919.621609,1.0
919.636675,1.0
919.651741,1.0
919.666806,1.0
919.681872,1.0
919.696938,1.0
919.712004,1.0
919.727069,1.0
919.742135,1.0
919.757201,1.0
919.772267,1.0
919.787332,1.0
919.802398,1.0
919.817464,1.0
919.83253,1.0
919.847595,1.0
919.862661,1.0
919.877727,1.0
919.892793,1.0
919.907858,1.0
919.922924,1.0
919.93799,1.0
919.953056,1.0
919.968121,1.0
919.983187,1.0
919.998253,1.0
920.013319,1.0
920.028384,1.0
920.04345,1.0
920.058516,1.0
920.073582,1.0
920.088647,1.0
920.103713,1.0
920.118779,1.0
920.133845,1.0
920.14891,1.0
920.163976,1.0
920.179042,1.0
920.194108,1.0
920.209173,1.0
920.224239,1.0
920.239305,1.0
920.254371,1.0
920.269436,1.0
920.284502,1.0
920.299568,1.0
920.314634,1.0
920.329699,1.0
920.344765,1.0
920.359831,1.0
920.374897,1.0
920.389962,1.0
920.405028,1.0
920.420094,1.0
920.43516,1.0
920.450225,1.0
920.465291,1.0
920.480357,1.0
920.495423,1.0
920.510488,1.0
920.525554,1.0
920.54062,1.0
920.555686,1.0
920.570751,1.0
920.585817,1.0
920.600883,1.0
920.615949,1.0
920.631014,1.0
920.64608,1.0
920.661146,1.0
920.676212,1.0
920.691277,1.0
920.706343,1.0
920.721409,1.0
920.736475,1.0
920.75154,1.0
920.766606,1.0
920.781672,1.0
920.796738,1.0
920.811803,1.0
920.826869,1.0
920.841935,1.0
920.857001,1.0
920.872066,1.0
920.887132,1.0
920.902198,1.0
920.917264,1.0
920.932329,1.0
920.947395,1.0
920.962461,1.0
920.977527,1.0
920.992592,1.0
921.007658,1.0
921.022724,1.0
921.03779,1.0
921.052855,1.0
921.067921,1.0
921.082987,1.0
921.098053,1.0
921.113118,1.0
921.128184,1.0
921.14325,1.0
921.158316,1.0
921.173381,1.0
921.188447,1.0
921.203513,1.0
921.218579,1.0
921.233644,1.0
921.24871,1.0
921.263776,1.0
921.278842,1.0
921.293908,1.0
921.308973,1.0
921.324039,1.0
921.339105,1.0
921.354171,1.0
921.369236,1.0
921.384302,1.0
921.399368,1.0
921.414434,1.0
921.429499,1.0
921.444565,1.0
921.459631,1.0
921.474697,1.0
921.489762,1.0
921.504828,1.0
921.519894,1.0
921.53496,1.0
921.550025,1.0
921.565091,1.0
921.580157,1.0
921.595223,1.0
921.610288,1.0
921.625354,1.0
921.64042,1.0
921.655486,1.0
921.670551,1.0
921.685617,1.0
921.700683,1.0
921.715749,1.0
921.730814,1.0
921.74588,1.0
921.760946,1.0
921.776012,1.0
921.791077,1.0
921.806143,1.0
921.821209,1.0
921.836275,1.0
921.85134,1.0
921.866406,1.0
921.881472,1.0
921.896538,1.0
921.911603,1.0
921.926669,1.0
921.941735,1.0
921.956801,1.0
921.971866,1.0
921.986932,1.0
922.001998,1.0
922.017064,1.0
922.032129,1.0
922.047195,1.0
922.062261,1.0
922.077327,1.0
922.092392,1.0
922.107458,1.0
922.122524,1.0
922.13759,1.0
922.152655,1.0
922.167721,1.0
922.182787,1.0
922.197853,1.0
922.212918,1.0
922.227984,1.0
922.24305,1.0
922.258116,1.0
922.273181,1.0
922.288247,1.0
922.303313,1.0
922.318379,1.0
922.333444,1.0
922.34851,1.0
922.363576,1.0
922.378642,1.0
922.393707,1.0
922.408773,1.0
922.423839,1.0
922.438905,1.0
922.45397,1.0
922.469036,1.0
922.484102,1.0
922.499168,1.0
922.514233,1.0
922.529299,1.0
922.544365,1.0
922.559431,1.0
922.574496,1.0
922.589562,1.0
922.604628,1.0
922.619694,1.0
922.634759,1.0
922.649825,1.0
922.664891,1.0
922.679957,1.0
922.695022,1.0
922.710088,1.0
922.725154,1.0
922.74022,1.0
922.755285,1.0
922.770351,1.0
922.785417,1.0
922.800483,1.0
922.815548,1.0
922.830614,1.0
922.84568,1.0
922.860746,1.0
922.875811,1.0
922.890877,1.0
922.905943,1.0
