nu,[0]1-Penten-3-ol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
665.697314,0.9456336945318385
665.832317,0.9445175603455619
665.967319,0.9445827343057015
666.102322,0.9468780208053628
666.237325,0.9446488574113846
666.372327,0.944991827191874
666.50733,0.94276427602396
666.642333,0.9438556855499792
666.777336,0.9441719301726553
666.912338,0.9421516783603536
667.047341,0.9435263373903191
667.182344,0.9419312406598341
667.317346,0.9417692424186888
667.452349,0.9408175948535059
667.587352,0.9408825135072185
667.722354,0.9413737823892923
667.857357,0.9414801636371296
667.99236,0.9403538860928445
668.127363,0.9393116116811517
668.262365,0.9394543978976048
668.397368,0.9393003400094417
668.532371,0.9393379127744923
668.667373,0.9382001248629629
668.802376,0.9376026816892781
668.937379,0.9373701850549934
669.072381,0.9361739273018179
669.207384,0.936510074076455
669.342387,0.93631904550692
669.47739,0.9358884377933541
669.612392,0.9342614078381543
