nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
674.753495,0.9604839566849593
674.881498,0.9603206882905296
675.0095,0.9607606159014995
675.137503,0.9605339031493039
675.265505,0.9604196064156196
675.393508,0.9590443107543135
675.52151,0.9602582694744243
675.649513,0.9592639570500172
675.777516,0.9604522612373665
675.905518,0.9598694436178379
676.033521,0.9596391025933981
676.161523,0.9599731151159088
676.289526,0.9592956132829249
676.417528,0.9605454296253003
676.545531,0.95985888511203
676.673533,0.959712997649221
676.801536,0.959451991212345
676.929539,0.9593359045447933
677.057541,0.9601651289396742
677.185544,0.95976002473826
677.313546,0.9595162766492943
677.441549,0.9591200782476397
677.569551,0.9594318429320873
677.697554,0.9595911218377974
677.825557,0.95929753187607
677.953559,0.959647739384187
678.081562,0.9598905609778876
678.209564,0.9597053199759505
678.337567,0.9590826732939893
678.465569,0.9588889581598712
678.593572,0.959371400629935
678.721574,0.9584057998910699
678.849577,0.958803620840162
678.97758,0.9587134975356648
679.105582,0.9593896288597146
679.233585,0.9585984588184215
679.361587,0.9585371104802249
679.48959,0.9592044845283474
679.617592,0.958328172165244
679.745595,0.9584661813584593
679.873597,0.9587508880911797
680.0016,0.959192014951101
680.129603,0.9585016452632478
680.257605,0.9584939772807576
