nu,[0]Brominenitrate-HITRAN(x-sec)-X=0.01-T=204.0K-P=0.0atm-L=15cm
1302.236412,0.9999677895187687
1302.355614,0.9999777532474626
1302.474816,0.9999654085982963
1302.594018,0.9999764542772048
1302.71322,0.9999774522542042
1302.832422,0.9999817491665485
1302.951624,0.9999836441337586
1303.070826,0.9999855201048347
1303.190028,0.9999743853280613
1303.30923,0.9999634866666279
1303.428432,0.9999667155539395
1303.547634,0.9999775342523587
1303.666836,0.9999878050743587
1303.786038,0.9999699334520077
1303.90524,0.9999899450505514
1304.024442,0.9999992155303077
1304.143644,0.9999861970952609
1304.262846,0.9999814461721244
1304.382048,0.9999888380622949
1304.50125,0.9999986027009762
1304.620452,0.9999806421873648
1304.739654,0.9999852021094898
1304.858856,0.9999823081565025
1304.978058,0.9999669185472033
1305.09726,0.9999605437784171
1305.216462,0.9999919990320079
1305.335664,0.9999829571452311
1305.454866,0.9999867440878604
1305.574068,0.9999845781189184
1305.69327,0.9999906054441291
1305.812472,0.9999872760809497
1305.931674,0.9999871690823169
1306.050876,0.9999837341322907
1306.170078,0.999990016449836
1306.28928,0.9999753283043513
1306.408482,0.9999864900912596
1306.527684,0.9999832581401465
1306.646886,0.9999942884163111
1306.766088,0.9999815751697393
1306.88529,0.9999860520972729
1307.004492,0.9999804191917065
1307.123694,0.9999788532235963
1307.242896,0.9999996929200472
1307.362098,0.999989080059623
1307.4813,0.9999872280815616
1307.600502,1.0
1307.719704,0.9999896110539654
1307.838906,1.0
1307.958108,0.9999849911126345
1308.07731,0.9999963283067407
1308.196512,0.9999999623860008
1308.315714,0.9999892240580609
1308.434916,0.9999982750014879
1308.554118,0.9999868610863163
1308.67332,0.9999897920521015
1308.792522,0.9999999157640036
1308.911724,0.9999882800686789
1309.030926,0.9999801311973873
1309.150128,0.999992825625736
1309.26933,0.9999921274309889
1309.388532,0.999998072301858
1309.507734,0.9999985092011112
1309.626936,0.9999955632098426
1309.746138,0.9999884340668859
1309.86534,0.9999857751011748
1309.984542,0.9999879890721318
1310.103744,0.9999979938020124
1310.222946,0.9999826641502676
1310.342148,0.999981998162035
1310.46135,0.9999892250580501
1310.580552,0.999998590800993
1310.699754,1.0
1310.818956,0.9999923437293093
1310.938158,0.9999865420905585
1311.05736,0.9999916248350719
1311.176562,0.9999860820968549
1311.295764,0.9999900120498799
1311.414966,0.9999846301181179
1311.534168,0.999990460845498
1311.65337,0.9999841621254204
1311.772572,0.9999974822031696
1311.891774,0.9999839051295238
1312.010976,0.9999982518015281
1312.130178,0.9999951539117423
1312.24938,0.9999875490775134
1312.368582,0.9999834731365701
1312.487784,0.9999935906205402
1312.606986,0.9999949114129469
1312.726188,0.9999826151511182
1312.84539,0.9999769462657414
1312.964592,0.9999960106079576
1313.083794,0.9999905668444925
1313.202996,0.9999864940912057
1313.322198,0.9999936589201047
1313.4414,0.9999893130571058
1313.560602,0.9999904093459906
1313.679804,0.9999888460622056
1313.799006,0.9999767822695357
1313.918208,0.9999819871622331
1314.03741,0.9999864150922757
1314.156612,0.9999852761083976
1314.275814,0.9999812041766437
1314.395016,0.9999958316086878
1314.514218,1.0
1314.63342,0.9999893150570844
1314.752622,0.9999780782402853
1314.871824,0.9999825781517622
1314.991026,0.9999926032273563
1315.110228,0.9999783192350312
1315.22943,0.9999943650158766
1315.348632,0.9999948548132365
1315.467834,0.9999881300704482
1315.587036,0.9999973450035246
1315.706238,0.9999871060831272
1315.82544,0.999984058127073
1315.944642,0.9999840411273442
1316.063844,0.999999342800216
1316.183046,0.9999989819005183
1316.302248,0.9999920701314415
1316.42145,0.9999917982336347
1316.540652,0.9999900090499099
1316.659854,0.9999849821127696
1316.779056,0.9999874050793167
1316.898258,0.9999951818116075
1317.01746,0.9999984863011456
1317.136662,0.9999816201689111
1317.255864,0.9999940353177887
1317.375066,0.9999704364370108
1317.494268,0.9999947389138396
1317.61347,0.9999979011022027
1317.732672,0.9999897380526541
1317.851874,0.9999763612793989
1317.971076,0.9999804771905725
1318.090278,0.9999789142223081
1318.20948,0.99999979997002
1318.328682,0.9999877220753743
1318.447884,0.999992895225239
1318.567086,0.9999793062141193
1318.686288,0.9999740633363611
1318.80549,0.9999957641089714
1318.924692,0.9998895161037953
1319.043894,0.9999877810746517
1319.163096,0.999973385354176
1319.282298,0.9999877110755094
1319.4015,0.9999788572235117
1319.520702,0.9999938262190579
1319.639904,0.9999774352545877
1319.759106,0.999984695117121
1319.878308,0.9999997687400267
1319.99751,0.9999664055643057
