nu,[0]3-Pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
657.643353,0.9982713957602757
657.776956,0.9980102821182982
657.910558,0.9979858311659118
658.044161,0.9959311004951619
658.177764,0.9978058107602983
658.311366,0.9982824766342674
658.444969,0.997647571307432
658.578572,0.9982652064968087
658.712174,0.9972249575685119
658.845777,0.9970434791412723
658.97938,0.999041219923618
659.112982,0.9964945584564924
659.246585,0.9979653726660732
659.380188,0.9979005070250061
659.51379,0.9979400246675284
659.647393,0.9983736239851974
659.780996,0.9963065376736304
659.914598,0.9990099404327052
660.048201,0.9974414786093087
660.181804,0.9974979353947099
660.315406,0.9985488539321848
660.449009,0.9970874497282468
660.582612,0.9986133622717458
660.716214,0.9974316039875498
660.849817,0.9974707040727828
660.98342,0.9979770489292394
661.117022,0.9970411859439074
661.250625,0.9976976544725885
661.384228,0.9969208503351641
661.51783,0.9977725843800223
661.651433,0.9961951568290237
661.785036,0.9967932526327484
661.918638,0.9985164016217849
662.052241,0.9966996581406563
662.185844,0.9971997280962397
662.319446,0.9962948809553316
662.453049,0.9963625316744644
662.586652,0.9979406234317229
662.720254,0.9972381210248304
662.853857,0.9973085285215302
662.98746,0.9971541571099706
663.121062,0.9963791710676819
663.254665,0.9975226736502608
663.388268,0.9969097845751405
663.52187,0.9969278288055411
663.655473,0.9982864697721602
663.789076,0.9973673714605626
663.922678,0.997112776071113
664.056281,0.9966176331341667
664.189884,0.9975044191523621
664.323486,0.9967389288808156
664.457089,0.9969286263481232
664.590692,0.9966807210270549
664.724294,0.9970220429369108
664.857897,0.996758365479435
664.9915,0.9974297088693026
665.125103,0.9959339886995412
665.258705,0.9976535572108175
665.392308,0.9971758953075411
665.525911,0.9967360383421131
665.659513,0.9975456169356015
665.793116,0.997128331151749
665.926719,0.9960319934257826
666.060321,0.9970248346025393
666.193924,0.9968053139040758
666.327527,0.9976203359005003
666.461129,0.9952187666605763
666.594732,0.9981880435787317
666.728335,0.9962868109994792
666.861937,0.9976939629980962
666.99554,0.9969635194606712
667.129143,0.996201731738756
667.262745,0.9965828517857084
667.396348,0.9964801093901507
667.529951,0.995858997693639
667.663553,0.9983132242080579
667.797156,0.9951312907756082
667.930759,0.9962921909627845
668.064361,0.995999324112178
668.197964,0.9953192888322933
668.331567,0.9971559519890688
668.465169,0.9970404880153215
668.598772,0.9973008492754257
668.732375,0.9967177982395089
668.865977,0.9965062175110316
668.99958,0.996991534529178
669.133183,0.9969531510939844
669.266785,0.9970882473985256
669.400388,0.9969190558792486
669.533991,0.9969934288148932
669.667593,0.9965593327079324
669.801196,0.9951241258561084
669.934799,0.9963626313107226
670.068401,0.996730755655109
670.202004,0.9976991510201927
670.335607,0.9964906721352927
670.469209,0.9957016644016607
670.602812,0.9971324193862877
670.736415,0.9965144885469618
670.870017,0.9967923555192247
671.00362,0.9974921499234625
671.137223,0.9961120776173955
671.270825,0.9971065939910658
671.404428,0.9957224747839144
671.538031,0.9960884700409068
671.671633,0.9965120969150592
671.805236,0.9959813962856949
671.938839,0.99634389986933
672.072441,0.9956814518630314
672.206044,0.9961765281537697
672.339647,0.9962485543204698
672.473249,0.9957989492065581
672.606852,0.9967857767113883
672.740455,0.9957446796426854
672.874057,0.995607077236504
673.00766,0.9966487280893992
673.141263,0.9959867745997563
673.274865,0.9967391282286213
673.408468,0.9958916624044616
673.542071,0.9957786351151987
673.675674,0.9969604288785513
673.809276,0.9967633492837219
673.942879,0.9963743884591391
674.076482,0.9961559075130613
674.210084,0.996349379775849
674.343687,0.996626303745292
674.47729,0.9967240775814177
674.610892,0.9959684486117032
674.744495,0.9957998454260156
674.878098,0.9953572112196146
675.0117,0.9967758089034604
675.145303,0.9959310009020568
675.278906,0.9963718975262815
675.412508,0.9959722332989989
675.546111,0.9969382966026994
675.679714,0.9959753208177078
675.813316,0.996170650729592
675.946919,0.9968220603740193
676.080522,0.9951481086365329
676.214124,0.9962956779915552
676.347727,0.9961361838213577
676.48133,0.995213591536445
676.614932,0.9957119201816212
676.748535,0.9962086055544196
676.882138,0.9962474584476627
677.01574,0.9974985338936506
677.149343,0.9957125176089525
677.282946,0.9960592850762965
677.416548,0.994726454222974
677.550151,0.9963228772348323
677.683754,0.9960751225448368
677.817356,0.9960788080296082
677.950959,0.9971894569919365
678.084562,0.9952092126062758
678.218164,0.9964277955576579
678.351767,0.9972390185395433
678.48537,0.995705647216284
