nu,[0]2-Nonanone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
589.9848,0.8874616232286597
590.103802,0.8848032279456943
590.222804,0.88422829272172
590.341807,0.8846616707541003
590.460809,0.8839011887713755
590.579812,0.8842990338147436
590.698814,0.881509059349175
590.817816,0.8807072509833052
590.936819,0.8793607991875836
591.055821,0.8801525801548424
591.174823,0.8765601077160815
591.293826,0.8774458806649158
591.412828,0.8771388283439737
591.531831,0.878402818111004
591.650833,0.8761657444060089
591.769835,0.8753600426008147
591.888838,0.8744064199731284
592.00784,0.8765864049137689
592.126843,0.8749924685788703
592.245845,0.8745201001967794
592.364847,0.8740305060398278
592.48385,0.8741791038563111
592.602852,0.8724499416661612
592.721854,0.8733926965991886
592.840857,0.8722144119798497
592.959859,0.8724324928418167
593.078862,0.8726157229037965
593.197864,0.8709767464653227
593.316866,0.8725197404534087
593.435869,0.870088803112023
593.554871,0.8699148027520166
593.673873,0.8682374863137211
593.792876,0.8730696010778044
593.911878,0.8702628382755816
594.030881,0.8704282039240931
594.149883,0.8696451709582508
594.268885,0.86803781465499
594.387888,0.8693495418599196
594.50689,0.8686369674310382
594.625893,0.8709854562763364
594.744895,0.8668147438039087
594.863897,0.8696712607047238
594.9829,0.8697930232043986
595.101902,0.8692104570603028
595.220904,0.8691409230051371
595.339907,0.8713426335297432
595.458909,0.8701149061676602
595.577912,0.8712642162215573
595.696914,0.8704978409658516
595.815916,0.8709419080922363
595.934919,0.8687846482680169
596.053921,0.8691930730250024
596.172923,0.8695495152506058
596.291926,0.871150959235312
596.410928,0.8704978409658516
596.529931,0.8692713039219122
596.648933,0.8716999572558487
596.767935,0.8718481588453604
596.886938,0.8737246488908372
597.00594,0.8718743146824613
597.124942,0.8731045245603125
597.243945,0.87463379519982
597.362947,0.8746425415815039
597.48195,0.8732005713404902
597.600952,0.8752112440418084
597.719954,0.875981768917786
597.838957,0.8759554898589064
597.957959,0.8767179027365962
598.076962,0.8771914582525558
598.195964,0.8780603078057915
598.314966,0.8794663288151371
598.433969,0.8792816602769611
598.552971,0.8811212806806247
598.671973,0.8821263317108408
598.790976,0.8788772837269707
598.909978,0.8812182093524787
599.028981,0.8822410155882536
599.147983,0.8827087272591599
599.266985,0.8840249436004393
599.385988,0.8851483685026271
599.50499,0.8864682226188286
599.623992,0.8887849266635072
599.742995,0.8895762973559588
599.861997,0.8890960558322678
599.981,0.8904307006493832
600.100002,0.8916603432745465
600.219004,0.8930792109212121
600.338007,0.8918922051045296
600.457009,0.8947776744513617
600.576012,0.8958789281231044
600.695014,0.8950103468928257
600.814016,0.8981932799877966
600.933019,0.8971699230728816
601.052021,0.9000094641418044
601.171023,0.9008828968684099
601.290026,0.9014145746070722
601.409028,0.902894107394701
601.528031,0.9030927659499677
601.647033,0.9050021134328686
601.766035,0.9048012252630984
601.885038,0.9052464969937916
602.00404,0.9081461093000119
602.123042,0.9086284629376072
602.242045,0.9092301741245001
602.361047,0.9096830835162925
602.48005,0.9116145689526475
602.599052,0.9111388303262383
602.718054,0.911231771226837
602.837057,0.9139860227874534
602.956059,0.9138132957523657
603.075062,0.9151813835173092
603.194064,0.9163920533827777
603.313066,0.9207930218122085
603.432069,0.9201790576464711
603.551071,0.919912244409543
603.670073,0.922958506987057
603.789076,0.9213097316209948
603.908078,0.9246777320112592
604.027081,0.9251559139981016
604.146083,0.9247840760651064
604.265085,0.926050046407447
604.384088,0.927793585829489
604.50309,0.9295878157052728
604.622092,0.9275069419002355
604.741095,0.9287153424366317
604.860097,0.9303624849607056
604.9791,0.9311899449613094
605.098102,0.9324889289260562
605.217104,0.9339755675831451
605.336107,0.9347987626223564
605.455109,0.9363799082228949
605.574111,0.936098100284742
605.693114,0.937038414736295
605.812116,0.9371499289426123
605.931119,0.93860833069561
606.050121,0.9407112884717111
606.169123,0.941236351849737
606.288126,0.9417786601582016
606.407128,0.9421865386173637
606.526131,0.9437471483871476
606.645133,0.9452725314470685
606.764135,0.9456015435327946
606.883138,0.9461889444604393
607.00214,0.9474008417581549
607.121142,0.9483325946671294
607.240145,0.9482756964184138
607.359147,0.9517717798292638
607.47815,0.951258913069944
607.597152,0.950787205642174
