nu,[0]Methylisoamylketone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
579.393588,0.9192988675264527
579.51259,0.9205499645394217
579.631593,0.9171089522394427
579.750595,0.9285537600251251
579.869597,0.928417272654469
579.9886,0.9198864872273017
580.107602,0.9196942510408525
580.226605,0.9269218696296105
580.345607,0.9244262538707297
580.464609,0.919595849020593
580.583612,0.9191655788543236
580.702614,0.923929970236483
580.821616,0.9193108184894117
580.940619,0.9177153616531047
581.059621,0.9165854325068217
581.178624,0.9162756789819291
581.297626,0.9270738972821566
581.416628,0.915806665911882
581.535631,0.9211466742295028
581.654633,0.9156995227999646
581.773635,0.9191517914740464
581.892638,0.9180393723602935
582.01164,0.9149434672880448
582.130643,0.9137904507055361
582.249645,0.9094084007042628
582.368647,0.9191637405250043
582.48765,0.9096512451655437
582.606652,0.9163434858909983
582.725655,0.9113393029200868
582.844657,0.9171318802498476
582.963659,0.9143059738836048
583.082662,0.9162573536516033
583.201664,0.9054882300784196
583.320666,0.9160072495348217
583.439669,0.9095129886840374
583.558671,0.909771327055136
583.677674,0.9067622419503799
583.796676,0.9110295002265363
583.915678,0.9065736550177751
584.034681,0.9068375063398907
584.153683,0.9132030723081248
584.272685,0.9040867145640272
584.391688,0.9048989490724175
584.51069,0.9051333482536109
584.629693,0.9076032002726285
584.748695,0.9052881392904187
584.867697,0.9045750532294649
584.9867,0.8997754920988111
585.105702,0.9118133225920387
585.224704,0.9031017969227819
585.343707,0.907012542869096
585.462709,0.9052428760150456
585.581712,0.8984178563786728
585.700714,0.9054420513562531
585.819716,0.899037978617143
585.938719,0.9104994353212541
586.057721,0.9048772317582486
586.176724,0.9012973983289964
586.295726,0.9056557608971071
586.414728,0.904828369707021
586.533731,0.901513735664037
586.652733,0.9056068568064409
586.771735,0.8999464656842863
586.890738,0.9014957055696253
587.00974,0.9033998696950689
587.128743,0.9052238661142539
587.247745,0.9083559152829183
587.366747,0.8979238624184563
587.48575,0.9059646421728375
587.604752,0.9003245225862656
587.723754,0.903074704275266
587.842757,0.9003875475086932
587.961759,0.9040053504211578
588.080762,0.9025420473489884
588.199764,0.8995595718921687
588.318766,0.9039782306674435
588.437769,0.9063334448284512
588.556771,0.8966676485659488
588.675774,0.9023796044007695
588.794776,0.9065772813196478
588.913778,0.8969635977189001
589.032781,0.9027496558939461
589.151783,0.8989480793143213
589.270785,0.9022081685628537
589.389788,0.9065029450304091
589.50879,0.9069898678389634
589.627793,0.9030837350674626
589.746795,0.9110140128566755
