nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
608.142163,0.9845535394547097
608.260165,0.98516612224975
608.378168,0.9849760035352019
608.49617,0.9838203202258916
608.614172,0.9850971630347931
608.732175,0.9847366834449114
608.850177,0.9840033278246327
608.968179,0.9830729008378631
609.086182,0.9836048871665432
609.204184,0.9844491823105539
609.322186,0.9845180961652724
609.440189,0.9849208464234174
609.558191,0.985086327025598
609.676194,0.9842227850353071
609.794196,0.9851818850338079
609.912198,0.9849385751582111
610.030201,0.98453384858083
610.148203,0.9848775108595642
610.266205,0.9848637226709297
610.384208,0.9846923712911874
610.50221,0.9843694451561851
610.620212,0.9840653219870813
610.738215,0.9839757761171793
610.856217,0.9848479649774289
610.974219,0.98306405322157
611.092222,0.983506531595687
611.210224,0.9838793512160172
611.328227,0.9845230187680597
611.446229,0.9828871176166722
611.564231,0.9840633538584055
611.682234,0.984558462234714
611.800236,0.983718008232904
611.918238,0.9834494898710805
612.036241,0.9840466249235862
612.154243,0.9850459393141436
612.272245,0.9848656924003448
612.390248,0.9851572557945488
612.50825,0.9856982556188436
612.626253,0.9856233453980411
612.744255,0.986011757508289
612.862257,0.9852774523115942
612.98026,0.9863056327972697
613.098262,0.9860058414554921
613.216264,0.9862573050053032
613.334267,0.9862967560865198
613.452269,0.985964430079796
613.570271,0.9866992472656203
613.688274,0.9865512534783419
613.806276,0.986013729533776
613.924278,0.9860433103893727
614.042281,0.9860166875794016
614.160283,0.9869252272669667
614.278286,0.9860857111633294
614.396288,0.9864052546970035
614.51429,0.9869982624360524
614.632293,0.9872351704468612
614.750295,0.9873595699153395
614.868297,0.9871532333281515
614.9863,0.9872707115527334
615.104302,0.9872805843092126
615.222304,0.9872766351947736
615.340307,0.987477072695436
615.458309,0.9872736733693107
615.576312,0.9871769252900539
615.694314,0.9874464613806604
615.812316,0.9877318746482301
615.930319,0.9873773425475512
616.048321,0.9873556204849586
616.166323,0.9878553488495379
616.284326,0.9877061939533397
616.402328,0.9885688379499783
616.52033,0.9877427397586092
616.638333,0.9882723117797428
616.756335,0.9874217755277003
616.874337,0.9877338501139548
616.99234,0.9882584760642281
617.110342,0.9881972059381057
617.228345,0.9887398751532351
617.346347,0.9889000639879553
617.464349,0.9883760858205215
617.582352,0.988356318496479
617.700354,0.9888911639274297
617.818356,0.9885461011281799
617.936359,0.9891492982062727
618.054361,0.9892373364114552
618.172363,0.9890355525774781
618.290366,0.9891403959026493
618.408368,0.9893095533729003
618.526371,0.989621234969487
618.644373,0.9893511052467251
618.762375,0.9898934182325869
618.880378,0.9900958721368216
618.99838,0.9891186350533098
619.116382,0.9899488538161898
619.234385,0.9894955610531084
619.352387,0.9897815665960631
619.470389,0.9903031208906854
619.588392,0.9900631005058274
619.706394,0.9893708924667016
619.824396,0.9897706790587121
619.942399,0.989867681338294
620.060401,0.9897162431683646
620.178404,0.9897875053032787
620.296406,0.9897033769408341
620.414408,0.9893352757556775
620.532411,0.9900583482143505
620.650413,0.9892877888021372
620.768415,0.9900679518269055
