nu,[0]Acetonitrile-HITRAN(x-sec)-X=0.01-T=203.2K-P=0.1321atm-L=15cm
881.426829,0.9993587356978951
881.443229,0.999807588513465
881.459629,0.9994406365021251
881.47603,0.9995488717889458
881.49243,0.9988734350512877
881.50883,0.9993097683195564
881.525231,0.9997477618174009
881.541631,0.9998913259054573
881.558031,0.9995171466112365
881.574431,0.999630038452657
881.590832,0.9999002589744669
881.607232,0.9996598578614583
881.623632,0.9998648591323498
881.640033,0.999232055020795
881.656433,0.999399400432169
881.672833,0.9990929116535904
881.689234,0.9987988219925218
881.705634,0.9985479552386207
881.722034,0.9995591072217982
881.738435,0.9992594643319812
881.754835,0.9983453704114285
881.771235,0.9976108585523267
881.787636,0.9978213766523597
881.804036,0.9990388621891211
881.820436,0.997219073958619
881.836837,0.9983005457106191
881.853237,0.998429634316578
881.869637,0.9991825542909325
881.886038,0.9994913394116833
881.902438,0.9998303043999275
881.918838,0.9996193624608563
881.935239,0.999303892395394
881.951639,0.9986053733968031
881.968039,0.9996068972851269
881.98444,0.9989136904618613
882.00084,0.9989622388469339
882.01724,0.9991183289005688
882.033641,0.9990568650316228
882.050041,0.9983050380731826
882.066441,0.9983241058815068
882.082842,0.9981163762500906
882.099242,0.9972809034578991
882.115642,0.9970415847604616
882.132043,0.9971893572729958
882.148443,0.996956141957924
882.164843,0.9970014047942275
882.181244,0.9977591145410547
882.197644,0.9978430296111669
882.214044,0.9978081057163022
882.230445,0.9986866631826471
882.246845,0.9982218827269793
882.263245,0.9983004458805695
882.279646,0.9984198497541061
882.296046,0.9988186982868479
882.312446,0.9990432879410837
882.328847,0.9990696930041253
882.345247,0.9985946883764728
882.361647,0.9998697484834654
882.378048,0.9987768486601455
882.394448,0.9995738108444103
882.410848,0.9997980703905286
882.427249,0.9990461551994345
882.443649,0.9992641608625005
882.460049,0.9996044182630957
882.47645,0.9994318914348155
882.49285,0.9999823181563257
882.50925,0.9997881224492193
882.525651,0.999313046060972
882.542051,0.999082431223917
882.558451,0.9986808708167985
882.574851,0.9992396891828579
882.591252,0.9989666342904548
882.607652,0.9986571024949171
882.624052,0.9991874702811929
882.640453,0.9993290551842027
882.656853,0.9995503011448544
882.673253,0.9991654484320296
882.689654,0.9988732352766206
882.706054,0.9993416368162087
882.722454,0.9986651916502084
882.738855,0.9990606314831038
882.755255,0.9996058876826704
882.771655,0.9991357636675261
882.788056,0.9991275707878549
882.804456,0.999810887883951
882.820856,0.999374095959706
882.837257,0.9996256700789339
882.853657,0.9997983303380606
882.870057,0.9999582238726468
882.886458,0.9999294914858421
882.902858,0.9991496717341563
882.919258,0.9990099204525066
882.935659,0.9991192580810468
882.952059,0.9990083819784137
882.968459,0.9986409243808998
882.98486,0.9987923298212784
883.00126,0.9985761146880048
883.01766,0.9979876275420246
883.034061,0.9975920038852772
883.050461,0.9975935002744053
883.066861,0.9981483164851717
883.083262,0.9976490677799112
883.099662,0.9976093621371612
883.116062,0.997851112172441
883.132463,0.9972253564585748
883.148863,0.9986790731928489
883.165263,0.9992895025229508
883.181664,0.9991166204096872
883.198064,0.9990784948468927
883.214464,0.9992179759403271
883.230865,0.9994870815876467
883.247265,0.9996376356698187
883.263665,0.9998375531959112
883.280066,0.9996658858285755
883.296466,0.999903765630824
883.312866,0.9998742079124882
883.329267,0.999364512008081
883.345667,0.9990194610428031
883.362067,0.9992289574062257
883.378468,0.9993393083529075
883.394868,0.9997629281059837
883.411268,0.9992756324809141
883.427669,0.9995853959720137
883.444069,0.999897335270384
883.460469,0.9995064818201789
883.47687,0.9995786088102175
883.49327,0.9999304594180584
883.50967,0.9998034093264795
883.526071,0.9995696126432211
883.542471,0.9993588256401853
883.558871,0.9989760246209517
883.575272,0.9996221014216617
883.591672,0.9995338087009485
883.608072,0.999394773223657
883.624472,0.9993030130083556
883.640873,0.999553479719866
883.657273,0.9998396828521676
883.673673,0.9995336087942068
883.690074,0.9997889122821481
883.706474,0.9996923573317135
883.722874,0.9993482924536731
883.739275,0.9986308381584991
883.755675,0.9985275850681102
883.772075,0.998839673699753
883.788476,0.9990107096706554
883.804876,0.9992437860739821
883.821276,0.9997286468229348
883.837677,0.9997528105563461
883.854077,0.998787136114667
883.870477,0.9990592228086065
883.886878,0.9993963422746827
883.903278,0.9993982711114846
883.919678,0.9995578577736951
883.936079,0.9995944522567262
883.952479,0.9989892111915079
883.968879,0.999825815171939
883.98528,0.9999076462648688
884.00168,0.9997931713919862
884.01808,0.9996944466909237
884.034481,0.9998316641700661
884.050881,0.9998489114150301
884.067281,0.9996252102512314
884.083682,0.9994360091026906
884.100082,0.9997585291587777
884.116482,0.9992525894505162
884.132883,0.9994769068609455
884.149283,0.9999244138567764
884.165683,0.9995357078169893
