nu,[0]Myrcene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
550.139803,0.9226327601317931
550.259405,0.9198257767226135
550.379008,0.9257963434536234
550.49861,0.8904396050009113
550.618212,0.9146086592526252
550.737815,0.9301643388547185
550.857417,0.9233702382904289
550.97702,0.9346052793047078
551.096622,0.8962732015852793
551.216224,0.9175758795190442
551.335827,0.9205831049346687
551.455429,0.9095184457783407
551.575032,0.9258694842537798
551.694634,0.9229160518722107
551.814236,0.9386975027226303
551.933839,0.9298676637528184
552.053441,0.9141258733472349
552.173043,0.9329972739037448
552.292646,0.922207524453727
552.412248,0.9376054945015423
552.531851,0.9222711589682798
552.651453,0.9391068640681058
552.771055,0.9326968971448013
552.890658,0.9277768856952457
553.01026,0.9257472775476783
553.129863,0.9154486555011068
553.249465,0.9258426344280607
553.369067,0.9238209529321425
553.48867,0.9314171830297969
553.608272,0.9325029163648956
553.727875,0.9232603637697359
553.847477,0.9235032131787049
553.967079,0.907919101149888
554.086682,0.9290813283760473
554.206284,0.920854717011436
554.325887,0.919115026137699
554.445489,0.944910561389215
554.565091,0.9415168820795164
554.684694,0.930286198364732
554.804296,0.9324963888673273
554.923898,0.94233353118251
555.043501,0.9231874290819562
555.163103,0.923701787715536
555.282706,0.9246222530117252
555.402308,0.9259092974975812
555.52191,0.9338812408144013
555.641513,0.9171263774750744
555.761115,0.9290692503972854
555.880718,0.9300871384184559
556.00032,0.9308324366684295
556.119922,0.9438047187190765
556.239525,0.9360185353277765
556.359127,0.9335329680684825
556.47873,0.9373467510932928
556.598332,0.9350960758991759
556.717934,0.9221125419703902
556.837537,0.9338569602177893
556.957139,0.9474074735872585
557.076742,0.930704921359604
557.196344,0.9492814015861888
557.315946,0.9454691685831627
557.435549,0.9262167504187113
557.555151,0.937800536728087
557.674753,0.9516908826661564
557.794356,0.9491437657617972
557.913958,0.9435376597743019
558.033561,0.9421168193931492
558.153163,0.9442181957307306
558.272765,0.9405918257241203
558.392368,0.9348688751587403
558.51197,0.948622828844662
558.631573,0.9398481117676195
558.751175,0.951298866783315
558.870777,0.9513873416919454
558.99038,0.9398904058842595
559.109982,0.9326605226751193
559.229585,0.9399486808959311
559.349187,0.9446044599584346
559.468789,0.947614030930433
559.588392,0.9492121065731717
559.707994,0.9375061135864067
559.827597,0.9417080294073759
559.947199,0.9371967876105164
560.066801,0.9528764756935938
560.186404,0.9500876837144682
560.306006,0.9564698612572368
560.425609,0.9488837359956832
560.545211,0.9459410754292517
560.664813,0.9454994240806427
560.784416,0.946804167200068
560.904018,0.9404742590939722
561.02362,0.9465362595314736
561.143223,0.952323967580533
561.262825,0.9544166145291963
561.382428,0.9508109756194385
561.50203,0.941588440081724
561.621632,0.9533749604327784
561.741235,0.9437169489615925
561.860837,0.947684156963353
561.98044,0.9599433564106025
562.100042,0.9566678710118196
562.219644,0.9519145563042061
562.339247,0.9405175219049275
562.458849,0.9488685539773638
562.578452,0.9516071375533208
562.698054,0.943386705825376
562.817656,0.9489938128933953
562.937259,0.9705309365131358
